# 사전에 없던 고유 글리프 541개 — 시트(work/sheet2)를 직접 읽어 채웠다.
# FNT	index	글자  (그 FNT 의 그 인덱스 글리프 비트맵이 이 글자다)
BTL_A3	7	移
BTL_A3	11	状
BTL_A3	17	矢
BTL_A3	18	骨
BTL_A3	19	＆
BTL_A3	20	串
BTL_A3	21	刺
BTL_A3	23	千
BTL_A3	25	碧
BTL_A3	27	粉
BTL_A3	29	幼
BTL_A32	17	衝
BTL_A32	22	捕
BTL_A32	28	雰
BTL_A32	29	囲
BTL_A32	33	腕
BTL_A32	35	効
BTL_A32	36	跳
BTL_A5	17	嵐
BTL_A5	20	赤
BTL_A5	24	溶
BTL_A5	31	泥
BTL_A5	39	鉤
BTL_A5	40	爪
BTL_A5	41	鈴
BTL_A5	46	蒼
BTL_A52	24	盤
BTL_A52	26	虫
BTL_A52	29	憤
BTL_A52	31	乱
BTL_A52	32	射
BTL_A52	34	潜
BTL_A52	42	洞
BTL_A52	45	規
BTL_A52	46	模
BTL_A52	51	急
BTL_A53	19	灼
BTL_A53	21	再
BTL_A53	33	夢
BTL_A7	17	侵
BTL_A7	19	排
BTL_A7	23	避
BTL_A7	25	良
BTL_A7	27	挑
BTL_A72	20	投
BTL_A72	22	誘
BTL_A72	23	導
BTL_A72	24	爆
BTL_A72	25	雷
BTL_A72	27	填
BTL_A72	29	副
BTL_A72	31	充
BTL_A72	33	了
BTL_A72	38	橋
BTL_A72	40	損
BTL_A72	41	傷
BTL_A72	42	各
BTL_A72	44	甲
BTL_A72	46	総
BTL_A72	47	冥
BTL_A72	51	衛
BTL_A72	52	沈
BTL_A72	61	第
BTL_A72	65	闘
BTL_B2	21	輸
BTL_B2	22	送
BTL_B2	28	的
BTL_B2	34	停
BTL_B2	38	粒
BTL_B2	49	尻
BTL_B5	32	駆
BTL_B5	33	逐
BTL_B5	61	旋
BTL_B5	63	馬
BTL_B5	64	鹿
BTL_B5	89	艇
BTL_B5	92	捉
BTL_B5	101	炎
BTL_B5	102	噴
BTL_B5	103	健
BTL_B5	105	密
BTL_B5	107	救
BTL_B5	110	号
BTL_B5	111	瞬
BTL_B5	113	稲
BTL_B5	114	妻
BTL_B52	18	雲
BTL_B52	19	招
BTL_B52	30	舷
BTL_B53	23	雨
BTL_B53	27	七
BTL_B6	17	卵
BTL_B6	29	替
BTL_B6	39	粘
BTL_B6	42	走
BTL_B6	50	繁
BTL_B6	51	殖
BTL_B62	22	喚
BTL_B62	58	律
BTL_C2	19	哨
BTL_C2	20	戒
BTL_C2	22	影
BTL_C2	27	忌
BTL_C2	33	援
BTL_C2	35	求
BTL_C2	83	被
BTL_C2	85	維
BTL_C2	91	城
BTL_C2	92	砦
BTL_C2	95	炸
BTL_C2	96	裂
BTL_C2	97	拡
BTL_C2	119	障
BTL_C2	120	害
BTL_C2	139	迎
BTL_C2	142	軽
BTL_C2	144	墜
BTL_C22	25	緊
BTL_C22	38	灰
BTL_C22	39	滑
BTL_C22	41	浮
BTL_C22	46	遂
BTL_C22	55	域
BTL_C22	57	脱
BTL_C22	81	順
BTL_C22	90	温
BTL_C22	96	翼
BTL_C22	97	来
BTL_C22	105	末
BTL_C22	106	端
BTL_C22	112	到
BTL_C4	19	列
BTL_C4	31	融
BTL_C4	38	制
BTL_C4	39	室
BTL_C4	42	浄
BTL_C5	20	編
BTL_C5	38	答
BTL_C5	47	訓
BTL_C5	48	練
BTL_C5	65	級
BTL_C5	68	陛
BTL_C5	70	醜
BTL_C5	72	柄
BTL_C5	101	没
BTL_C5	104	専
BTL_C52	17	旗
BTL_C52	26	輪
BTL_C52	27	陣
BTL_C52	28	穴
BTL_C52	51	榴
BTL_C52	55	隔
BTL_C52	61	険
BTL_C52	86	甚
BTL_C52	89	皇
BTL_C52	90	整
BTL_C52	97	況
BTL_C8	57	遅
BTL_C8	67	催
BTL_C8	68	涙
BTL_C82	19	揚
BTL_C82	41	電
BTL_C82	42	磁
BTL_C82	44	振
BTL_C82	53	学
BTL_C82	76	層
BTL_C82	78	拠
BTL_C82	79	諸
BTL_C82	83	囮
BTL_C82	86	功
BTL_D2	43	環
BTL_D2	44	波
BTL_D22	18	暴
BTL_D22	37	鎖
BTL_D4	20	耐
BTL_D4	25	循
BTL_D4	28	晶
BTL_D5	20	識
BTL_D5	28	望
BTL_D5	46	志
BTL_D5	53	誤
BTL_D5	65	震
BTL_D5	67	槍
BTL_T0	19	鱗
BTL_T0	49	尽
BTL_T0	68	択
BTL_T0	72	費
BTL_T0	80	類
BTL_T0	84	〜
BTL_T0	88	複
BTL_T0	91	利
BTL_T0	117	処
BTL_T0	123	緑
BTL_T0	147	ヶ
BTL_T0	150	団
BTL_T0	155	補
BTL_T0	158	系
BTL_T0	162	：
BTL_T0	187	獲
BTL_T0	192	述
BTL_T0	203	均
BTL_T0	208	称
BTL_T0	210	条
BTL_T0	212	概
BTL_T0	220	率
BTL_T0	221	倍
EVEEXPL	9	図
EVEEXPL	38	禁
EVEEXPL	59	幻
EVEEXPL	62	景
EVEEXPL	91	協
EVEEXPL	99	語
EVEEXPL	163	展
EVEEXPL	168	巨
EVEEXPL	171	訪
EVEEXPL	172	里
EVEEXPL	180	測
EVEEXPL	183	創
EVT000_1	22	鉄
EVT000_1	23	則
EVT000_1	33	詮
EVT000_2	0	栄
EVT000_2	1	華
EVT000_2	22	黄
EVT000_2	23	昏
EVT000_2	28	（
EVT000_2	29	）
EVT000_2	47	歓
EVT000_2	63	途
EVT000_2	64	優
EVT000_2	65	勢
EVT000_2	77	設
EVT000_2	79	謎
EVT000_2	80	迫
EVT000_2	95	逆
EVT000_2	98	遭
EVT000_2	99	遇
EVT000_3	1	雑
EVT000_3	3	血
EVT000_3	9	負
EVT000_4	14	閣
EVT000_4	24	畜
EVT000_4	27	掛
EVT000_5	5	半
EVT000_5	6	径
EVT000_5	14	原
EVT000_5	15	因
EVT000_5	23	為
EVT000_5	34	秘
EVT000_5	42	建
EVT000_5	47	砕
EVT008	7	北
EVT008	27	疑
EVT008	30	尋
EVT008	35	法
EVT016_1	9	晩
EVT016_2	30	痛
EVT016_2	34	傭
EVT016_3	5	訳
EVT040	6	拘
EVT040	7	留
EVT040	9	航
EVT043	14	便
EVT054	13	笑
EVT068_1	7	願
EVT068_2	27	闇
EVT068_2	53	扱
EVT089	36	怪
EVT122_2	7	札
EVT122_3	9	星
EVT122_3	41	源
EVT122_3	42	浪
EVT122_3	55	絞
EVT122_3	59	賢
EVT122_3	63	含
EVT127_1	4	罪
EVT127_1	5	償
EVT127_1	9	徹
EVT127_1	30	輝
EVT134_1	9	監
EVT134_2	63	義
EVT134_3	27	霊
EVT135	30	憎
EVT137	18	殲
EVT144	1	廃
EVT160_1	23	呪
EVT160_1	24	縛
EVT160_1	43	焉
EVT160_1	47	宿
EVT160_1	48	魂
EVT161_2	0	西
EVT161_2	5	激
EVTCAMP	73	士
EVTCAMP	90	格
EVTCAMP	94	互
EVTCAMP	126	脈
EVTCAMP	135	習
EVTCAMP	147	揮
EVTCAMP	186	騒
EVTCAMP	191	似
EVTCAMP	204	恨
EVTCAMP	212	荒
EVTCAMP	213	罰
EVTCAMP	300	固
EVTCAMP	323	紋
EVTCAMP	324	章
EVTCAMP	334	叱
EVTCAMP	341	★
EVTCAMP	342	♪
EVTCAMP	343	■
EVTCAMP	344	◆
EVTCAMP	345	●
EVTCARA	45	堅
EVTCARA	58	腐
EVTCARA	60	潰
EVTCARA	72	幕
EVTCARA	81	燦
EVTCARA	94	故
EVTCARA	95	郷
EVTCARA	165	希
EVTCARA	173	族
EVTCARA	179	皆
EVTCARA	185	悲
EVTCARA	201	貧
EVTCARA	209	塩
EVTCARA	213	糧
EVTCARA	220	暗
EVTCARA	239	病
EVTCARA	243	泌
EVTCARA	257	塊
EVTCARA	268	房
EVTCARA	276	餌
EVTCARA	284	洗
EVTCARA	289	東
EVTCARA	298	遣
EVTCARA	306	嬉
EVTCARA	321	泣
EVTCARA	334	看
EVTCARA	349	嫁
EVTCARA	351	厄
EVTCARA	365	旦
EVTCARA	366	那
EVTEXCA	23	架
EVTRUIN	25	埋
EVTSEEK	37	療
EVTSEEK	55	混
EVTSEEK	97	衣
EVTSEEK	100	貨
EVTSEEK	115	像
EVTSEEK	130	犠
EVTSEEK	131	牲
EVTSEEK	144	耗
EVTSEEK	170	唯
EVTSEEK	208	葬
EVTSEEK	225	殿
EVTSEEK	234	査
EVTSEEK	317	股
EVTSEEK	319	滝
EVTSEEK	328	崩
EVTSEEK	339	至
EVTSEEK	341	災
EVTSEEK	360	肩
EVTSEEK	370	師
EVTSEEK	372	託
EVTSEEK	378	百
EVTSEEK	393	阻
EVTSEEK	399	還
EVTSEEK	402	棄
EVTSEEK	405	個
EVTSEEK	406	泉
EVTSEEK	419	致
EVTSEEK	427	純
EVTSEEK	429	忠
EVTSEEK	434	祖
EVTSEEK	436	抗
FLAGEDIT	20	承
FLAGEDIT	27	依
FLAGEDIT	30	拿
FLAGEDIT	32	尋
FLAGEDIT	40	版
FLAGEDIT	41	映
FLAGEDIT	44	尉
FLAGEDIT	55	陰
FLAGEDIT	70	醒
FLAGEDIT	83	＿
FLAGEDIT	101	駐
FLAGEDIT	102	屯
FLAGEDIT	109	．
FLAGEDIT	115	＃
FLAGEDIT	142	詞
FLAGEDIT	144	b
FLAGEDIT	145	y
FLD_A3	31	候
FLD_A3	40	網
FLD_A3	125	績
FLD_A3	133	距
FLD_A3	172	短
FLD_A5	93	獄
FLD_A5	102	口
FLD_A5	118	枯
FLD_A7	43	聴
FLD_A7	116	↑
FLD_A7	117	←
FLD_A7	118	→
FLD_A7	119	↓
FLD_A7	155	欠
FLD_B2	46	鼓
FLD_B5	97	窟
FLD_B5	101	崖
FLD_B5	110	嘯
FLD_B5	126	維
FLD_B5	140	南
FLD_B6	76	差
FLD_B6	127	陥
FLD_B6	130	寿
FLD_B6	162	枚
FLD_B6	183	貯
FLD_B6	184	槽
FLD_B6	191	想
FLD_B6	226	伺
FLD_B6	229	坂
FLD_B6	230	岐
FLD_B6	232	迷
FLD_B6	236	棟
FLD_C2	59	繰
FLD_C2	87	泊
FLD_C4	91	晴
FLD_D2	51	臭
