kind	jp_off	us_off	jp	us
~5:1	00B247	00B24B	<09>\n<09>ソ…<05><09> <09>\n<05><!F2>ツ<1B><09> <09>\n\n』<!EA><03><09> <09>\n<05><!F2>ヨ<1B><09> <09>\n\n！<05><02><09>	<<1D><1A><01>Town of Zoah
~3:1	00B26F	00B25C	)<1D><1B> <09>\n\n！ひ<02><09> )<1D><1A><01>ゾアの【0】	Town of Zoah
~1:1	00B288	00B269	ゾアの【0】	Holy District
~2:1	00B291	00B277	【1】【2】【3】 【1】【2】【3】	Holy District
~1:1	00B2A1	00B285	ゾアの【0】	Zoah
~1:1	00B2AA	00B28A	【1】【2】【3】	Holy District
~2:1	00B2B2	00B298	【4】【5】【3】 1500【6】	Liberal District
~1:1	00B2C5	00B2A9	(【7】【8】み【9】のはしごがかかった【10】だ)	1500Dn
~1:1	00B2E8	00B2B0	(【10】の【11】は【12】えている…)	(It was a well constructed ladder.)
~1:1	00B301	00B2D4	(【7】【8】み【9】のはしごがかかった【10】だ)	(It is dark up there...)
~1:1	00B324	00B2ED	【0】を【13】る	(It was a well constructed ladder.)
~1:1	00B32D	00B311	【14】まで【15】つ	Leave Town
~1:1	00B338	00B31C	やめる	Wait Until Nightfall
~1:1	00B33F	00B331	【0】を【13】る	Stay
~1:1	00B348	00B336	【16】まで【15】つ	Leave Town
~1:1	00B353	00B341	やめる	Wait Until Morning
~1:1	00B35A	00B354	【0】を【13】る	Stay
~1:1	00B363	00B359	やめる	Leave Town
~1:1	00B36A	00B364	ゾアの【0】	Stay
~1:1	00B373	00B369	(【0】の【17】に【18】じる【19】だ)	Town of Zoah
~1:1	00B38A	00B376	【1】【2】【3】に【20】く	(Engraved: Outsiders are not welcome.)
~1:1	00B397	00B39D	【14】まで【15】つ	Go to Holy District
~1:1	00B3A2	00B3B1	やめる	Wait Until Nightfall
~1:1	00B3A9	00B3C6	【1】【2】【3】に【20】く	Stay
~1:1	00B3B6	00B3CB	【16】まで【15】つ	Go to Holy District
~1:1	00B3C1	00B3DF	やめる	Wait Until Morning
~1:1	00B3C8	00B3F2	【1】【2】【3】に【20】く	Stay
~1:1	00B3D5	00B3F7	やめる	Go to Holy District
~1:1	00B3DC	00B40B	(【21】は【22】ざされている…)	Stay
~1:1	00B3F5	00B410	【4】【5】【3】	(This door is locked...)
~1:1	00B40E	00B429	(【23】の【3】【24】に【18】じる【19】だ)	Liberal District
~1:1	00B427	00B43A	(ザアルの【25】か…【26】【27】では【28】【29】【30】だ)	(An iron door to the other district.)
~1:1	00B44A	00B460	(【31】の【25】がたくさん【32】してある)	(Zaal Nuts... They're valuable here.)
~1:1	00B469	00B486	(【33】【34】【35】だ…)	(A variety of nuts are dried here.)
~1:1	00B478	00B4AA	(【33】【34】【35】だ…すっかり【36】がかれている)	(It's an old well...)
~1:1	00B49D	00B4C0	(【34】【35】というより、【37】【38】の【18】【39】だな…)	(This well has been dry for years.
~1:1	00B4C2	00B4E3	【40】に【41】る	There could be creatures down there.)
~1:1	00B4CB	00B509	やめる	Enter
~1:1	00B4D2	00B50F	(【19】の【4】【22】はここで【20】うようだ)	Stay Out
~1:1	00B4F1	00B518	(【19】【42】の【43】【44】らしい)	(The gate is operated from here.)
~1:1	00B506	00B53A	(【45】【46】【30】を【47】【48】したものだ)	(A gatekeeper's post.)
~1:1	00B521	00B551	(【21】の【49】に【50】りが【51】ててある)	(Some processed relics.)
~1:1	00B53E	00B56A	【40】に【41】る	(An example of Zoah craftsmanship.)
~1:1	00B547	00B58E	やめる	Enter
~1:1	00B54E	00B594	(【21】は【22】ざされている…)	Stay Out
~1:1	00B567	00B59D	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00B580	00B5B6	【40】に【41】る	(This door is locked...)
~1:1	00B589	00B5CF	やめる	Enter
~1:1	00B590	00B5D5	【40】に【41】る	Stay Out
~1:1	00B599	00B5DE	やめる	Enter
~1:1	00B5A0	00B5E4	(【21】は【22】ざされている…)	Stay Out
~1:1	00B5B9	00B5ED	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00B5D2	00B606	【40】に【41】る	(This door is locked...)
~1:1	00B5DB	00B61F	やめる	Enter
~1:1	00B5E2	00B625	(【21】は【22】ざされている…)	Stay Out
~1:1	00B5FB	00B62E	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00B614	00B647	【40】に【41】る	(This door is locked...)
~1:1	00B61D	00B660	やめる	Enter
~1:1	00B624	00B666	(【21】は【22】ざされている…)	Stay Out
~1:1	00B63D	00B66F	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00B656	00B688	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00B66F	00B6A1	(【21】は【22】ざされている…)	(This door is locked...)
~1:1	00B688	00B6BA	【40】に【41】る	(This door is locked...)
~1:1	00B691	00B6D3	やめる	Enter
~1:1	00B698	00B6D9	(よく【52】えそうなたき【31】だ)	Stay Out
~1:1	00B6B3	00B6E2	(たき【31】が【51】てかけてある)	(An ample supply of kindling.)
~1:1	00B6CE	00B701	(【31】が【53】つほど【54】が【55】えているのか…)	(An abundance of firewood.)
~1:1	00B6F3	00B71D	(【56】きな【31】が生えている)	(The land is fertile here.)
~1:1	00B70C	00B739	(【31】【57】りの【50】り【58】だ)	(The Utsumi Fruit is almost ripe.)
~1:1	00B721	00B75C	(【31】【57】りの【50】り【58】だ…【59】かい【59】【48】だな)	(An engraved wooden pillar.)
~1:1	00B746	00B779	(【60】かはめ【61】んであるぞ…)	(An intricate carving...
~1:1	00B761	00B792	(【59】かい【59】【48】を【62】した【50】り【58】だ)	There's something set in the wood.)
~1:1	00B780	00B7B6	(ザアルの【25】か…【26】【27】では【28】【29】【30】だ)	(A finely crafted wooden pillar.)
~1:1	00B7A3	00B7D8	(【31】の【25】がたくさん【32】してある)	(Zaal nuts... They're valuable here.)
~1:1	00B7C2	00B7FE	(ザアルの【25】か…【26】【27】では【28】【29】【30】だ)	(A variety of nuts are dried here.)
~1:1	00B7E5	00B822	(【31】の【25】がたくさん【32】してある)	Zaal nuts... They're valuable here.)
~1:1	00B804	00B847	(【63】【18】の【64】の【65】なんて、【66】しいな)	(A variety of nuts are dried here.)
~1:1	00B825	00B86B	(【67】【65】が【32】してある)	(Furs are rare on the frontier.)
~1:1	00B83A	00B88C	(【36】の【68】れる【69】がする…)	(It is almost completely dried out.)
~1:1	00B853	00B8B1	(あれは【36】【70】【71】らしい)	(The sound of rushing water.
~1:1	00B86A	00B8CE	(【36】の【68】れる【69】がする…)	Must be a water pipe.)
~1:1	00B883	00B8E5	(あれは【36】【70】【71】らしい)	(The sound of rushing water.
~1:1	00B89A	00B902	(【36】の【68】れる【69】がする…)	Must be a water pipe.)
~1:1	00B8B3	00B919	(あれは【36】【70】【71】らしい)	(The sound of rushing water.
~1:1	00B8CA	00B936	(【36】の【68】れる【69】がする…)	Must be a water pipe.)
~1:1	00B8E3	00B94D	(あれは【36】【70】【71】らしい)	(The sound of rushing water.
~1:1	00B8FA	00B96A	(【36】の【68】れる【69】がする…)	Must be a water pipe.)
~1:1	00B913	00B981	(あれは【36】【70】【71】らしい)	(The sound of rushing water.
~1:1	00B92A	00B99E	(【36】の【68】れる【69】がする…)	Must be a water pipe.)
~1:1	00B943	00B9B5	(あれは【36】【70】【71】らしい)	(The sound of rushing water.
~1:1	00B95A	00B9D2	(この【72】物は売り物らしい)	Must be a water pipe.)
~1:1	00B975	00B9E9	(【72】物の【73】だ)	(The grain is for sale.)
~1:1	00B984	00BA02	(【74】【75】【76】の【77】【40】【78】だ…)	(A mountain of grain.)
~1:1	00B99B	00BA19	(あちこち【79】した【80】がある)	(It's an ancient airship...
~1:1	00B9B6	00BA35	(【74】【75】【76】の【77】【40】【78】だ)	It is almost fully restored.)
~1:1	00B9CB	00BA53	(【74】【75】【76】の機【81】が【82】いてある)	(An ancient airship.)
~1:1	00B9E8	00BA69	(どれも【83】が【47】えてあるな…)	(There's an ancient machine.
~1:1	00BA05	00BA86	(【74】【75】【76】の機【81】が【82】いてある)	It has been rebuilt.)
~1:1	00BA22	00BA9C	(【45】【46】【30】を【47】【48】したものだ)	(There's an ancient machine.)
~1:1	00BA3D	00BABA	(【21】の【49】に【50】りが【51】ててある)	(It's a processed relic.)
~1:1	00BA5A	00BAD4	(よく【52】えそうなたき【31】だ)	(An example of Zoah craftsmanship.)
~1:1	00BA75	00BAF8	(たき【31】が【51】てかけてある)	(An ample supply of firewood.)
~1:1	00BA90	00BB17	【4】【5】【3】に【20】く	(The wood is very dry.)
~1:1	00BA9D	00BB2F	【14】まで【15】つ	Go to the Liberal District
~1:1	00BAA8	00BB4A	やめる	Wait Until Nightfall
~1:1	00BAAF	00BB5F	【4】【5】【3】に【20】く	Stay
~1:1	00BABC	00BB64	【16】まで【15】つ	Go to the Liberal District
~1:1	00BAC7	00BB7F	やめる	Wait Until Morning
~1:1	00BACE	00BB92	【4】【5】【3】に【20】く	Stay
~1:1	00BADB	00BB97	やめる	Go to Liberal District
~1:1	00BAE2	00BBAE	(【21】は【22】ざされている…)	Stay
~1:1	00BAFB	00BBB3	【1】【2】【3】	(This door is locked...)
~1:1	00BB02	00BBCC	<16>ざされている…)	Holy District
~1:1	00BB14	00BBDA	(【84】なれない【85】物だ…【86】【87】らしい)	(A strange plant... It's edible.)
~1:1	00BB35	00BBFC	(【88】でとれた物だろうか？)	(Must be from the forest.)
