scope	char	index
base	너	12
base	네	13
base	녀	14
base	더	15
base	데	16
base	되	17
base	드	18
base	레	19
base	려	20
base	르	21
base	미	22
base	바	23
base	배	24
base	버	25
base	소	26
base	싸	27
base	얘	28
base	여	29
base	예	30
base	오	31
base	가	32
base	거	33
base	게	34
base	고	35
base	구	36
base	그	37
base	기	38
base	까	39
base	나	40
base	내	41
base	니	42
base	다	43
base	대	44
base	도	45
base	라	46
base	래	47
base	러	48
base	로	49
base	리	50
base	마	51
base	모	52
base	무	53
base	보	54
base	부	55
base	비	56
base	사	57
base	있	72
base	적	73
base	전	74
base	정	75
base	품	76
base	한	77
base	,	78
base	.	79
base	?	80
base	!	81
base	서	83
base	세	84
base	수	85
base	스	86
base	시	87
base	아	88
base	야	89
base	어	90
base	에	91
base	우	92
base	위	93
base	으	94
base	의	95
base	이	96
base	자	97
base	저	98
base	제	99
base	지	100
base	하	101
base	해	102
base	히	103
base	것	104
base	격	105
base	경	106
base	공	107
base	군	108
base	길	109
base	놈	110
base	는	111
base	동	112
base	를	113
base	만	114
base	말	115
base	면	116
base	물	117
base	상	118
base	생	119
base	안	120
base	않	121
base	없	122
base	은	123
base	을	124
base	인	125
base	입	126
base	었	128
base	당	131
base	됩	132
base	들	133
base	런	134
base	력	135
base	록	136
base	맵	137
base	멘	138
base	명	139
base	목	140
base	반	141
base	발	142
base	방	143
base	번	144
base	변	145
base	실	146
base	심	147
base	알	148
base	았	149
base	언	150
base	불	151
base	산	152
base	석	153
base	선	154
base	성	155
base	카	156
base	커	157
base	크	158
base	타	159
base	태	160
base	터	161
base	트	162
base	파	163
base	포	164
base	표	165
base	프	166
base	호	167
base	화	168
base	각	169
base	간	170
base	국	171
base	궁	172
base	극	173
base	난	174
base	능	175
base	건	176
base	걸	177
base	겠	178
base	곤	179
base	곳	180
base	와	181
base	외	182
base	조	183
base	주	184
base	즈	185
base	체	186
base	최	187
base	치	188
base	처	189
base	엣	217
base	역	218
base	온	219
base	옵	220
base	왔	221
base	용	222
base	음	223
base	익	224
base	일	225
base	장	226
base	젤	227
base	족	228
base	준	229
base	중	230
base	직	231
base	진	232
base	쪽	233
base	쫓	234
base	착	235
base	총	236
base	캠	237
base	탄	238
base	탑	239
base	택	240
base	템	241
base	판	242
base	팔	243
base	폭	244
base	플	245
base	할	246
base	함	247
base	합	248
base	했	249
base	행	250
base	형	251
base	힘	252
BTL_A3	&	256
BTL_A3	글	257
BTL_A3	꿰	258
BTL_A3	둥	259
BTL_A3	뚫	260
BTL_A3	루	261
BTL_A3	룰	262
BTL_A3	린	263
BTL_A3	메	264
BTL_A3	밍	265
BTL_A3	벽	266
BTL_A3	살	267
BTL_A3	샤	268
BTL_A3	앰	269
BTL_A3	옥	270
BTL_A3	웨	271
BTL_A3	유	272
BTL_A3	천	273
BTL_A3	출	274
BTL_A3	츠	275
BTL_A3	침	276
BTL_A3	칸	277
BTL_A3	컬	278
BTL_A3	케	279
BTL_A3	콜	280
BTL_A3	쿠	281
BTL_A3	퀴	282
BTL_A3	큰	283
BTL_A3	턱	284
BTL_A3	턴	285
BTL_A3	토	286
BTL_A3	티	287
BTL_A3	피	288
BTL_A32	겨	256
BTL_A32	과	257
BTL_A32	괜	258
BTL_A32	글	259
BTL_A32	금	260
BTL_A32	남	261
BTL_A32	낸	262
BTL_A32	노	263
BTL_A32	돌	264
BTL_A32	뜨	265
BTL_A32	렸	266
BTL_A32	릴	267
BTL_A32	몸	268
BTL_A32	뭐	269
BTL_A32	밍	270
BTL_A32	베	271
BTL_A32	분	272
BTL_A32	식	273
BTL_A32	쓰	274
BTL_A32	액	275
BTL_A32	앰	276
BTL_A32	웨	277
BTL_A32	절	278
BTL_A32	좋	279
BTL_A32	찮	280
BTL_A32	촉	281
BTL_A32	충	282
BTL_A32	츠	283
BTL_A32	칸	284
BTL_A32	컬	285
BTL_A32	케	286
BTL_A32	퀴	287
BTL_A32	턴	288
BTL_A32	통	289
BTL_A32	튕	290
BTL_A32	티	291
BTL_A32	피	292
BTL_A32	험	293
BTL_A32	흡	294
BTL_A5	&	256
BTL_A5	갈	257
BTL_A5	글	258
BTL_A5	꼭	259
BTL_A5	노	260
BTL_A5	달	261
BTL_A5	두	262
BTL_A5	뒤	263
BTL_A5	등	264
BTL_A5	른	265
BTL_A5	린	266
BTL_A5	머	267
BTL_A5	못	268
BTL_A5	밍	269
BTL_A5	봐	270
BTL_A5	빨	271
BTL_A5	뿔	272
BTL_A5	슈	273
BTL_A5	쏘	274
BTL_A5	쏜	275
BTL_A5	액	276
BTL_A5	앰	277
BTL_A5	약	278
BTL_A5	옥	279
BTL_A5	웨	280
BTL_A5	잘	281
BTL_A5	점	282
BTL_A5	종	283
BTL_A5	청	284
BTL_A5	추	285
BTL_A5	츠	286
BTL_A5	칸	287
BTL_A5	컬	288
BTL_A5	케	289
BTL_A5	퀴	290
BTL_A5	키	291
BTL_A5	턴	292
BTL_A5	투	293
BTL_A5	티	294
BTL_A5	푸	295
BTL_A5	풍	296
BTL_A5	피	297
BTL_A5	향	298
BTL_A5	흙	299
BTL_A5	＆	300
BTL_A52	감	256
BTL_A52	강	257
BTL_A52	과	258
BTL_A52	괜	259
BTL_A52	굉	260
BTL_A52	규	261
BTL_A52	글	262
BTL_A52	금	263
BTL_A52	꽤	264
BTL_A52	낙	265
BTL_A52	냈	266
BTL_A52	넘	267
BTL_A52	노	268
BTL_A52	됐	269
BTL_A52	된	270
BTL_A52	둘	271
BTL_A52	든	272
BTL_A52	듯	273
BTL_A52	떻	274
BTL_A52	뜨	275
BTL_A52	란	276
BTL_A52	렇	277
BTL_A52	른	278
BTL_A52	막	279
BTL_A52	머	280
BTL_A52	먹	281
BTL_A52	뭐	282
BTL_A52	밍	283
BTL_A52	봐	284
BTL_A52	분	285
BTL_A52	빨	286
BTL_A52	슈	287
BTL_A52	식	288
BTL_A52	신	289
BTL_A52	쓰	290
BTL_A52	앰	291
BTL_A52	얼	292
BTL_A52	완	293
BTL_A52	왠	294
BTL_A52	왼	295
BTL_A52	움	296
