scope	char	index
base	.	12
base	트	13
base	드	14
base	성	15
base	바	16
base	여	17
base	건	18
base	곤	19
base	조	20
base	버	21
base	길	22
base	레	23
base	주	24
base	었	25
base	미	26
base	탑	27
base	파	28
base	불	29
base	장	30
base	오	31
base	이	32
base	다	33
base	는	34
base	지	35
base	,	36
base	가	37
base	을	38
base	에	39
base	의	40
base	기	41
base	어	42
base	하	43
base	있	44
base	아	45
base	은	46
base	나	47
base	리	48
base	야	49
base	도	50
base	고	51
base	그	52
base	게	53
base	서	54
base	로	55
base	물	56
base	한	57
base	전	72
base	사	73
base	라	74
base	대	75
base	제	76
base	면	77
base	보	78
base	거	79
base	자	80
base	만	81
base	수	83
base	를	84
base	생	85
base	!	86
base	인	87
base	해	88
base	무	89
base	구	90
base	으	91
base	시	92
base	부	93
base	상	94
base	공	95
base	동	96
base	적	97
base	격	98
base	것	99
base	래	100
base	없	101
base	니	102
base	까	103
base	히	104
base	위	105
base	계	106
base	안	107
base	스	108
base	모	109
base	마	110
base	비	111
base	말	112
base	?	113
base	내	114
base	군	115
base	저	116
base	같	117
base	않	118
base	각	119
base	정	120
base	우	121
base	입	122
base	러	123
base	세	124
base	들	125
base	유	126
base	일	128
base	신	131
base	되	132
base	방	133
base	국	134
base	르	135
base	터	136
base	커	137
base	치	138
base	향	139
base	선	140
base	행	141
base	진	142
base	타	143
base	완	144
base	발	145
base	회	146
base	중	147
base	예	148
base	크	149
base	데	150
base	려	151
base	력	152
base	간	153
base	처	154
base	소	155
base	더	156
base	함	157
base	했	158
base	할	159
base	호	160
base	용	161
base	록	162
base	런	163
base	곳	164
base	포	165
base	와	166
base	목	167
base	당	168
base	태	169
base	클	170
base	카	171
base	체	172
base	겠	173
base	총	174
base	능	175
base	음	176
base	녀	177
base	멘	178
base	실	179
base	템	180
base	네	181
base	너	182
base	프	183
base	직	184
base	경	185
base	배	186
base	난	187
base	석	188
base	반	189
base	젤	217
base	품	218
base	역	219
base	놈	220
base	표	221
base	형	222
base	탄	223
base	힘	224
base	최	225
base	심	226
base	판	227
base	온	228
base	린	229
base	외	230
base	변	231
base	좋	232
base	족	233
base	쪽	234
base	번	235
base	플	236
base	복	237
base	준	238
base	폭	239
base	팔	240
base	택	241
base	디	242
base	왔	243
base	쫓	244
base	억	245
base	즈	246
base	께	247
base	익	248
base	착	249
base	맵	250
base	궁	251
base	극	252
BTL_A3	&	256
BTL_A3	글	257
BTL_A3	꿰	258
BTL_A3	둥	259
BTL_A3	뚫	260
BTL_A3	루	261
BTL_A3	룰	262
BTL_A3	메	263
BTL_A3	멜	264
BTL_A3	밍	265
BTL_A3	벽	266
BTL_A3	샤	267
BTL_A3	앰	268
BTL_A3	옥	269
BTL_A3	웨	270
BTL_A3	천	271
BTL_A3	출	272
BTL_A3	츠	273
BTL_A3	침	274
BTL_A3	칸	275
BTL_A3	컬	276
BTL_A3	케	277
BTL_A3	콜	278
BTL_A3	쿠	279
BTL_A3	퀴	280
BTL_A3	큰	281
BTL_A3	턱	282
BTL_A3	턴	283
BTL_A3	토	284
BTL_A3	티	285
BTL_A3	피	286
BTL_A32	겨	256
BTL_A32	과	257
BTL_A32	괜	258
BTL_A32	글	259
BTL_A32	금	260
BTL_A32	남	261
BTL_A32	노	262
BTL_A32	뜨	263
BTL_A32	렸	264
BTL_A32	릴	265
BTL_A32	몸	266
BTL_A32	뭐	267
BTL_A32	밍	268
BTL_A32	박	269
BTL_A32	베	270
BTL_A32	분	271
BTL_A32	식	272
BTL_A32	쓰	273
BTL_A32	액	274
BTL_A32	앰	275
BTL_A32	웨	276
BTL_A32	절	277
BTL_A32	찮	278
BTL_A32	촉	279
BTL_A32	충	280
BTL_A32	츠	281
BTL_A32	칸	282
BTL_A32	컬	283
BTL_A32	케	284
BTL_A32	퀴	285
BTL_A32	턴	286
BTL_A32	통	287
BTL_A32	튕	288
BTL_A32	티	289
BTL_A32	피	290
BTL_A32	험	291
BTL_A32	화	292
BTL_A32	흡	293
BTL_A5	&	256
BTL_A5	갈	257
BTL_A5	글	258
BTL_A5	꼭	259
BTL_A5	노	260
BTL_A5	달	261
BTL_A5	두	262
BTL_A5	뒤	263
BTL_A5	등	264
BTL_A5	른	265
BTL_A5	머	266
BTL_A5	못	267
BTL_A5	밍	268
BTL_A5	빨	269
BTL_A5	뿔	270
BTL_A5	산	271
BTL_A5	슈	272
BTL_A5	쏘	273
BTL_A5	쏜	274
BTL_A5	액	275
BTL_A5	앰	276
BTL_A5	약	277
BTL_A5	엣	278
BTL_A5	옥	279
BTL_A5	웨	280
BTL_A5	잘	281
BTL_A5	점	282
BTL_A5	종	283
BTL_A5	청	284
BTL_A5	추	285
BTL_A5	츠	286
BTL_A5	칸	287
BTL_A5	컬	288
BTL_A5	케	289
BTL_A5	퀴	290
BTL_A5	키	291
BTL_A5	턴	292
BTL_A5	투	293
BTL_A5	티	294
BTL_A5	푸	295
BTL_A5	풍	296
BTL_A5	피	297
BTL_A5	흙	298
BTL_A5	＆	299
BTL_A52	감	256
BTL_A52	강	257
BTL_A52	걸	258
BTL_A52	과	259
BTL_A52	괜	260
BTL_A52	굉	261
BTL_A52	규	262
BTL_A52	글	263
BTL_A52	금	264
BTL_A52	꽤	265
BTL_A52	낙	266
BTL_A52	냈	267
BTL_A52	넘	268
BTL_A52	노	269
BTL_A52	됐	270
BTL_A52	된	271
BTL_A52	둘	272
BTL_A52	든	273
BTL_A52	떻	274
BTL_A52	뜨	275
BTL_A52	란	276
BTL_A52	렇	277
BTL_A52	른	278
BTL_A52	막	279
BTL_A52	머	280
BTL_A52	먹	281
BTL_A52	명	282
BTL_A52	뭐	283
BTL_A52	밍	284
BTL_A52	봐	285
BTL_A52	분	286
BTL_A52	빨	287
BTL_A52	슈	288
BTL_A52	식	289
BTL_A52	쓰	290
BTL_A52	앰	291
BTL_A52	얼	292
BTL_A52	엣	293
BTL_A52	왠	294
BTL_A52	왼	295
BTL_A52	움	296
BTL_A52	웨	297
BTL_A52	작	298
BTL_A52	잖	299
BTL_A52	잠	300
BTL_A52	증	301
BTL_A52	찮	302
BTL_A52	충	303
