name	offset	len	text
E074.EPK	0337F3	22	…帝国軍！ なんで？
E074.EPK	095687	28	作戦は予定通り進行している
E074.EPK	0C2B27	12	帰隊するぞ
E074.EPK	0C2B33	16	り進行している
E074.EPK	0CDEA3	16	り進行している
E074.EPK	13E6F7	22	ふん、騎兵隊の連中、
E074.EPK	15F78F	20	飽きもせずよくやる
E074.EPK	18CF4F	38	ここの人間には【18】えるんじゃないですか
E074.EPK	1BBA33	26	なんせ、戦闘機を見るのは
E074.EPK	1D33A3	20	初めてでしょうから
E074.EPK	1EBCFF	16	かもしれんな…
E074.EPK	2056EB	10	…行くぞ
E078.EPK	00009C	16	なのヲ？？0 
E078.EPK	02CBBB	12	エッジ！？
E078.EPK	0763CB	40	さっそくドラゴンの力を利用しようってか
E078.EPK	0B4587	22	いいかげんにしろよ！
E078.EPK	0BEAA3	18	このクソ親父！！
E078.EPK	0F4EFB	14	気をつけろよ
E078.EPK	10A4EB	32	どうせ、ろくなこと考えてないぜ
E078.EPK	166A83	28	君か、エッジ君というのは…
E078.EPK	194B7F	26	まあ、とにかく入ってくれ
E078.EPK	1D7207	38	息子がずいぶん世話になってるようだな
E078.EPK	213CC3	32	きちんと【12】【13】すべきなんだろうが
E078.EPK	23D41B	30	なにぶん、時期が時期だけにな
E078.EPK	27667B	24	本題に入らせてもらうよ
E078.EPK	2DA9BF	24	…君も知ってるだろうが
E078.EPK	30AED7	32	この街に帝国と名乗る一団が来た
E078.EPK	34AFF7	38	彼らは、この街を明け渡せと言っておる
E078.EPK	396737	14	ふざけた話だ
E078.EPK	396745	24	を明け渡せと言っておる
E078.EPK	3D5077	30	帝国の噂は今までも聞いておる
E078.EPK	3E6E06	8	期利
E078.EPK	3E6FE6	8	期※
E078.EPK	4174C3	22	その冷酷なやり方もな
E078.EPK	437923	36	評議会でも、降【39】すべきという意見が
E078.EPK	46414F	20	主流を占めつつある
E078.EPK	4A9DDF	40	我々が戦っても勝ち目がないというわけだ
E078.EPK	4E5551	5	期※
E078.EPK	4EA769	5	期※
E078.EPK	4EA949	5	期※
E078.EPK	50E14B	36	その帝国も敗北した事が2度だけある
E078.EPK	59F5EF	32	あのバカ息子の言う事が本当なら
E078.EPK	5C48B3	22	君に頼みたい事がある
E078.EPK	6071B3	38	そのドラゴンで奴らをけちらしてほしい
E078.EPK	643C6B	26	むろん、ただでとは言わん
E078.EPK	68F1BF	22	聞けば、息子と同じく
