disc	epk	offset	len	jp
1	E021.EPK	4CFAC3	8	　えっ？
2	E034.EPK	0E2D63	8	いたんだ
2	E034.EPK	57DADF	8	　いや…
2	E052.EPK	0C68CF	8	たんだぜ
2	E052.EPK	5152C7	8	　エッジ
2	E052.EPK	51F87D	6	いんだ
2	E052.EPK	6F1A4F	8	　はず？
3	E074.EPK	0CDE97	6	　はっ
3	E074.EPK	0CDE9D	6	するぞ
3	E078.EPK	064C8B	8	　ふーん
3	E078.EPK	10A50B	8	うってか
3	E078.EPK	213CE3	6	うだな
3	E078.EPK	2DA9D7	6	けにな
3	E078.EPK	50AAC3	8	　だが…
3	E078.EPK	A08BFB	6	こめる
3	E090.EPK	225D2B	8	　あれ？
1	E024.EPK	2CB593	36	それらしいのなら、３日ほど前に来た
2	E052.EPK	2706CF	40	自分の知らないものを否定するってのは、
2	E052.EPK	301873	18	その点、俺は違う
3	E074.EPK	18CF4F	38	ここの人間には堪えるんじゃないですか
3	E078.EPK	213CC3	32	きちんと挨拶すべきなんだろうが
3	E078.EPK	437923	36	評議会でも、降伏すべきという意見が
3	E078.EPK	50E14B	36	その帝国も敗北した事が２度だけある
3	E087.EPK	B9BD0B	30	まさにこの街の英雄だよ、君は
2	E034.EPK	1313AB	34	そりゃそんな陳腐なもんじゃねえよ
2	E052.EPK	71C437	34	こいつを使って撮ったもんだからな
3	E087.EPK	1E51A3	34	はっ！　仮にも司祭ともあろう方が
3	E087.EPK	22BDA7	38	そのような流言蜚語に惑わされるとは！
