epk	offset	len	text
E006.EPK	0029E6	15	【2918】まへふひは3
E011.EPK	04288C	33	ふう、どこまで続いてるんだろう…
E011.EPK	09D4E0	9	うわっ！
E011.EPK	0D38B0	13	…どうした？
E011.EPK	0F8EA8	21	何が起こってるんだ…
E011.EPK	11ED68	19	よし、行ってみよう
E011.EPK	1AB77C	13	ちくしょう！
E011.EPK	2553B0	27	へへっ！ ざまあみやがれ！
E011.EPK	3CE604	19	穴の中に隠れて！！
E011.EPK	3F00C8	21	あ…ああ、すまない！
E014.EPK	0B2524	15	こりゃあ一体…
E014.EPK	0D633C	27	あんたの…ドラゴンなのか？
E014.EPK	0FF464	21	儀のってわけじゃない
E014.EPK	1148D0	39	なぜか、言うことは聞いてくれるんだけど
E014.EPK	1C03E8	23	ドラゴンねえ…そうか…
E014.EPK	1F503C	39	確かに、こいつがあれば帝国とも戦える…
E014.EPK	2573A8	21	帝国と戦うだって！？
E014.EPK	299F20	33	まさか、おまえもクレイメンの！？
E014.EPK	2B39B8	19	てよ、人違いだって
E014.EPK	2E6B24	29	クレイメンのなんかじゃない、
E014.EPK	2FA530	15	俺はシーカーだ
E014.EPK	2FA540	13	かじゃない、
E014.EPK	326BA0	25	シーカー？ 盗掘集団の？
E014.EPK	357BF8	25	おいおい、人聞きが悪いな
E014.EPK	3874CC	35	俺達が盗掘者なら、帝国だってそうさ
E014.EPK	3CD8F0	31	あの宝の山が奴らのものだって、
E014.EPK	3FA33C	13	誰が決めた？
E014.EPK	418A78	39	そのシーカーのあんたがなぜこんな所に？
E014.EPK	4634B0	37	仲間との合流地点に向かってたんだが…
E014.EPK	48BFA8	35	近道をしてたら、あいつに襲われてな
E014.EPK	4D7098	17	いや、助かったよ
E014.EPK	52616C	31	で、ついでといっちゃなんだが、
E014.EPK	5592E4	29	俺をそこまで運んでくれないか
E014.EPK	5A189C	21	なに、そう遠くはない
E014.EPK	5BFFE0	39	カイナスの村っていって、ここのすぐ南さ
E014.EPK	626604	21	そんなに警戒するなよ
E014.EPK	66EBB4	27	一人旅には慣れてないんだろ
E014.EPK	6A2A98	13	力になるぜ！
E014.EPK	6DB348	35	わかった、だけどその村に行くだけだ
E014.EPK	743B24	23	自【52】紹介がまだだったな
E014.EPK	78CAE8	17	俺の名はガッシュ
E014.EPK	7AC930	39	本名は、スキアド=オプス=ガッシュって
