disc	epk	offset	len	max칸	frag	jp
1	E006.EPK	0029E8	13	6		まへふひは3
1	E011.EPK	04288B	34	16		ふう、どこまで続いてるんだろう…
1	E011.EPK	09D4DF	10	4		うわっ！
1	E011.EPK	0B3547	8	3		何だ？
1	E011.EPK	0D38AF	14	6		…どうした？
1	E011.EPK	0F8EA7	22	10		何が起こってるんだ…
1	E011.EPK	11ED67	20	9		よし、行ってみよう
1	E011.EPK	1AB77B	14	6		ちくしょう！
1	E011.EPK	2553AF	28	13		へへっ！ ざまあみやがれ！
1	E011.EPK	3BC127	8	3		早く！
1	E011.EPK	3CE603	20	9		穴の中に隠れて！！
1	E011.EPK	3F00C7	22	10		あ…ああ、すまない！
1	E014.EPK	0B2523	16	7		こりゃあ一体…
1	E014.EPK	0D633B	28	13		あんたの…ドラゴンなのか？
1	E014.EPK	0FF463	22	10		儀のってわけじゃない
1	E014.EPK	1148CF	40	19		なぜか、言うことは聞いてくれるんだけど
1	E014.EPK	1230EB	7	3		事※※
1	E014.EPK	1C03E7	24	11		ドラゴンねえ…そうか…
1	E014.EPK	1F503B	40	19		確かに、こいつがあれば帝国とも戦える…
1	E014.EPK	2573A7	22	10		帝国と戦うだって！？
1	E014.EPK	299F1F	34	16		まさか、おまえもクレイメンの！？
1	E014.EPK	2B39A7	36	17		ちょ、ちょっと待てよ、人違いだって
1	E014.EPK	2E6B23	30	14		クレイメンのなんかじゃない、
1	E014.EPK	2FA52F	16	7		俺はシーカーだ
1	E014.EPK	2FA53F	14	6		んかじゃない、
1	E014.EPK	326B9F	26	12		シーカー？ 盗掘集団の？
1	E014.EPK	357BF7	26	12		おいおい、人聞きが悪いな
1	E014.EPK	3874CB	36	17		俺達が盗掘者なら、帝国だってそうさ
1	E014.EPK	3CD8EF	32	15		あの宝の山が奴らのものだって、
1	E014.EPK	3FA33B	14	6		誰が決めた？
1	E014.EPK	418A77	40	19		そのシーカーのあんたがなぜこんな所に？
1	E014.EPK	4634AF	38	18		仲間との合流地点に向かってたんだが…
1	E014.EPK	48BFA7	36	17		近道をしてたら、あいつに襲われてな
1	E014.EPK	4D7097	18	8		いや、助かったよ
1	E014.EPK	52616B	32	15		で、ついでといっちゃなんだが、
1	E014.EPK	5592E3	30	14		俺をそこまで運んでくれないか
1	E014.EPK	5A189B	22	10		なに、そう遠くはない
1	E014.EPK	5BFFDF	40	19		カイナスの村っていって、ここのすぐ南さ
1	E014.EPK	626603	22	10		そんなに警戒するなよ
1	E014.EPK	66EBB3	28	13		一人旅には慣れてないんだろ
1	E014.EPK	6A2A97	14	6		力になるぜ！
1	E014.EPK	6DB347	36	17		わかった、だけどその村に行くだけだ
1	E014.EPK	710D1B	12	5		十分、十分
1	E014.EPK	743B23	24	11		自【52】紹介がまだだったな
1	E014.EPK	78CAE7	18	8		俺の名はガッシュ
1	E014.EPK	7AC92F	40	19		本名は、スキアド=オプス=ガッシュって
1	E014.EPK	7E65B3	34	16		言うんだが…まあ、ガッシュでいい
1	E014.EPK	8262AB	26	12		こう見えても、この辺りの
1	E014.EPK	84CBFF	20	9		情報には詳しいんだ
1	E014.EPK	882BFF	30	14		遣跡のこと、攻性生物のこと、
1	E014.EPK	8C725F	22	10		何だって教えてやるぜ
1	E014.EPK	8C7275	8	3		のこと、
1	E021.EPK	02CAF3	20	9		何だ！！ 一体！？
1	E021.EPK	065D4F	24	11		…ガッシュ！ あれ！！
1	E021.EPK	13C853	28	13		くそっ、不死身か、奴は！？
1	E021.EPK	21C30B	8	3		何！？
1	E021.EPK	25CB27	14	6		変形した！！
1	E021.EPK	2B1019	5	2		う何
1	E021.EPK	431D83	12	5		…すごい…
1	E021.EPK	45ECEB	26	12		状況に応じた変形能力…か
1	E021.EPK	4A70AF	22	10		やっぱり、こいつは…
1	E021.EPK	4E191B	18	8		いや、何でもない
1	E021.EPK	504F87	34	16		それより、早いとこ地上に戻ろうぜ
1	E021.EPK	5311B3	22	10		遣跡の出□は目の前だ
1	E021.EPK	5311C9	12	5		に戻ろうぜ
