file	offset	ko
MENUEN.PRG	0028C0	쿠룰
TWN_EXCA.PRG	011214	게오르기우스에서 가져온 부품을\n파에트에게 보여주는 에지.\n그러나 파에트는 만족하지 않고,\n다시 게오르기우스행을 명령한다.\n \n(미완성・향후 이벤트로 처리 예정)\n
TWN_EXCA.PRG	011797	바이만은 교회 성당의 열쇠를\n에지에게 건넨다.마을 유산인\n「『수호의 불씨』의 불씨」가\n안치되어 있다고 한다.\n \n(미완성・향후 대사 삽입 예정)\n
TWN_RUIN.PRG	00B100	대장을 발견하나 깊은 상처를 입었다\n에지에게 지도를 주고 숨을 거둔다.\n
TWN_RUIN.PRG	00B2D6	술집 주인에게 이야기를 듣는 에지.\n이 근처엔 「탑」이란 유적이 있고\n크레이멘 함대는 그리로 향했다 한다\n이 마을에 사는 파에트라는 남자가,\n탑에 대해 자세히 알고 있는 듯.\n에지는 그가 그렸다는 탑 그림을\n손에 넣는다.드래곤이 보여준\n환영과 같은 광경이 있었다.\n \n(미완성・향후 조작 가능 예정)\n
TWN_RUIN.PRG	00B4F0	게오르기우스에서 가져온 부품을\n파에트에게 보여주는 에지.\n그러나 파에트는 만족하지 않고,\n다시 게오르기우스행을 명령한다.\n \n(미완성・향후 이벤트로 처리 예정)\n
TWN_RUIN.PRG	00BA73	바이만은 교회 성당의 열쇠를\n에지에게 건넨다.마을 유산인\n「『수호의 불씨』의 불씨」가\n안치되어 있다고 한다.\n \n(미완성・향후 대사 삽입 예정)\n
TWN_CARA.PRG	00F0A0	저,저기,이거…
TWN_CARA.PRG	0132FE	…응…
TWN_SEEK.PRG	0086F8	어라?
TWN_SEEK.PRG	00D77D	…아아…
