budget	need	why	jp	ko
2	3	예산	ね	네
12	21	예산	<!E0>14階 東	<!E0>14층 동쪽
2	3	예산	れ	레
2	3	예산	コ	코
6	12	예산	<!86>ート	<!86>트
4	11	예산	<!9C>な	<!9C>나
16	18	예산	<!A2>ゃないだろうな	<!A2>는 아니겠지
10	19	예산	<!DD>通路北□	<!DD>통로 북□
6	15	예산	<!E2>納層	<!E2>수납층
17	22	예산	)<1D><1A><01>イス」ゥスゆゆりもョ。ォ	)<1D><1A><01>이스」우스유유리모요。오
17	21	예산	)<1D><1A><01>イス」・スゆらろもョ。ォ	)<1D><1A><01>이스」・스유라로모요。오
17	23	예산	)<1D><1A><01>イスイースゆゆりもョ。ォ	)<1D><1A><01>이스이-스유유리모요。오
17	23	예산	)<1D><1A><01>イスェ「スゆゆよもョ。ォ	)<1D><1A><01>이스에「스유유요모요。오
17	23	예산	)<1D><1A><01>イスークスりらゆもョ。ォ	)<1D><1A><01>이스-크스리라유모요。오
10	22	예산	<!87>令が出た	<!87>명령이 내려졌다
33	37	예산	<!8B><01>(こちらに気づく様子もない…)	<!8B><01>(이쪽을 알아차릴 기색도 없다…)
12	16	예산	<!9C>変わったね	<!9C>변했네
14	20	예산	<!9C>安置されとる	<!9C>안치되어 있다
8	16	예산	<!A0>の前だ	<!A0> 앞이다
14	19	예산	<!A1>かりそうだよ	<!A1>알 것 같아
4	11	예산	<!A2>さ	<!A2>야
16	21	예산	<!A3>は死んじまった	<!A3>은 죽어버렸다
14	19	예산	<!A6>いそうだな)	<!A6>인 것 같군)
18	26	예산	<!A6>いたいはそうだな	<!A6>싶다는 건 그렇겠지
4	11	예산	<!A6>ぜ	<!A6>야
8	12	예산	<!A8>なのだ	<!A8>이다
8	13	예산	<!A9>あり…	<!A9>있고…
10	15	예산	<!A9>はないぞ	<!A9>는 없어
14	23	예산	<!A9>手に入れた？	<!A9> 손에 넣었어？
12	17	예산	<!AA>うやって？	<!AA> 어떻게？
4	11	예산	<!AA>な	<!AA>군
10	16	예산	<!B0>い男だぜ	<!B0> 남자야
6	16	예산	<!B1>れ液	<!B1> 액체
12	18	예산	<!BA>ねえのか？	<!BA>없는 거냐？
8	12	예산	<!BA>ねえよ	<!BA>없어
16	26	예산	<!BD>すぐ飛ぶだけだ	<!BD>그냥 날아갈 뿐이다
4	13	예산	<!BD>た	<!BD>했다
6	13	예산	<!BD>たな	<!BD>했군
8	15	예산	<!BD>たのは	<!BD>한 건
20	24	예산	<!BD>てのは、おまえか？	<!BD>다는 건, 너냐？
6	13	예산	<!BD>てよ	<!BD>해줘
10	20	예산	<!BD>てるのさ	<!BD>하고 있는 거야
4	11	예산	<!C0>だ	<!C0>다
6	13	예산	<!D4>した	<!D4>했다
10	15	예산	<!DA>えときな	<!DA>해 둬
8	13	예산	<!DE>内部)	<!DE>내부)
10	22	예산	<!EC>き物でな	<!EC> 생물이라서 말이지
4	11	예산	<!F8>だ	<!F8>다
4	21	예산	<!FE><!96>セ	<!FE><!96>세
4	14	예산	<!FF>モョ	<!FF>모료
15	21	예산	<01><01>イスエクスゆりわもョ。ォ	<01><01>이스에크스유리와모요。오
19	26	예산	<01><10><09><05>ホ<01>イスー・スゆゆよもョ。ォ	<01><10><09><05>호<01>이스ー・스유유요모요。오
19	25	예산	<01><10><09><05>リ<01>イスー「スゆゆよもョ。ォ	<01><10><09><05>리<01>이스ー「스유유요모요。오
4	5	예산	<01>み<01>	<01>미<01>
11	14	예산	<02>る<1E>＋<1E>。<1E>「ュひ	<02>루<1E>＋<1E>。<1E>「유히
8	17	예산	<09>\n<05><!F2>ツ<1B><09>	<09>\n<05><!F2>츠<1B><09>
8	17	예산	<09>\n<05><!F2>ヨ<1B><09>	<09>\n<05><!F2>요<1B><09>
7	8	예산	<09>\n<05>「フ<07>	<09>\n<05>「후<07>
16	18	예산	<09>\n<05>ェめ<01><19><1B><09>\n<05>ュ<0F><02><09>	<09>\n<05>에메<01><19><1B><09>\n<05>유<0F><02><09>
8	9	예산	<09>\n<05>ェメ<1B><09>	<09>\n<05>에메<1B><09>
8	9	예산	<09>\n<05>ェレ<1B><09>	<09>\n<05>에레<1B><09>
8	9	예산	<09>\n<05>クむ<02><09>	<09>\n<05>쿠무<02><09>
8	10	예산	<09>\n<05>ュの<02><09>	<09>\n<05>유노<02><09>
8	9	예산	<09>\n<05>ュァ<03><09>	<09>\n<05>유아<03><09>
8	10	예산	<09>\n<05>ュコ<02><09>	<09>\n<05>유코<02><09>
19	33	예산	<09>\n<07>)<!CC><01>イスーキスゆゆらもョ。ォ	<09>\n<07>)<!CC><01>이스ー키스유유라모요。오
20	33	예산	<09>\n<07>)<!CC><1D><01>イスェースゆゆりもョ。ォ	<09>\n<07>)<!CC><1D><01>이스에ー스유유리모요。오
8	16	예산	<09>\n<07><!D3>神<07>	<09>\n<07><!D3>신<07>
12	13	예산	<09>\n<07><13>「も<09><01>む<1D><1B>	<09>\n<07><13>「모<09><01>무<1D><1B>
8	9	예산	<09>\n<07><13>チ\n<09>	<09>\n<07><13>치\n<09>
8	10	예산	<09>\n<07>ひめ<01><07>	<09>\n<07>히메<01><07>
19	26	예산	<09>\n<07>ョ<10><01>イスョイスゆれろもョ。ォ	<09>\n<07>요<10><01>이스요이스유레로모요。오
8	17	예산	<09>\n<08><!CF>ヌ<01><07>	<09>\n<08><!CF>누<01><07>
8	17	예산	<09>\n<08>ヒ<!99><02><09>	<09>\n<08>히<!99><02><09>
8	9	예산	<09>\n<08>ヒ索<09>	<09>\n<08>히색<09>
8	11	예산	<09>\n<08>フヌふ<09>	<09>\n<08>후누후<09>
8	11	예산	<09>\n<08>フョふ<09>	<09>\n<08>후요후<09>
8	9	예산	<09>\n<08>ホ、<02><09>	<09>\n<08>호、<02><09>
8	9	예산	<09>\n<08>ルに<01><07>	<09>\n<08>루니<01><07>
8	9	예산	<09>\n<09>ソ…<05><09>	<09>\n<09>소…<05><09>
24	39	예산	<09>\n<09>ヤ<!CD><1D><10><05><1A><1A><01>イス「ォスゆゆよもョ。ォ	<09>\n<09>야<!CD><1D><10><05><1A><1A><01>이스「오스유유요모요。오
8	9	예산	<09>\n\n！ひ<02><09>	<09>\n\n！히<02><09>
12	23	예산	<0B>ゆニわニ・<11><!8B><02>セ。	<0B>유니와니・<11><!8B><02>세。
6	8	예산	<0B>ゆハセア	<0B>유하세아
6	8	예산	<0D>\n<05>ホト	<0D>\n<05>호토
6	7	예산	<10>\n<05>ルの	<10>\n<05>루의
23	27	예산	\n<05>ケ<14>\n<05>ケェ\n<05>コヨ\n<05>サシクルル	\n<05>케<14>\n<05>케에\n<05>코요\n<05>사시쿠루루
11	22	예산	\n<05>セ<!8A>ャューォスォ	\n<05>세<!8A>츄ー오스오
5	6	예산	\n<05>ル<1D>	\n<05>루<1D>
5	6	예산	…はりツ	…하리츠
2	3	예산	ぬ	누
28	31	예산	や<!E6>ュぬ<!D3>わ。<0B>フ。ー<03><!90>ト<!D3>れ。<0B><02><!E6>ー<03><!E3><01><!90>ソ<!E4>	[깨진 문자열 - 번역 불가]
2	3	예산	ん	음
7	8	예산	エーェ。ーャ	에에. 야
8	10	예산	ク\n\nねイ<01><1B>	쿠\n\n네이<01><1B>
8	11	예산	ク\n\nねソ<01><1B>	쿠\n\n네소<01><1B>
13	16	예산	チーのら<14>よーッ<14>ぬアー	치노라<14>요옷<14>누아아
19	42	예산	ナアわヲ・<11><!89>\nタノらヨ＋<15><!89><08>セ。	나아와오・<11><!89>\n타노라요+<15><!89><08>세。
