budget	need	why	jp	ko
8	29	예산	ワ路東□	[원문 손상 - 확인 필요]
11	29	예산	主翼部投来	[원문 손상 - 확인 필요]
84	96	예산	原初の黄昏、\n人は、争いを始めた。\n闇を知らぬ人は、黄昏を恐れ、\n心乱して殺しあった。	태초의 황혼,\n인간은 다툼을 시작했다.\n어둠을 모르는 인간은 황혼을 두려워하여,\n마음이 흐트러져 서로 죽였다.
31	41	예산	(今の声…直接頭に響いてきた)	(방금 그 목소리… 직접 머릿속에 울려왔다)
21	30	예산	(木彫りの飾り柱だ)	(나무 조각으로 만든 장식 기둥이다)
31	40	예산	世界を再び人の手に戻せるのは、	세계를 다시 인간의 손에 되돌릴 수 있는 것은,
35	44	예산	私は、地の底で何千年も眠っていたわ	나는 땅속 깊은 곳에서 몇천 년이나 잠들어 있었어
33	41	예산	あとは客足が戻れば言うことなしね	나머지는 손님만 돌아오면 더 바랄 게 없겠네
21	29	예산	この村もこんな事には	이 마을도 이런 일을 당할 줄은
35	43	예산	なんたって「護り火」の番人だからな	뭐니 뭐니 해도 '수호의 불'의 파수꾼이니까 말이야
23	31	예산	シーカーの里へようこそ	시커의 마을에 오신 것을 환영합니다
19	27	예산	各機、哨戒を忌るな	각 기체, 초계를 게을리하지 마라
31	38	예산	(頭に直接響いてくる…感じだ)	(머릿속에 직접 울려온다… 그런 느낌이다)
29	36	예산	あなたを見たような気がするの	당신을 본 적이 있는 것 같은 느낌이 들어
35	42	예산	主砲を除く各部、出力開放、いけます	주포를 제외한 각 부위, 출력 개방, 가능합니다
15	22	예산	思わせてるがな	그렇게 생각하게 만들고 있지만
31	38	예산	栄華を誇った文明が滅んで数千年	영화를 자랑하던 문명이 멸망하고 수천 년
35	42	예산	滑走用レール浮上、緊急発進準備完了	활주용 레일 부상, 긴급 발진 준비 완료
25	32	예산	青い二本柱が目印だとか…	파란 기둥 두 개가 표식이라던데…
21	27	예산	4番発掘所より入電！	4번 발굴소에서 전화가 왔다!
17	23	예산	…そう願いたいな	…그렇게 되길 바라고 싶군
33	39	예산	あれは、この街を滅ぼしかねん男だ	저 남자는 이 거리를 멸망시킬 수도 있는 놈이야
35	41	예산	これ以上そいつを陛下に近づけるな！	더 이상 저 녀석을 폐하께 가까이 가게 하지 마!
21	27	예산	その罪は万死に値する	그 죄는 만 번 죽어 마땅하다
13	19	예산	どちらも同じ	어느 쪽이든 마찬가지
19	25	예산	何度でも再建できる	몇 번이든 재건할 수 있다
25	31	예산	全ては今、私と共にある…	모든 것은 지금, 나와 함께 있다…
15	21	예산	北奥部への出□	북쪽 안쪽으로 가는 출구
21	27	예산	各艦、死ぬ気でかかれ	각 함, 죽을 각오로 덤벼라
23	29	예산	必要以上の詮索は無用、	필요 이상의 캐묻기는 필요 없다,
27	33	예산	手すきの者は消火にあたれ！	손이 비는 자는 소화 작업에 임하라!
17	23	예산	掟なんかなくてさ	규율 같은 건 없어서 말이야
17	23	예산	沈没船下の隠れ穴	침몰선 아래 숨겨진 굴
21	27	예산	現在交戦中、援軍求む	현재 교전 중, 지원군 요청
11	16	예산	20Dn払う	20Dn 지불한다
29	34	예산	内臓は薬になるし、塩もとれる	내장은 약이 되고, 소금도 얻을 수 있어
35	40	예산	(すぐにもここを出られそうなのに)	(지금 당장이라도 여기서 나갈 수 있을 것 같은데)
27	32	예산	(どれも使い込んであるな)	(어느 것이나 많이 사용한 티가 나는군)
11	16	예산	10Dn払う	10Dn 지불하다
37	42	예산	…でも、もう元の場所には戻れないぞ…	…하지만, 이제 원래 있던 곳으로는 돌아갈 수 없다…
10	15	예산	…抜け穴？	…빠져나갈 구멍？
39	44	예산	あの船に乗ってたガキ、何者だったんだ？	그 배에 타고 있던 꼬맹이, 대체 누구였던 거야?
17	22	예산	この街は好かん…	이 거리는 마음에 안 들어…
37	42	예산	だからこそ、多くの者が森の奥に行って	그렇기 때문에, 많은 이들이 숲 깊은 곳으로 가서
14	19	예산	なってるはずだ	그렇게 되어 있을 것이다
33	38	예산	やむを得ん、各冥第一種戦闘配備！	어쩔 수 없다, 각 명계 제1종 전투배치!
25	30	예산	ゾアの森のなれの果てだ…	조아의 숲이 변해 버린 모습이다…
15	20	예산	ゾアの森進入可	조아의 숲 진입 가능
15	20	예산	ゾアの街進入可	조아 시가지 진입 가능
