0	포지셔닝은 게이지를 쓰지 않으므로\n언제든 할 수 있지만\n포지셔닝 중엔 게이지가 안 찬다.
1	\n에지의 통상 공격。\n방향 버튼으로 조준을 움직여\n적을 노려 쏠 수 있다。\n단,한 번에 쏘는 건 한 곳。
2	남은 게이지는 그대로 남는다.\n1게이지마다 쓸지\n여러 게이지를 모아 쓸지\n상황에 맞게 가려 쓰면\n전투가 유리해진다.
3	특정 방향의 공격에 대해\n회피나 반격을 하는 적,\n특정 방향만 노릴 수 있는 적도 있다.
4	예를 들어 드래곤이 있는\n색이 없는 방향으로는\n위험도가 낮은 공격이 온다.
5	표준형:서서히 HP회복\n공격형:일정 확률 반격\n심기형:서서히 BP회복\n방어형:방어력 2배\n기동형:상태이상 자동해제
6	화면에 뜨지 않지만\n적도 게이지를 지녀\n일정 간격으로 행동한다.\n게이지가 차는 속도는\n적마다 다르다.
7	게이지가 1개 이상 차면\n커맨드 아이콘을 열어\n그때 찬 게이지 양으로\n가능한 행동을 고를 수 있다.
8	\n드래곤의 통상 공격。\n여러 레이저를 발사한다。\n한 번에 쏘는 레이저 수엔\n제한이 있다。
9	단,포지셔닝 중에는\n게이지가 안 차므로\n포지셔닝을 많이 할수록\n시간 손실이 되니 주의.
10	다음 성능을 일시 조정할 수 있다.\n・레이저 위력\n・버서크 위력＆소비 BP\n・적 공격의 피해\n・포지셔닝 속도
11	방어력 높은 적에게 유효하나\n약점에 맞아도\n위력은 그대로다.\n드래곤 회복이나 전투를 돕는\n버서크도 있다.
12	이처럼 포지셔닝으로\n적 공격을 피하거나\n효과적으로 공격할 수 있다.\n포지셔닝을 다루면\n전투가 유리해진다.
13	타입마다 특수 능력이 있다.\n게이지가 3개 찬 상태에선\n게이지도 BP도 안 쓰고\n자동 발동한다.
14	하나를 극단적으로 키우든\n전부 고르게 키우든 자유.\n자기 플레이 방식에 맞게\n키울 수 있다.
15	각 타입에는\n전용 버서크가 있어\n그 타입이 아니면 못 쓴다.\n게이지를 3개 쓰지만\nBP는 안 쓴다.
16	조작은 커맨드 아이콘으로 하나\n레이저와 총은 아이콘 없이\n버튼 하나로도 쏜다.\n누른 채로 쓸 수도 있다.
17	경험치가 차면 레벨업하고\n드래곤과 총의 기본 성능이 올라,\n타입 셀렉트로 어떻게 조정해\n싸웠는가가\n그 상승폭에 영향을 준다.
18	・기본 성능 조정\n・성장1〜기본 성능 상승\n・성장2〜버서크 습득\n・타입 전용1〜3게이지 기술\n・타입 전용2〜특수 능력
19	광학 내성 적에겐 효과가 약하다.\n광학 내성 적에게 총을 겨누면\n<03>\nANTI LASER\n(안티 레이저)<03>
20	로 확인한다.\n적은 늘 중심에 뜨고\n드래곤은 그 둘레에 뜬다.
21	다음 성능 상승에 관계한다.\n・레이저 기본 위력\n・BP 최대치\n・HP 최대치\n・총 기본 위력
22	적의 약점이나 무리 속 특정 적을\n집중 공격할 수 있다.
23	이 적의 앞쪽 방어력은 보통이라\n앞에서 공격하면\n정상 피해를 준다.
24	한 능력을 올리면\n다른 능력이 내려가니\n상황에 맞춰 조정하는 게\n중요하다.
25	\n드래곤의 특수 행동。\n적의 방어력을 무시한\n강력한 공격을 한다。
26	되도록 빨간 방향을 피하고\n초록 방향에 있으면\n안전하게 싸울 수 있다.
27	이놈들은 뒤쪽은 공격 못 하나 봐
28	<03><01>적의 앞쪽으로 이동하라<03>
29	\n마비된 드래곤은\n레이저와 버서크가 막혀\n포지셔닝 말고는\n아무것도 못 하게 된다。
30	각 행동은\n필요한 게이지만 있으면\n언제든 할 수 있다.
31	또한 버서크에는\n레벨업으로 얻는\n앞의 4계통 말고도\n다른 조건으로 얻는 것이 있다.
32	앞 3개는 미세 조정용,\n뒤 2개는 뒤에 설명할「<03>\n타입<03>
33	전투 레이더의 방향별 색은\n그 방향에 대한\n적 공격의 위험도를 뜻한다.
34	물리 내성 적에겐 효과가 약하다.\n물리 내성 적에게 총을 겨누면\n<03>\nANTI SHOT\n(안티 샷)<03>
35	초록 방향은\n적이 그쪽으로 공격 못 함을\n뜻한다.\n그래서 안전지대다.
36	아이템을 갖고 있지 않다
37	버서크를 익히지 않았다
38	파츠를 갖고 있지 않다
39	이동 외의 드래곤 행동 불능
40	<03><01>적의 오른쪽으로 이동<03>
41	이 적의 좌우 방어력은 높아\n거의 피해를\n줄 수 없다.
42	는\n1게이지를 쓰면\n발사할 수 있다.\n이 총은 적을 노려 쏜다.
43	엣지,빨간 놈이 무리의 우두머리다
44	레이저는 드래곤과 가까운 적부터\n차례로 맞는다.\n노려 쏘진 못하나\n엣지의 총보다 위력이 높다.
45	포지셔닝은 적을 기준으로\n방향 버튼으로 좌우로\n90도씩 돌아 들어가서 한다.
46	각 총좌,남기지 마라！ 전탄 퍼부어라！
47	전투 중 드래곤과 엣지는\n행동 에너지를 함께 쓴다.\n그것이<03>\n싱크로너스 게이지<03>
48	공격력을 높여 싸우면\n공격계 버서크를\n일찍 얻는다.\n광학 속성 버서크.\nATTACK CLASS라 한다.
49	적의 행동은\n드래곤이 적을 기준으로\n어느 방향에 있느냐로\n달라진다.
50	계통마다 효과가 조금 다르다.\n<03>\nATTACK계<03>
51	총의 기본 성능이\n드래곤 기동력의 영향을 받아\n자라는 점에 주의.
52	행동 게이지 부족
53	총 공격
54	침입물 배제 가동
55	라 한다.
56	<03><01>적의 뒤쪽으로 이동<03>
57	<03><01>무언가 행동하라<03>
58	다.\n아무것도 안 하면 차서\n3게이지까지 지닐 수 있다.
59	라 뜬다.\n이것을<03>\n약점 마크<03>
60	타입 셀렉트의 뜻으로\n다음 5가지 효과가 있다.
61	타입 전용 버서크는\n어느 것이든 쓸모 있으나\n게이지 소비가 크므로\n쓸 때를 가리는 게 중요.
62	드래곤은 갈릴 사막 전투에서\n<03>\n타입 셀렉트<03>
63	레벨업 때\n버서크를 익히기도 한다.\n버서크에는 계통이 있어\n타입 셀렉트의 조정이\n습득에 관계한다.
64	레이더의 붉은 방향은\n피해가 큰 공격이나\n상태 이상 공격 등\n위험도 높은 공격이 오는\n방향임을 뜻한다.
65	적과 드래곤의 위치는\n<03>\n전투 레이더<03>
66	적의 방어력은\n방향마다 다르므로\n어느 방향에서 치느냐로\n주는 피해가 달라진다.
67	능력을 얻었다.\n타입 셀렉트란\n드래곤의 형태를 자유로이\n바꾸는 능력이다.
68	：게이지 1개
69	：다수의 적에<03>\nAGILITY계<03>
70	：소수의 적에<03>\nDEFENSE계<03>
71	：가까울수록 위력大<03>\nSPIRITUAL계<03>
72	구치카라폭탄
73	사용 불가
74	총 커스터마이즈
75	회피 시스템불량
76	회피 시스템작동
77	<03><01>총을 발사하라<03>
78	가시 폭풍
79	아직 멀었어 으아아…
80	유도폭뢰함카라
81	는\n1게이지를 쓰면\n발사할 수 있다.
82	필드에선 제한 없이\n타입 셀렉트를 할 수 있고,\n전투 중 타입 셀렉트는\n1게이지를 쓴다.
83	적의 공격에 대처하려\n드래곤은 적의 전후좌우로\n이동할 수 있다.\n이것을<03>\n포지셔닝<03>
84	기동력을 높여 싸우면\n기동계 버서크를\n일찍 얻는다.\n보조·물리 속성 버서크.\nAGIRITY CLASS.
85	능력 변화,레벨업의\n능력 상승・버서크 습득은\n미세 조정에 대응하나\n그 밖에「<03>\n타입<03>
86	방어력을 높여 싸우면\n방어계 버서크를\n일찍 얻는다.\n회복·방어 버서크.\nDEFFENCE CLASS.
87	：수비 중시
