0	특정 방향 공격에\n회피나 반격을 하는 적,\n특정 방향만 노리는 적도 있다.
1	\n에지의 통상 공격。\n방향 버튼으로 조준을 움직여\n적을 노려 쏜다。\n단,한 번에 한 곳。
2	광학 내성 적엔 효과가 약하다.\n광학 내성 적에 총을 겨누면\n<03>\nANTI LASER\n(안티 레이저)<03>
3	\n드래곤의 특수 행동。\n적 방어력을 무시한\n강력한 공격。
4	적의 약점이나 무리 속 적을\n집중 공격한다.
5	엣지,빨간 놈이 우두머리다
6	한 능력을 올리면\n다른 게 내려가니\n상황에 맞춰 조정하는 게\n중요하다.
7	물리 내성 적엔 효과가 약하다.\n물리 내성 적에 총을 겨누면\n<03>\nANTI SHOT\n(안티 샷)<03>
8	계통마다 효과가 조금 다르다<03>\nATTACK계<03>
9	아이템이 없다
10	파츠가 없다
11	가시폭풍
12	<03><01>무언가 행동<03>
13	<03><01>적의 앞으로 이동<03>
14	다음 성능 상승에 관계한다.\n・레이저 위력\n・BP 최대치\n・HP 최대치\n・총 위력
15	앞 3개는 미세 조정용,\n뒤 2개는 뒤에 설명할<03>\n타입<03>
16	표준형:서서히 HP회복\n공격형:일정확률 반격\n심기형:서서히 BP회복\n방어형:방어력 2배\n기동형:상태이상 해제
17	경험치가 차면 레벨업하고\n드래곤과 총의 기본 성능이 올라,\n타입 셀렉트로 어떻게 조정해\n싸웠는가가\n그 상승폭에 영향을 준다
18	총의 기본 성능이\n드래곤 기동력 영향을 받아\n자라는 점에 주의.
19	：가까울수록 위력大<03>\nSPIRITUAL<03>
20	라 한다
21	<03><01>총을 발사<03>
22	게이지가 1개 이상 차면\n커맨드 아이콘을 열어\n그때 찬 게이지 양으로\n가능한 행동을 고른다.
23	<03><01>적의 우측으로 이동<03>
24	타입 셀렉트의 뜻으로\n다음 5가지 효과가 있다
25	각 총좌,남기지 마라！ 전탄 퍼부어！
26	화면에 뜨지 않지만\n적도 게이지를 지녀\n일정 간격으로 행동한다.\n게이지 차는 속도는\n적마다 다르다.
27	：게이지1개
28	：다수의 적<03>\nAGILITY계<03>
29	：소수의 적<03>\nDEFENSE계<03>
