0	검은 함대를 이끄는 자를 들은 적 있다
1	탑도 공성생물도,이 세계 전부가…
2	그러면 그 사람들은 무사히 도망친다
3	…함교에 공성생물이 빽빽이 붙어 있다
4	…주인을 잃어도 행동을 멈추진 않나
5	대장에겐 클레이멘을 쫓으란 명을 받았다
6	내가 잠든 침대에 그렇게 적혀 있었다
7	우리는 보이지 않는 구세기의 힘에
8	저건 평범한 인간이 다룰 게 아니다
9	하지만 이제 막을 자는 아무도 없다
10	나는 『절대의 손님』을 인도할 뿐
11	꿈꾸는 게 처음인 듯한 반응이군…
12	물론 구세기 인간에게도 반대자는 있었다
13	그는 『탑』의 힘으로 다시 이 세계를
14	제도 작전도 순조롭게 진행 중…하지만
15	그 열쇠라 할 아젤을 손에 넣는다
16	자세한 건 「엮는 자」 자독이 안다
17	저런,공성생물에 당한 마을이나 도시의
18	최대 전속,15분 후 도착이라 전해라!
19	클레이멘,네놈에게 죗값을 치르게 하겠다
20	그걸 막는 자는 아무도 못 오게 한다
21	거기서 공성생물 먹이라도 되어라!!
22	이 사막을 넘은 곳에 거리를 만든다
23	여기를 보면 제국은 우릴 의심한다…
24	나는 그걸 알고 그녀를 다그쳤다
25	그 클레이멘이란 놈은 사막으로 갔어
26	네 동료도 저세상에서 좋아하겠다!
27	제국이 위험한 물건을 발굴했다니까
28	…끝으로 반대자가 만들어낸 것이
29	나는 그저 있는 그대로를 말했을 뿐
30	구세기가 그리 멸망한 것처럼 말이지
31	인류를 멸망에서 지키기 위한 것이다
32	인위적인 손길이 닿은 흔적이 있다고
33	클레이멘이 지키려 한 모든 것의 근원
34	…예전에 하룻밤 사이 세 대륙을
35	태고의 수수께끼에 다가서려 했다
36	…미안하지만 그 이상은 못 말하네
37	황제인 내게 총을 겨누다니,클레이멘
38	살아남기만 하면 또 싸울 때가 온다
39	에러의 부활 확인……재차 봉인하라…
40	설마 네가 소문의 드래곤 사용자라니
41	…아젤은 그를 위해 만들어진 병기다
42	…그곳 세스트렌에 무엇이 있는지를
43	자,나를 죽여다오 『절대의 손님』
44	총을 내릴지는 그다음에 정하겠다
45	공성생물과… 그리그오리그,둘 다
46	그놈들은 계곡을 따라 북으로 간다
47	방금 그놈은 적아 없이 공격한다
48	인간 아닌 누군가가 통제하지 않으면
49	아군,공성생물과 조우…구조 신호
50	다만 누가 적인지 깨달아 줬으면 한다
51	그전에 여기서 빨리 벗어나는 게 좋아
52	말하기 싫으면 그래도 상관없다만
53	제도를 중심으로 반경 1만 리온,
54	지금은 내가 그 시커들을 이끈다
55	모든 건 이 세계를 되찾기 위해서다
56	이 마을 동료가 남긴 유언이야
57	있어야 할 모습으로 만들려 한다
