fnt	index
BTL_B6	273
BTL_C22	305
BTL_C22	350
BTL_C22	352
BTL_C22	353
BTL_C22	356
BTL_C82	322
BTL_C82	323
BTL_C82	343
EVEEXPL	256
EVEEXPL	257
EVEEXPL	258
EVEEXPL	259
EVEEXPL	260
EVEEXPL	261
EVEEXPL	262
EVEEXPL	263
EVEEXPL	264
EVEEXPL	265
EVEEXPL	266
EVEEXPL	267
EVEEXPL	268
EVTCAMP	597
EVTCAMP	598
EVTCAMP	599
EVTCAMP	600
EVTCAMP	601
EVTCARA	257
EVTCARA	475
EVTCARA	505
EVTCARA	512
EVTRUIN	276
EVTRUIN	277
EVTRUIN	278
EVTRUIN	291
EVTSEEK	257
EVTSEEK	287
EVTSEEK	361
EVTSEEK	457
EVTSEEK	468
EVTZOAH	262
FLD_A5	258
FLD_A5	357
FLD_A5	358
FLD_B5	348
FLD_B5	379
FLD_C4	294
FLD_C4	295
FLD_T0	260
FLD_T0	272
FLD_T0	284
FLD_T0	296
FLD_T0	308
FLD_T0	320
FLD_T0	332
FLD_T0	344
FLD_T0	356
FLD_T0	362
FLD_T0	368
FLD_T0	380
FLD_T0	392
FLD_T0	404
FLD_T0	471
FLD_T0	472
FLD_T0	473
FLD_T0	474
FLD_T0	476
FLD_T0	478
FLD_T0	479
ITEM	256
ITEM	257
ITEM	258
MENUEN	274
MENUEN	275
MENUEN	276
MENUEN	277
MENUEN	322
MENUEN	323
MENUEN	324
MENUEN	325
MENUEN	326
MENUEN	336
MENUEN	349
MENUEN	354
MENUEN	355
MENUEN	536
MENUEN	544
SHOP	256
SHOP	257
SHOP	258
