おそらく我が友は、君を塔に導こうと\nしていることだろう。\nそれは、塔の死滅という彼の目的に、\n我々には知り得ない理由で、乗り手が\n深く関わっているからだ。	아마도 나의 벗은,그대를 탑으로\n이끌려 하고 있을 것이다.\n그것은,탑의 소멸이라는 그의\n목적에, 우리로서는 알 수 없는\n이유로,라이더가 깊이 관여하고\n있기 때문이다.
かくのごとき巨大な力は、旧世紀\n文明の維承者たる皇帝陛下のもとで\n正しく管理されねばならない。それが\n世界秩序の確立に貢献する道であり、\n我が軍はそのためにこそ存在するので\nある。	이와 같은 거대한 힘은,구세기\n문명의 계승자이신 황제 폐하\n아래에서 올바르게 관리되어야\n한다.그것이 세계 질서 확립에\n공헌하는 길이며, 우리 군은\n바로 그것을 위해 존재하는\n것이다.
ここに書き記すのは、私に託された\n秘密の、ごく一部でしかない。\nわずかな知識ではあるが、私と同じ\n境遇に立つ君の助けとなれば幸いで\nある。	여기에 적어두는 것은,나에게\n맡겨진 비밀의,극히 일부에\n지나지 않는다. 하찮은\n지식이지만,나와 같은 처지에 선\n그대에게 도움이 된다면\n다행이다.
この「乗り手」の正体は不明だが、\nドラゴンと連携した俊敏な反応や\n高度な戦闘行動は、普通の人間には\n不可能なわざであり、アカデミーでは\n攻性生物に類する人型の創造物では\nないかとする説が有力である。	이 「기승자」의 정체는\n불명이지만, 드래곤과 연계한\n민첩한 반응이나 고도의 전투\n행동은,보통 인간에게는 불가능한\n재주이며,아카데미에서는\n공성생물에 속하는 인형 창조물이\n아닐까 하는 설이 유력하다.
この時、森林上空で新種の攻性生物が\n発見された。\n既存の攻性生物の体系のいずれにも\n属さないこの個体は、辺境の伝承から\n「ドラゴン」と命名され、調査のため\n別働隊が編成された。	이때,삼림 상공에서 신종\n공성생물이 발견되었다. 기존\n공성생물의 어떤 체계에도 속하지\n않는 이 개체는,변경의 전승에서\n따와 「드래곤」이라\n명명되었으며,조사를 위해\n별동대가 편성되었다.
これらの障害の修復は極めて困難で\nあり、ほとんどの症例が廃来処分と\nなっている。\nただし、同調機能障害については、\n強度の心理的ショックによって修復\nする場合がある。	이 장애의 수복은 극히\n곤란하며, 대부분의 증례가 폐기\n처분으로 이루어진다. 다만,동조\n기능 장애에 대해서는, 강도의\n심리적 충격에 의해 수복 되는\n경우가 있다.
これをうまく利用すれば、我々の里を\n攻性生物から守る手段として使える\nかもしれない。今後も、この種の\n構造体の研究は、積極的に続けていく\n必要があるだろう。	이것을 잘 이용하면,우리 마을을\n공성생물로부터 지키는 수단으로\n쓸 수 있을지도\n모른다.앞으로도,이러한 종류의\n구조체 연구는,적극적으로 계속해\n나갈 필요가 있을 것이다.
だが、ドラゴンの戦闘力は、現存する\n兵器をはるかに超えるものであった。\n建造中の試作兵器をも投入した深夜の\n戦闘は、捕獲部隊と発掘所の全滅と\nいう、最悪の結果に終わった。	하지만,드래곤의\n전투력은,현존하는 병기를 훨씬\n뛰어넘는 것이었다. 건조 중이던\n시작 병기까지 투입한 심야의\n전투는,포획 부대와 발굴소의\n전멸이라는 최악의 결과로\n끝났다.
だが、現在我が軍の使用する兵器は\n全て発掘物の修復・改造品であり、\n絶対数は常に不足状態にある。ゆえに\nその取り扱いには細心の注意を払い、\n動力の消耗を最小限に抑えるように\n心がけねばならない。	하지만,현재 우리 군이 쓰는\n병기는 모두 발굴물의\n수복·개조품이며, 절대수는 항상\n부족한 상태이다.그러므로 그\n취급에는 세심한 주의를 기울여,\n동력 소모를 최소한으로\n억제하도록 유념해야 한다.
とっさに逃げ込んだ森の中には、村の\n焼け跡で見た巨大な攻性生物がいた。\nおそらく、旧世紀のフネと行動を\nともにしていたのだろう。\n徐々に、フネとの距離が縮まって\nいくのを感じる。	순간적으로 도망쳐 들어간 숲\n속에는,마을 잿더미에서 본\n거대한 공성생물이 있었다.\n아마도,구세기의 배와 행동을\n함께하고 있었던 것이리라.\n서서히,배와의 거리가 좁혀져\n가는 것을 느낀다.
ゆえに、兵士諸君に要求されるのは、\nいかなる時も上官の命令に従い、\n恐慌に襲われることなく、冷静に\nそれを遂行することである。\nさすれば、敵の種類・規模の如何に\n関わらず確実に撃破できるであろう。	그러므로 병사 제군에게 요구되는\n것은, 어떠한 때에도 상관의\n명령에 따라 공황에 휩싸이지\n않고,냉정하게 그것을 수행하는\n것이다. 그리하면,적의\n종류·규모 여하에 관계없이\n확실히 격파할 수 있을 것이다.
エネルギー消費量が極めて低いため、\n特定の場合(休眠状態からの再起動・\nショックによる機能停止時など)を\n除き、外部からのエネルギー補給は\n不要である。	에너지 소비량이 극히 낮기\n때문에, 특정 경우(휴면\n상태에서의 재기동・ 충격에 의한\n기능 정지 시 등)를\n제외하고,외부로부터의 에너지\n보급은 불필요하다.
シーカーは組織力が弱く、ハンターと\n同程度の武装しか有していないので、\n直接的な斉威とはならない。しかし、\n発掘物を所持している場合が多いので\n重火器の使用は控えるのが望ましい。	시커는 조직력이 약하고,헌터와\n비슷한 수준의 무장밖에 갖추지\n않아, 직접적인 위협은 되지\n않는다.하지만 발굴물을 소지하는\n경우가 많으므로 중화기 사용은\n자제하는 것이 바람직하다.
ドラゴンに関する記録の中で特に注目\nすべきは、その背に人間を騎乗させて\nいたという目撃例であろう。\nクーリアなど、退化したごく一部の\n種を除けば、このような行動を示す\n攻性生物は皆無である。	드래곤에 관한 기록 중에서 특히\n주목 해야 할 것은,그 등에\n인간을 태우고 있었다는 목격\n사례일 것이다. 쿨리아\n등,퇴화한 극히 일부의 종을\n제외하면,이러한 행동을 보이는\n공성생물은 전무하다.
ドラゴンの力を求めるならば、\n人よ、神ののぞみにかなう者であれ。\n矢は、つねに争いの地に放たれる。\n殻は、つねによき人の守りとなる。\n翼は、つねによき道の上にはばたく。	드래곤의 힘을 원한다면,\n인간이여,신의 뜻에 부합하는\n자가 되어라. 화살은 늘 다툼의\n땅에 쏘아진다. 껍질은 늘 선한\n이의 방패가 된다. 날개는 늘\n선한 길 위를 날갯짓한다.
ドラゴンの異端児である我が友は、\nその誕生もまた異端であった。\n我が友は、クーリアの変種として生を\n受け、私の庇護のもとで育った。\nそして、塔のひとつと遭遇したとき、\n突如ドラゴンの力に目覚めたのだ。	드래곤의 이단아인 나의 벗은,\n그 탄생 또한 이단이었다. 나의\n벗은 쿨리아의 변종으로 생을\n받아,나의 비호 아래 자랐다.\n그리고 탑 중 하나와 조우했을\n때, 돌연 드래곤의 힘에 눈을\n뜬 것이다.
フネの中心には、力を使い果たして\n眠るラギの姿があった。\n石のように冷たく固まってはいたが、\n彼の命の灯は消えていないことを\n儀は知っている。儀の胸の中にある\n何かが、そう教えてくれる。	배의 중심에는 힘을 다 써버리고\n잠든 라기의 모습이 있었다.\n돌처럼 차갑게 굳어 있었지만,\n그의 생명의 불씨는 꺼지지\n않았음을 나는 알고 있다.내\n가슴 속에 있는 무언가가 그렇게\n말해준다.
メッカニア軍との戦闘によって\nシェルクーフの追跡が中断、位置が\n不明となったため、捕獲部隊は\nシェルクーフの予測飛行コース上の\n森林地帯に戦力を展開、監視体勢を\n整えた。	메카니아군과의 전투로 인해\n셸쿠프 추적이 중단되고 위치가\n불명해졌기 때문에,포획 부대는\n셸쿠프의 예상 비행 항로상에\n있는 삼림 지대에 전력을\n전개하여,감시 태세를 갖추었다.
