いつの日か、ラギは力を取り戻して\n大空に帰っていくだろう。そして、\nその背中には、たぶん儀ではない\n誰かが乗っているだろう。\nでも、儀はそれを悲しまない。\n託されたものを失わない限り、彼は\n儀とともにあるのだから。	언젠가,라기는 힘을 되찾아 창공으로 돌아갈 것이다.그리고, 그 등에는,아마도 기가 아닌 누군가가 타고 있을 것이다. 하지만,기는 그것을 슬퍼하지 않는다. 맡겨진 것을 잃지 않는 한,그는 기와 함께 있을 테니까.
いまだ文明の光を知らぬ辺境の民は、\n旧世紀の産物をいたずらに恐怖し、\n愚かな信仰の対象とするのみである。\nそれら地に埋もれた遣産を、正当なる\n維承者、すなわち皇帝陛下のもとに\nお返しするのが、我が軍に与えられた\n使命である。	아직 문명의 빛을 모르는 변경의 백성은, 구세기의 산물을 공연히 두려워하며, 어리석은 신앙의 대상으로 삼을 뿐이다. 그 땅에 묻힌 유산을,정당한 계승자,즉 황제 폐하께 돌려드리는 것이,우리 군에게 주어진 사명이다.
この俺が ガラにもなくこんな日記\nなんかつけはじめたのは やはり\nあいつのためかもしれない。\nおもえば 親がわりだなどと\n□はばったいことも、何度も言ったが\nこれといって おやらしいことは\nいままで なにもしてやれなかった。	내가 어울리지 않게 이런 일기 같은 걸 쓰기 시작한 것도 역시 그 녀석 때문일지도 모른다. 생각해보면 부모 대신이라며 낯간지러운 소리도 여러 번 했지만 딱히 부모다운 일은 지금까지 아무것도 해준 게 없다.
すべての人が、神ののぞみにかない、\nはるか東方の恵みの森に置かれた日が\n人の世の終息の日となる。\n人なき人の世は、再び無にかえされ、\n恵みの森から出たすべての人が、\n新たな世界の創造をになう。	모든 사람이,신의 뜻에 맞아, 머나먼 동방의 은혜의 숲에 놓인 날이 사람 세상의 종식의 날이 된다. 사람 없는 사람의 세상은,다시 무로 돌아가고, 은혜의 숲에서 나온 모든 사람이, 새로운 세계 창조를 맡는다.
どうか、我が友に力を貸して、彼の\n目的を果たす手助けをしてほしい。\nそれは、旧世紀の意志から世界を\n解き放つことであり、ひいては\n君自身の上にも投げられた死の影を\n打ち払うことにもつながるのだ。	부디,나의 벗에게 힘을 빌려주어,그의 목적을 이루는 데 도움을 주었으면 한다. 그것은,구세기의 의지로부터 세상을 해방시키는 것이며,나아가서는 너 자신에게도 드리워진 죽음의 그림자를 떨쳐내는 일로도 이어지는 것이다.
なのに、あの時理解したことが、もう\n思い出せない。夢の中で悟った真理を\n目覚めとともに忘れてしまった…\nそんな感じだ。\n今はただ、胸が苦しい。あまりにも\n大きなものを抱え込んで、心の中が\n渦巻いている。	그런데도,그때 이해했던 것이,더 이상 떠오르지 않는다.꿈속에서 깨달았던 진리를 눈뜸과 동시에 잊어버렸다… 그런 느낌이다. 지금은 그저,가슴이 답답하다.너무나도 큰 것을 끌어안고,마음속이 소용돌이치고 있다.
ジグは死んでしまった。思ったとおり\n叱られたし、食事も抜かれた。けど、\nそんなことはもうどうでもいい。\n\n儀は、みんなに嘘をついた。\nみんなに死産だと言った変種の子は、\nいま、物置の隅で寝息をたてている。	지그는 죽고 말았다.생각한 대로 혼났고,식사도 걸렀다.하지만, 그런 건 이제 아무래도 상관없다. 나는 모두에게 거짓말을 했다. 모두에게 사산이라고 말한 변종 새끼는, 지금 창고 구석에서 잠들어 숨소리를 내고 있다.
ドラゴンといえば、また例の奴を\n見かけた。村の焼け跡でラギを叩き\n落とした、もう1頭のドラゴンだ。\nあれから時々姿を現すが、襲ってくる\n様子はない。\nあいつも、旧世紀のフネを目指して\nいるのだろうか？	드래곤 하면,또 그 녀석을 봤다.마을의 잿더미에서 라기를 쳐서 떨어뜨렸던 또 한 마리의 드래곤이다. 그 후로 이따금 모습을 드러내지만 습격해 오는 기색은 없다. 그 녀석도 구세기의 배를 노리고 있는 걸까?
メッカニア連邦からの使者が、\n成長したクーリアを買い取りに来る。\n儀のガドに高値がついたらしく、\n今日の食事はいつもより多かった。\nでも、殺された変種の子の後始末を\nしたので、食べる気になれない。	메카니아 연방에서 온 사자가, 다 자란 쿠리아를 사러 왔다. 내 가도에 비싼 값이 매겨졌는지, 오늘 식사는 평소보다 많았다. 하지만 죽임당한 변종 새끼의 뒷정리를 했기에,먹을 마음이 들지 않는다.
塔の休眠状態を破るため、第2機甲\n連隊の全空中戦艦のエンジンから\n動力を引き出し、外部刺激として\n使用した。\n塔が起動準備状態に移行し、完全に\n浮上するまでには、12日間の連続\n稼動を要した。	탑의 휴면 상태를 깨기 위해,제2기갑 연대의 전 공중전함 엔진에서 동력을 끌어내어,외부 자극으로서 썼다. 탑이 기동 준비 상태로 이행하여,완전히 부상하기까지는,12일간의 연속 가동이 필요했다.
