idx	kind	limit	over	jp	ko
0	ui	17	16	粒子の噴出□を壊しておくのが、一番\nいいやり方だろう。\n中には、噴出□を全部壊さないと\n先に進めないところもあるらしいから\nせいぜい景気よくやってくれ。	입자 분출□을 부숴 두는 것이\n가장 좋은 방법일 것이다.\n곳에 따라서는 분출□을 전부 부수지 않으면 앞으로 나아갈 수\n없는 곳도 있는 모양이니\n부디 힘내서 해주기 바란다.
1	ui	17	9	帝都内におけるドラゴン同士の戦闘、\n海中から出現した攻性生物の攻撃、\nさらには塔の自爆によって、帝都の\n約6割の地域が壊滅的打撃を受けた。	제도 내에서 벌어진 드래곤들 간의 전투,\n바닷속에서 출현한 공성생물의 공격,\n게다가 탑의 자폭에 의해,제도의\n약 6할에 달하는 지역이 괴멸적 타격을 입었다.
2	ui	17	9	ジグは死んでしまった。思ったとおり\n叱られたし、食事も抜かれた。けど、\nそんなことはもうどうでもいい。\n\n儀は、みんなに嘘をついた。\nみんなに死産だと言った変種の子は、\nいま、物置の隅で寝息をたてている。	지그는 죽고 말았다.생각한 대로\n혼났고,식사도 걸렀다.하지만,\n그런 건 이제 아무래도 상관없다.\n\n나는 모두에게 거짓말을 했다.\n모두에게 사산이라고 말한 변종 새끼는,\n지금 창고 구석에서 잠들어 숨소리를 내고 있다.
3	ui	17	8	水や草や獣は、人からその姿を隠し、\n遣跡は、人に扉を閉ざし、\n攻性生物は、人を喰い続けた。\nかくして、\n神は、人の世とともになく、\n我らは、神の栄光からへだたり、\n万象は、我らに災いをなす。	물과 풀과 짐승은 사람에게서 그 모습을 감추고\n유적은 사람에게 문을 닫고\n공성생물은 사람을 계속 잡아먹었다.\n그리하여\n신은 사람의 세상과 함께하지 않고\n우리는 신의 영광에서 멀어지고\n만상은 우리에게 재앙을 내린다.
4	ui	17	8	森の上で、また帝国軍と出くわす。\nその武器や規模より、彼らが人間で\nあるという事実の方が恐ろしかった。\n彼らと正面から戦っていたら、また\n無数の兵士の命を尋っていたはずだ。	숲 위에서 다시 제국군과 마주쳤다.\n그들의 무기나 규모보다\n그들이 인간이라는 사실이 더 두려웠다.\n그들과 정면으로 싸웠다면\n또다시 수많은 병사의 목숨을 앗아갔을 것이다.
5	ui	17	8	もっとも、塔の機能が十全であった\nならば、我々を含む人間の絶対数は\n現在よりさらに厳しく抑制され、\n再生の手が届かぬわずかな地において\nより苛酷な生を強いられていたこと\nだろう。	하긴 탑의 기능이 온전했다면\n우리를 포함한 인간의 절대 수는\n지금보다 더 가혹하게 억제되어,\n재생의 손길이 닿지 않는 얼마 안 되는 땅에서\n더 가혹한 삶을 강요당했을\n것이다.
6	ui	17	8	すべての人が、神ののぞみにかない、\nはるか東方の恵みの森に置かれた日が\n人の世の終息の日となる。\n人なき人の世は、再び無にかえされ、\n恵みの森から出たすべての人が、\n新たな世界の創造をになう。	모든 사람이,신의 뜻에 맞아,\n머나먼 동방의 은혜의 숲에 놓인 날이\n사람 세상의 종식의 날이 된다.\n사람 없는 사람의 세상은,다시 무로 돌아가고,\n은혜의 숲에서 나온 모든 사람이,\n새로운 세계 창조를 맡는다.
7	ui	17	8	このしごとがおわったら あいつを\n帝国へつれていってやるつもりだ。\nしょうらい あいつがえらくなっても\nおれのことであいつがバカにされたり\nはずかしいおもいしないように\n俺もあしたから日記だけじゃなく\nすこしべんきょうもしようとおもう。\n<05><05>エッジはいつか、おれのことを\nおやじとよんでくれるだろうか。	이 일이 끝나면 그 녀석을\n제국으로 데려갈 생각이다.\n장차 그 녀석이 훌륭해지더라도\n나 때문에 무시당하거나\n부끄러운 일 당하지 않도록\n나도 내일부터\n일기뿐 아니라\n조금은 공부도 해보려 한다.<05><05>에지는 언젠가 나를\n아버지라 불러줄까.
8	ui	12	7	砂の海を移動する島としか\n言いようのない奴だ。\n空中戦艦でもなければ、\nこいつと対等に戦うことは\nできないだろう。\nガッシュが倒し方を教えて\nくれなかったら、儀らも\nどうなっていたことか…。	사막의 바다를 이동하는 섬이라고밖에\n할 수 없는 놈이다.\n공중전함이라도 아니면\n이놈과 대등하게 싸우는 건\n불가능할 거다.\n갓슈가 쓰러뜨리는 법을 가르쳐\n주지 않았다면 우리도\n어떻게 됐을지…
9	ui	17	7	旧世紀において、塔は\n「アレル・セストレン」すなわち\n「セストレンの下儀」と呼ばれた。\nすべての塔は、セストレンがこの世に\n力を及ぼすための道具にすぎず、\nセストレンが破壊されたとき、\n塔は二度と目覚めぬ眠りにつく。	구세기에서 탑은\n「아렐 세스트렌」,즉\n「세스트렌의 하의」라 불렸다.\n모든 탑은 세스트렌이 이 세상에\n힘을 미치기 위한 도구에 불과하며,\n세스트렌이 파괴되었을 때\n탑은 두 번 다시 깨어나지 않는 잠에 든다.
