trim	now	cap	W	module	id	ko
11	7	5	16	FLD_A7	6064	기본 능력에는 상관관계가\n있어, 공격력을 올리면\n심기력이 내려간다. 심기력을\n올리면 공격력이 내려간다.\n방어력을 올리면 기동력이\n내려간다. 기동력을 올리면\n방어력이 내려간다.
5	3	2	18	MENUEN	6949	지금까지 쓰러뜨린\n공성생물(순혈종) 구세기의 모습과\n성능을 지금도 유지하는 종
4	3	2	18	MENUEN	6948	지금까지 쓰러뜨린\n공성생물(변이종) 구세기의 모습과\n성능을 잃고 야생화한 종
4	3	2	9	COMMON	6722	구세기 병기의\n외장갑 가게에\n팔면 돈이 된다
3	9	7	16	MENUBK	4177	부디,나의 벗에게 힘을\n빌려주어,그의  목적을 이루는\n데 도움을 주었으면 한다.\n그것은,구세기의 의지로부터\n세상을  해방시키는\n것이며,나아가서는  너\n자신에게도 드리워진 죽음의\n그림자를  떨쳐내는 일로도\n이어지는 것이다.
3	3	2	15	COMMON	7257	꽃가루를 수분시켜 맺힌 황금\n열매 최고속도를 올리는\n효과가 있다
3	3	2	10	COMMON	6598	공성생물 하누만의\n발톱 가게에 팔면\n돈이 된다
3	3	2	9	COMMON	6723	구세기 병기의\n잔해 가게에 팔면\n돈이 된다
3	3	2	9	COMMON	6580	공성생물의\n특수장갑 가게에\n팔면 돈이 된다
3	3	2	9	COMMON	6127	부서진 굴착기\n부품 가게에 팔면\n돈이 된다
2	4	2	4	FLD_A7	5534	상공으로의<03>\n전송 장치<03>
2	3	2	14	COMMON	6990	발굴장에서 캐낸 돌\n부스러기 가게에 팔면\n약간의 돈이 된다
2	3	2	7	COMMON	6584	공성생물의\n고깃덩이\n비싸게 팔린다
1	5	4	15	FLD_A3	5705	예를 들어,내가 위치 선정\n중이어도 적의 게이지는\n진행되고 있으므로, 위치\n선정이 끝나자마자 공격당하는\n경우가 있다.
1	5	4	14	FLD_A3	4990	게이지가 여러 개 쌓여\n있어 연속으로 행동하고\n싶은 경우에도, 미리\n입력해 두면 적에게\n끼어들릴 걱정은 없다.
1	3	2	17	COMMON	4689	얼마 남지 않은 드래곤용 장비\n이동 중 레이저 발사 능력을\n강화한다
1	3	2	12	COMMON	6241	소동물・카제노메의 먹이\n나무 열매를 잘게 부순\n것
1	3	2	11	COMMON	6599	공성생물 하누만의\n껍질 가게에 팔면\n돈이 된다
1	3	2	11	COMMON	6597	공성생물 하누만의\n꼬리 가게에 팔면\n돈이 된다
1	3	2	9	COMMON	6582	공성생물의 안구\n가게에 팔면 돈이\n된다
1	3	2	9	COMMON	6581	공성생물의 껍질\n가게에 팔면 돈이\n된다
1	3	2	9	COMMON	6574	공성생물의 체액\n가게에 팔면 돈이\n된다
1	3	2	9	COMMON	4909	가라코세키 원석\n가게에 팔면 돈이\n된다
0	3	2	15	COMMON	2963	『탑』이라 불리는 유적의\n그림 구세기 기록기계로\n그려진 것
0	3	2	14	COMMON	5142	조아 마을 정규 주민 구획\n「신성구」에 들어가는\n통행증
0	3	2	13	COMMON	5140	조아 마을에 전해지는\n서적 마을의 규율이 적혀\n있다
0	3	2	12	COMMON	6806	여러 용도로 쓰이는\n기름 가게에 팔면 돈이\n된다
0	3	2	10	COMMON	4974	쿠리아 똥의 화석\n가게에 팔면 돈이\n된다
0	3	2	6	FLD_B5	1472	(저<03> 검은\n유적이 있는\n곳<03>
-1	3	2	15	COMMON	6705	구세기의 경화라고 하는 것\n가게에 팔면 약간의 돈이\n된다
-1	3	2	15	COMMON	6302	제국 공중전함의 통신기록\n크레이멘 함대와 싸웠을 때의\n것
-1	3	2	15	COMMON	6279	제국 전선기지 경비병을\n대상으로 기지 구조를 해설한\n서류
-1	3	2	14	COMMON	6939	사냥의 무사를 비는 부적\n공성생물 외각으로\n만들어졌다
-1	3	2	9	COMMON	5447	램프의 기름\n가게에 팔면 돈이\n된다
-2	9	7	16	MENUBK	3260	언젠가,라기는 힘을 되찾아\n창공으로 돌아갈\n것이다.그리고, 그\n등에는,아마도 기가 아닌\n누군가가 타고 있을 것이다.\n하지만,기는 그것을 슬퍼하지\n않는다. 맡겨진 것을 잃지\n않는 한,그는  기와 함께\n있을 테니까.
-2	5	4	12	FLD_A7	1209	표준형은 게이지가 3칸\n차 있는 동안 HP가\n조금씩 회복된다.\nHP가 부족할 때\n유효하다.
-2	5	4	12	FLD_A7	1183	심기형은 게이지가 3칸\n차 있는 동안 BP가\n조금씩 회복된다.\nBP가 부족할 때\n유효하다.
-2	3	2	16	1ST_READ	5095	저장 중입니다.전원을 끄면\n정상 저장되지 않을 수\n있습니다
-2	3	2	15	COMMON	5359	파에트의 부탁으로 입수한\n부품 실제로는 그냥\n고철이었다
-2	3	2	14	COMMON	7519	뇌격 병기에 쓰이는\n광학기관 가게에 팔면 돈이\n된다
-2	3	2	12	1ST_READ	5593	현재 있는 데이터는\n사라집니다.\n괜찮습니까?
-2	3	2	10	COMMON	6942	희귀한 종류의\n식용식물 비싸게\n팔린다
-2	3	2	9	COMMON	6709	구세기의 배에\n관한 제국군\n보고서
