file	offset	len
1ST_READ.PRG	03D244	25
1ST_READ.PRG	03D25D	27
1ST_READ.PRG	03D278	27
1ST_READ.PRG	03D293	15
1ST_READ.PRG	03D2A2	7
1ST_READ.PRG	03D2A9	38
1ST_READ.PRG	03D2CF	60
1ST_READ.PRG	03D30B	29
1ST_READ.PRG	03D328	15
1ST_READ.PRG	03D337	17
1ST_READ.PRG	03D348	21
1ST_READ.PRG	03D35D	21
1ST_READ.PRG	03D372	27
1ST_READ.PRG	03D38D	29
1ST_READ.PRG	03D3AA	29
1ST_READ.PRG	03D3C7	19
1ST_READ.PRG	03D3DA	13
1ST_READ.PRG	03D3E7	27
1ST_READ.PRG	03D402	11
1ST_READ.PRG	03D40D	7
1ST_READ.PRG	03D414	9
1ST_READ.PRG	03D41D	9
1ST_READ.PRG	03D426	13
1ST_READ.PRG	03D433	11
1ST_READ.PRG	03D43E	11
1ST_READ.PRG	03D449	9
1ST_READ.PRG	03D452	13
1ST_READ.PRG	03D45F	13
1ST_READ.PRG	03D46C	13
1ST_READ.PRG	03D479	9
1ST_READ.PRG	03D482	15
1ST_READ.PRG	03D491	21
1ST_READ.PRG	03D4A6	13
1ST_READ.PRG	03D4B3	3
1ST_READ.PRG	03D4B6	3
1ST_READ.PRG	03D4B9	5
1ST_READ.PRG	03D4BE	13
1ST_READ.PRG	03D4CB	9
1ST_READ.PRG	03D4D4	13
1ST_READ.PRG	03D68F	15
1ST_READ.PRG	03D69E	3
1ST_READ.PRG	03D6EE	21
1ST_READ.PRG	03D703	15
1ST_READ.PRG	03D712	17
1ST_READ.PRG	03D723	17
1ST_READ.PRG	03D89C	19
1ST_READ.PRG	03D8B0	19
BTL_A3.PRG	003536	6
BTL_A3.PRG	00353C	12
BTL_A3.PRG	003548	26
BTL_A3.PRG	003562	6
BTL_A3.PRG	003568	16
BTL_A3.PRG	003578	28
BTL_A3.PRG	003594	6
BTL_A3.PRG	00359A	20
BTL_A3.PRG	0035AE	32
BTL_A3.PRG	0035CE	6
BTL_A3.PRG	0035D4	14
BTL_A3.PRG	0035E2	28
BTL_A3.PRG	0035FE	6
BTL_A3.PRG	003604	14
BTL_A3.PRG	003612	32
BTL_A3.PRG	003632	6
BTL_A3.PRG	003638	16
BTL_A3.PRG	003648	32
BTL_A3.PRG	003668	6
BTL_A3.PRG	00366E	14
BTL_A3.PRG	00367C	26
BTL_A3.PRG	003696	6
BTL_A3.PRG	02692E	25
BTL_A3.PRG	026947	10
BTL_A3.PRG	02695C	12
BTL_A3.PRG	026968	30
BTL_A3.PRG	026986	23
BTL_A3.PRG	02699D	9
BTL_A3.PRG	0269A6	21
BTL_A3.PRG	0269BB	14
BTL_A3.PRG	0531B0	9
BTL_A3.PRG	0531B9	7
BTL_A3.PRG	0531C0	5
BTL_A3.PRG	0531C5	9
BTL_A3.PRG	0531CE	19
BTL_A3.PRG	0531E1	7
BTL_A3.PRG	0531E8	7
BTL_A3.PRG	0531EF	7
BTL_A3.PRG	0531F6	7
BTL_A3.PRG	0531FD	7
BTL_A3.PRG	053204	13
BTL_A3.PRG	053211	7
BTL_A3.PRG	053218	9
BTL_A3.PRG	053221	3
BTL_A3.PRG	0573F8	15
BTL_A3.PRG	057407	13
BTL_A3.PRG	057414	17
BTL_A3.PRG	057425	17
BTL_A3.PRG	057436	9
BTL_A3.PRG	05743F	9
BTL_A3.PRG	057448	13
BTL_A3.PRG	057455	13
BTL_A3.PRG	057462	15
BTL_A3.PRG	057471	17
BTL_A3.PRG	057482	9
BTL_A3.PRG	05748B	17
BTL_A3.PRG	05749C	11
BTL_A3.PRG	0574A7	9
BTL_A3.PRG	0574B0	11
BTL_A3.PRG	0574BB	9
BTL_A3.PRG	0574C4	5
BTL_A3.PRG	0574C9	23
BTL_A3.PRG	0574E0	25
BTL_A3.PRG	0574F9	17
BTL_A3.PRG	05750A	27
BTL_A3.PRG	057525	13
BTL_A3.PRG	057532	29
BTL_A3.PRG	05754F	7
BTL_A3.PRG	057556	11
BTL_A3.PRG	057561	23
BTL_A3.PRG	057578	25
BTL_A3.PRG	057591	21
BTL_A3.PRG	0575A6	33
BTL_A3.PRG	0575C7	21
BTL_A3.PRG	0575DC	29
BTL_A3.PRG	0575F9	23
BTL_A3.PRG	057610	27
BTL_A3.PRG	05762B	19
BTL_A3.PRG	05763E	19
BTL_A3_2.PRG	029F9A	25
BTL_A3_2.PRG	029FB3	10
BTL_A3_2.PRG	029FC8	12
BTL_A3_2.PRG	029FD4	30
BTL_A3_2.PRG	029FF2	23
BTL_A3_2.PRG	02A009	9
BTL_A3_2.PRG	02A012	21
BTL_A3_2.PRG	02A027	14
BTL_A3_2.PRG	054E24	7
BTL_A3_2.PRG	054E2B	9
BTL_A3_2.PRG	054E34	5
BTL_A3_2.PRG	054E39	9
BTL_A3_2.PRG	054E42	5
BTL_A3_2.PRG	054E47	5
BTL_A3_2.PRG	054E4C	29
BTL_A3_2.PRG	054E69	33
BTL_A3_2.PRG	054E8A	35
BTL_A3_2.PRG	054EAD	31
BTL_A3_2.PRG	054ECC	21
BTL_A3_2.PRG	054EE1	39
BTL_A3_2.PRG	054F08	5
