module	offset	bytes	slot	chars	text
BTL_B6_2	053AA8	12		11	＋ス＋ろスよろもョ。ォ
BTL_B6_2	053AB4	12		11	＋ス＋ろスよわもョ。ォ
BTL_B6_2	053AC0	12		11	＋ス＋ろスよをもョ。ォ
BTL_B6_2	053ACC	12		11	＋ス＋ろスよんもョ。ォ
BTL_B6_2	053AD8	12		11	＋ス＋ろスらるもョ。ォ
BTL_B6_2	053AE4	12		11	＋ス＋ろスらろもョ。ォ
BTL_B6_2	053AF0	12		11	＋ス＋ろスらわもョ。ォ
BTL_B6_2	053AFC	12		11	＋ス＋ろスらをもョ。ォ
FLD_A3	008E7A	11		10	」エゆりスよもョ。ォ
FLD_A3	0090E8	11		10	」エゆらスよもョ。ォ
FLD_A3	009106	11		10	」エゆらスらもョ。ォ
FLD_A3	00912A	11		10	」エゆらスりもョ。ォ
FLD_A3	009175	11		10	」エゆらスるもョ。ォ
FLD_A3	00919F	11		10	」エゆらスれもョ。ォ
FLD_A3	0091DE	11		10	」エゆらスろもョ。ォ
FLD_A3	0091FC	11		10	」エゆらスわもョ。ォ
FLD_A3	00923D	11		10	」エゆらスをもョ。ォ
FLD_A3	009253	11		10	」エゆらスんもョ。ォ
FLD_A3	009296	12		11	」エゆらスよゆもョ。ォ
FLD_A3	0092DC	11		10	」エゆるスよもョ。ォ
FLD_A3	009317	11		10	」エゆるスらもョ。ォ
FLD_A3	009323	11		10	」エゆるスりもョ。ォ
FLD_A3	009358	11		10	」エゆるスるもョ。ォ
FLD_A3	0093C2	11		10	」エゆるスれもョ。ォ
FLD_A5	00D2BA	12		11	、スーれスゆよもョ。ォ
FLD_A5	00D2DB	12		11	、スーれスゆらもョ。ォ
FLD_A5	00D300	12		11	、スーれスゆりもョ。ォ
FLD_A5	00D38A	12		11	、スーれスゆるもョ。ォ
FLD_A5	00D3A7	12		11	、スーれスゆれもョ。ォ
FLD_A5	00D3C4	12		11	、スーれスゆろもョ。ォ
FLD_A5	00D406	12		11	、スーれスゆわもョ。ォ
FLD_A5	00D42D	12		11	、スーれスゆをもョ。ォ
FLD_A5	00D47B	12		11	、スーれスゆんもョ。ォ
FLD_A5	00D518	12		11	、スーれスよゆもョ。ォ
FLD_A5	00D541	12		11	、スーれスよよもョ。ォ
FLD_A5	00D57B	12		11	、スーれスよらもョ。ォ
FLD_A5	00D5BF	12		11	、スーれスよりもョ。ォ
FLD_A5	00D612	12		11	、スーれスよるもョ。ォ
