module	offset	bytes	slot	chars	text
1ST_READ	03D244	25		12	本体RAMにセーブします
1ST_READ	03D25D	27		13	カートリッジにセーブします
1ST_READ	03D278	27		13	拡張メモリーにセーブします
1ST_READ	03D293	15		7	セーブできます
1ST_READ	03D2A2	7		3	場所：
1ST_READ	03D2A9	38		18	今あるデータは消えます。\nいいですか？
1ST_READ	03D2CF	60		29	セーブ中です。電源を切ると正しく\n保存できない恐れがあります
1ST_READ	03D30B	29		14	セーブできる空きがありません
1ST_READ	03D328	15		7	NO DATA
1ST_READ	03D337	17		8	NO BLOCK
1ST_READ	03D348	21		10	セーブが終了しました
1ST_READ	03D35D	21		10	正しく記録できません
1ST_READ	03D372	27		13	本体RAMからロードします
1ST_READ	03D38D	29		14	カートリッジからロードします
1ST_READ	03D3AA	29		14	拡張メモリーからロードします
1ST_READ	03D3C7	19		9	使用されていません
1ST_READ	03D3DA	13		6	ロードします
1ST_READ	03D3E7	27		13	正しいデータではありません
1ST_READ	03D402	11		5	発掘所上空
1ST_READ	03D40D	7		3	発掘所
1ST_READ	03D414	9		4	キャンプ
1ST_READ	03D41D	9		4	渓谷地帯
1ST_READ	03D426	13		6	カイナスの村
1ST_READ	03D433	11		5	ガリル砂漠
1ST_READ	03D43E	11		5	キャラバン
1ST_READ	03D449	9		4	禁止区域
1ST_READ	03D452	13		6	ゲオルギウス
1ST_READ	03D45F	13		6	ゲオルギウス
1ST_READ	03D46C	13		6	ゲオルギウス
1ST_READ	03D479	9		4	ゾアの街
1ST_READ	03D482	15		7	帝国軍空中艦隊
1ST_READ	03D491	21		10	帝国軍空中艦隊駐屯地
1ST_READ	03D4A6	13		6	メル=カヴァ
1ST_READ	03D4B3	3		1	塔
1ST_READ	03D4B6	3		1	塔
1ST_READ	03D4B9	5		2	ウル
1ST_READ	03D4BE	13		6	ウル地下遣跡
1ST_READ	03D4CB	9		4	ゾアの森
1ST_READ	03D4D4	13		6	シーカーの里
BTL_A3	0531C5	9		4	メラコラ
BTL_A3	0531CE	19		9	トラコラ＆メラコラ
BTL_A3	0531E1	7		3	串刺し
BTL_A3	0531E8	7		3	針千本
BTL_A3	0531EF	7		3	クルル
BTL_A3	0531F6	7		3	碧の玉
BTL_A3	0531FD	7		3	りん粉
BTL_A3	053204	13		6	シャプリの巣
BTL_A3	053211	7		3	大アゴ
BTL_A3	053218	9		4	幼体放出
BTL_A3	0573F8	15		7	スタンレーザー
BTL_A3	057407	13		6	クチカラボム
BTL_A3	057414	17		8	サンダーレーザー
BTL_A3	057425	17		8	リカバーレーザー
BTL_A3	057436	9		4	バリアー
BTL_A3	05743F	9		4	シールド
BTL_A3	057448	13		6	バーティカル
BTL_A3	057455	13		6	ランナウェイ
BTL_A3	057462	15		7	リカバーグラス
BTL_A3	057471	17		8	バーサクアンプル
BTL_A3	057482	9		4	スピード
BTL_A3	05748B	17		8	ドラゴンリキッド
BTL_A3	05749C	11		5	エスケープ
BTL_A3	0574A7	9		4	バルカン
BTL_A3	0574B0	11		5	スタンガン
BTL_A3	0574BB	9		4	レーザー
BTL_A3	0574C4	5		2	反撃
BTL_A3	0574C9	23		11	アイテムのリストを表示
BTL_A3	0574E0	25		12	バーサークのリストを表示
BTL_A3	0574F9	17		8	銃のカスタマイズ
BTL_A3	05750A	27		13	ドラゴンのタイプをセレクト
BTL_A3	057525	13		6	銃による攻撃
BTL_A3	057532	29		14	ホーミングレーザーによる攻撃
BTL_A3	05754F	7		3	？？？
BTL_A3	057556	11		5	使用不可能
BTL_A3	057561	23		11	アイテムを持っていない
BTL_A3	057578	25		12	バーサークを覚えていない
BTL_A3	057591	21		10	パーツを持っていない
BTL_A3	0575A6	33		16	移動以外のドラゴンの行動不能状態
BTL_A3	0575C7	21		10	行動ゲージが足りない
BTL_A3	0575DC	29		14	バーサークポイントが足りない
BTL_A3	0575F9	23		11	ヒットポイントは最大値
BTL_A3	057610	27		13	バーサークポイントは最大値
BTL_A3	05762B	19		9	すでに行なっている
BTL_A3	05763E	19		9	攻撃する敵がいない
BTL_A3_2	054E24	7		3	ベモス
BTL_A3_2	054E2B	9		4	衝撃吸収
BTL_A3_2	054E34	5		2	怒り
BTL_A3_2	054E39	9		4	体当たり
BTL_A3_2	054E42	5		2	捕食
BTL_A3_2	054E47	5		2	触手
BTL_A3_2	054E4C	29		14	今までの奴とは雰囲気が違う…
BTL_A3_2	054E69	33		16	儀の腕で倒すことができるのか…？
BTL_A3_2	054E8A	35		17	攻撃が効かない！？ 跳ね返してる！
BTL_A3_2	054EAD	31		15	な、何だ？ 怒っているのか！？
BTL_A3_2	054ECC	21		10	倒した…危なかった…
BTL_A3_2	054EE1	39		19	そうだ、さっきの男は、大丈夫だろうか？
BTL_A3_2	054F08	5		2	気絶
BTL_A3_2	054F0D	7		3	消化液
BTL_A3_2	054F14	21		10	攻撃が…効かない！？
BTL_A3_2	054F29	25		12	まずいぞ…怒らせたか！？
BTL_A3_2	054F42	27		13	…さっきの男…大丈夫かな…
BTL_A3_2	057D48	15		7	スタンレーザー
BTL_A3_2	057D57	13		6	クチカラボム
BTL_A3_2	057D64	17		8	サンダーレーザー
BTL_A3_2	057D75	17		8	リカバーレーザー
BTL_A3_2	057D86	9		4	バリアー
BTL_A3_2	057D8F	9		4	シールド
BTL_A3_2	057D98	13		6	バーティカル
BTL_A3_2	057DA5	13		6	ランナウェイ
BTL_A3_2	057DB2	15		7	リカバーグラス
BTL_A3_2	057DC1	17		8	バーサクアンプル
BTL_A3_2	057DD2	9		4	スピード
BTL_A3_2	057DDB	17		8	ドラゴンリキッド
BTL_A3_2	057DEC	11		5	エスケープ
BTL_A3_2	057DF7	9		4	バルカン
BTL_A3_2	057E00	11		5	スタンガン
BTL_A3_2	057E0B	9		4	レーザー
BTL_A3_2	057E14	5		2	反撃
BTL_A3_2	057E19	23		11	アイテムのリストを表示
BTL_A3_2	057E30	25		12	バーサークのリストを表示
BTL_A3_2	057E49	17		8	銃のカスタマイズ
BTL_A3_2	057E5A	27		13	ドラゴンのタイプをセレクト
BTL_A3_2	057E75	13		6	銃による攻撃
BTL_A3_2	057E82	29		14	ホーミングレーザーによる攻撃
BTL_A3_2	057E9F	7		3	？？？
BTL_A3_2	057EA6	11		5	使用不可能
BTL_A3_2	057EB1	23		11	アイテムを持っていない
BTL_A3_2	057EC8	25		12	バーサークを覚えていない
BTL_A3_2	057EE1	21		10	パーツを持っていない
BTL_A3_2	057EF6	33		16	移動以外のドラゴンの行動不能状態
BTL_A3_2	057F17	21		10	行動ゲージが足りない
BTL_A3_2	057F2C	29		14	バーサークポイントが足りない
BTL_A3_2	057F49	23		11	ヒットポイントは最大値
BTL_A3_2	057F60	27		13	バーサークポイントは最大値
BTL_A3_2	057F7B	19		9	すでに行なっている
BTL_A3_2	057F8E	19		9	攻撃する敵がいない
BTL_A5	057C0C	7		3	トゥプ
BTL_A5	057C13	5		2	とげ
BTL_A5	057C18	7		3	とげ嵐
BTL_A5	057C1F	5		2	離散
BTL_A5	057C24	29		14	エッジ、赤い奴が群れのボスだ
BTL_A5	057C41	39		19	こいつら後ろには攻撃できないみたいだぜ
BTL_A5	057C68	11		5	アシュティ
BTL_A5	057C73	7		3	溶解液
BTL_A5	057C7A	9		4	しびれ液
BTL_A5	057C83	21		10	角がある奴に注意しろ
BTL_A5	057C98	5		2	とげ
BTL_A5	057C9D	7		3	とげ嵐
BTL_A5	057CA4	9		4	しびれ液
BTL_A5	057CAD	19		9	トゥプ＆アシュティ
BTL_A5	057CC0	9		4	セチュラ
BTL_A5	057CC9	3		1	泥
BTL_A5	057CCC	27		13	奴ら、撃つとこっちを向くぜ
BTL_A5	057CE7	33		16	奴は背中が弱点だ！ よく狙えよ！
BTL_A5	057D08	5		2	液胞
BTL_A5	057D0D	5		2	鉤爪
BTL_A5	057D12	3		1	鈴
BTL_A5	057D15	5		2	とげ
BTL_A5	057D1A	13		6	気をつけろ！
BTL_A5	057D27	37		18	奴は撃った方向に確実に反撃してくるぞ
BTL_A5	057D4C	17		8	プーキオ＆トゥプ
BTL_A5	057D5D	9		4	ワムシシ
BTL_A5	057D66	9		4	蒼の大玉
BTL_A5	057D6F	7		3	蒼の玉
BTL_A5	05F5C8	15		14	ョスアョ「…はらツもはゆらツ
BTL_A5	05F5D8	15		7	スタンレーザー
BTL_A5	05F5E7	13		6	クチカラボム
BTL_A5	05F5F4	17		8	サンダーレーザー
BTL_A5	05F605	17		8	リカバーレーザー
BTL_A5	05F616	9		4	バリアー
BTL_A5	05F61F	9		4	シールド
BTL_A5	05F628	13		6	バーティカル
BTL_A5	05F635	13		6	ランナウェイ
BTL_A5	05F642	15		7	リカバーグラス
BTL_A5	05F651	17		8	バーサクアンプル
BTL_A5	05F662	9		4	スピード
BTL_A5	05F66B	17		8	ドラゴンリキッド
BTL_A5	05F67C	11		5	エスケープ
BTL_A5	05F687	9		4	バルカン
BTL_A5	05F690	11		5	スタンガン
BTL_A5	05F69B	9		4	レーザー
BTL_A5	05F6A4	5		2	反撃
BTL_A5	05F6A9	23		11	アイテムのリストを表示
BTL_A5	05F6C0	25		12	バーサークのリストを表示
BTL_A5	05F6D9	17		8	銃のカスタマイズ
BTL_A5	05F6EA	27		13	ドラゴンのタイプをセレクト
BTL_A5	05F705	13		6	銃による攻撃
BTL_A5	05F712	29		14	ホーミングレーザーによる攻撃
BTL_A5	05F72F	7		3	？？？
BTL_A5	05F736	11		5	使用不可能
BTL_A5	05F741	23		11	アイテムを持っていない
BTL_A5	05F758	25		12	バーサークを覚えていない
BTL_A5	05F771	21		10	パーツを持っていない
BTL_A5	05F786	33		16	移動以外のドラゴンの行動不能状態
BTL_A5	05F7A7	21		10	行動ゲージが足りない
BTL_A5	05F7BC	29		14	バーサークポイントが足りない
BTL_A5	05F7D9	23		11	ヒットポイントは最大値
BTL_A5	05F7F0	27		13	バーサークポイントは最大値
BTL_A5	05F80B	19		9	すでに行なっている
BTL_A5	05F81E	19		9	攻撃する敵がいない
BTL_A5_2	05A9E0	9		4	ハイシュ
BTL_A5_2	05A9E9	7		3	ハイガ
BTL_A5_2	05A9F0	7		3	幼生体
BTL_A5_2	05A9F7	9		4	機動形態
BTL_A5_2	05AA00	9		4	防御形態
BTL_A5_2	05AA09	9		4	完全形態
BTL_A5_2	05AA12	7		3	増強粉
BTL_A5_2	05AA19	5		2	落盤
BTL_A5_2	05AA1E	7		3	寄生虫
BTL_A5_2	05AA25	5		2	吸収
BTL_A5_2	05AA2A	5		2	憤怒
BTL_A5_2	05AA2F	5		2	防御
BTL_A5_2	05AA34	9		4	ヤリ乱射
BTL_A5_2	05AA3D	7		3	砂潜り
BTL_A5_2	05AA44	7		3	共食い
BTL_A5_2	05AA4B	9		4	右腕マヒ
BTL_A5_2	05AA54	5		2	ヤリ
BTL_A5_2	05AA59	39		19	すごい… 地下にこんな空洞があるなんて
BTL_A5_2	05AA80	27		13	なんだ？ この青い奴は！？
