module	offset	bytes	slot	chars	text
BTL_B6	05B333	37		18	(反撃されないためには銃しかないな)
BTL_B6	05B358	31		15	(反撃を上にさせて巣を狙おう)
BTL_B6	05B377	35		17	(銃で下にいる奴らを狙ってみるか)
BTL_B6	05B39A	33		16	(子供をたおすのもあきてきたな)
BTL_B6	05B3BB	35		17	(実は子供は経験値がないんだよな)
FLD_A3	008EA7	33		16	(うわぁ！どうしたんだ一体！？)
FLD_A3	008EC8	17		8	(騒がしいな…)
FLD_A3	008ED9	31		15	(何のための装置なんだろう？)
FLD_A3	008EF8	21		10	(静かになったな…)
FLD_A3	008F0D	27		13	(装置が止まったせいかな)
FLD_A3	008F28	23		11	(また騒がしくなった)
FLD_A3	008F3F	27		13	(装置が動き出したのか…)
FLD_A3	008F5A	21		10	(風がやんでいる…)
FLD_A3	008F6F	21		10	(風が吹いている…)
FLD_A3	008F84	37		18	(滝を見ていると吸い込まれそうだ…)
FLD_A3	008FA9	11		5	(ちっ！)
FLD_A3	008FB4	37		18	(風がやまない限り先には行けないな)
FLD_A3	008FD9	39		19	(どこかにスイッチがあるはずなんだが)
FLD_A3	009000	17		8	(…やっぱり、)
FLD_A3	009011	39		19	(風網を止めるスイッチを探すのが先か)
FLD_A3	009038	19		9	(止まっている！)
FLD_A3	00904B	37		18	(さっきのがスイッチだったのか……)
FLD_A3	009070	39		19	(だけど、これで攻性生物もこの辺りに)
FLD_A3	009097	31		15	(近づきやすくなったはずだ…)
FLD_A3	0090B6	19		9	(静かになったな)
FLD_A3	0090C9	31		15	(装置がうなりをあげはじめた)
FLD_A3	0093FB	27		13	(ドラゴンを尋われた…？)
FLD_A3	009416	35		17	(…こいつの他にもドラゴンが！？)
FLD_A3	009439	33		16	(帝国の戦艦が撃沈されている…)
FLD_A3	00945A	35		17	(クレイメンとやりあったのか……)
FLD_A3	00947D	35		17	(あっ、戦艦が……くずれてゆく…)
FLD_A3	02D314	37		18	(あ、ドラゴンの体力が回復してる…)
FLD_A3	02D339	25		12	(こんな効果もあるのか)
FLD_A3	02D352	25		12	(旧世紀の記録機械だ…)
FLD_A3	02D38B	21		10	(なんだ…この力…)
FLD_A3	02D3A0	19		8	(今までの<01><01>とは)
FLD_A3	02D3B3	21		10	(まったく違う！？)
FLD_A3	02D3C8	17		8	(壊せない！？)
FLD_A3	02D3D9	29		14	(レーザーが弱いからかな…)
FLD_A3	02D3F6	27		13	(こいつは後回しにしよう)
FLD_A5	00D866	33		16	(赤いワームなんて、珍しいな…)
FLD_A5	00D887	19		9	(ワームの幼性？)
FLD_A5	00D89A	33		16	(アリ地獄に落ちる事あるんだ…)
FLD_A5	00D8BB	25		12	(…あのワームの親かな)
FLD_A5	00D8D4	39		19	(攻性生物でも子を守ろうとするんだ…)
FLD_A5	00D8FB	25		12	(旧世紀の沈没船？か…)
FLD_A5	00D914	35		17	(破壊しちゃったけど、大丈夫かな)
FLD_A5	00D937	33		16	(何も起こらなければいいけど…)
FLD_A5	00D958	13		6	(ここは…)
FLD_A5	00E2F4	27		13	(よし、もう一度挑戦だ！)
FLD_A5	00E30F	23		11	(次はがんばるぞ！！)
FLD_A5	00ECB5	31		15	(さっきは新記録をだせたけど)
FLD_A5	00ECD4	31		15	(これからは自分との闘いだ！)
FLD_A5	00F8AB	25		12	(もう一度挑戦するか？)
FLD_A5	032EC4	37		18	(あ、ドラゴンの体力が回復してる…)
FLD_A5	032EE9	25		12	(こんな効果もあるのか)
FLD_A5	032F02	25		12	(旧世紀の記録機械だ…)
FLD_A5	032F3B	21		10	(なんだ…この力…)
FLD_A5	032F50	19		8	(今までの<01><01>とは)
FLD_A5	032F63	21		10	(まったく違う！？)
FLD_A5	032F78	17		8	(壊せない！？)
FLD_A5	032F89	29		14	(レーザーが弱いからかな…)
FLD_A5	032FA6	27		13	(こいつは後回しにしよう)
FLD_A7	006A5E	29		14	(こいつにはりついて行こう)
FLD_A7	006A7B	19		9	(これで3つ目…)
FLD_A7	006A8E	35		17	(全部、動かせということなのか…)
FLD_A7	006ABC	19		9	(．．．幻聴か？)
FLD_A7	006ACF	25		12	(何だ？ この遣跡は…)
FLD_A7	006AE8	35		17	(何かをはめるみたいな形だけど…)
FLD_A7	006B0B	31		15	(さっきの巨石がはまってる…)
FLD_A7	006B2A	19		9	(…1、2、3…)
FLD_A7	006B3D	33		16	(まだ、はめる場所が7つある…)
FLD_A7	006B5E	33		16	(…まだ、はめる場所が6つある)
FLD_A7	006B7F	33		16	(…まだ、はめる場所が5つある)
FLD_A7	006BA0	15		7	(…あと4つ)
FLD_A7	006BAF	15		7	(…あと3つ)
FLD_A7	006BBE	15		7	(…あと2つ)
FLD_A7	006BCD	19		9	(…あとひとつか)
FLD_A7	006CAD	19		9	(これなのか！？)
FLD_A7	006CC0	29		14	(クレイメン達の目的って…)
FLD_A7	006CDD	39		19	(竜巻で何かが引きあげられている！？)
FLD_A7	006D04	35		17	(…どうやら先回りできたらしいな)
FLD_A7	006D7F	31		15	(何かが引きあげられている？)
FLD_A7	006DC0	19		9	(これで最後か？)
FLD_A7	02B35F	35		17	(ずいぶん外れまでやってきたな…)
FLD_A7	02B3A8	37		18	(あ、ドラゴンの体力が回復してる…)
FLD_A7	02B3CD	25		12	(こんな効果もあるのか)
FLD_A7	02B3E6	25		12	(旧世紀の記録機械だ…)
FLD_A7	02B41F	21		10	(なんだ…この力…)
FLD_A7	02B434	19		8	(今までの<01><01>とは)
FLD_A7	02B447	21		10	(まったく違う！？)
FLD_A7	02B45C	17		8	(壊せない！？)
FLD_A7	02B46D	29		14	(レーザーが弱いからかな…)
FLD_A7	02B48A	27		13	(こいつは後回しにしよう)
FLD_B2	00E0E4	24		10	(ここになら<03><05>船の部品<03>
FLD_B2	00E10B	17		8	(おかしいな…)
FLD_B2	00E11C	39		19	(どこかに入□がありそうなものだけど)
FLD_B2	00E143	15		7	(なんだ！？)
FLD_B2	00E152	27		13	(船の方に集まってるぞ…)
FLD_B2	00E16D	21		10	(！！ 聞こえる…)
FLD_B2	00E182	19		9	(生物の鼓動…？)
FLD_B2	00E195	13		6	(まだか…)
FLD_B2	00E1A2	15		7	(あと少し…)
FLD_B2	00E1B1	21		10	(何かいるのか！？)
FLD_B2	00E1C6	37		18	(…あの船？ …いや、船の中か！？)
FLD_B2	00E1EB	13		6	(開かない)
FLD_B2	00E1F8	31		15	(この奥に何があるんだろう？)
FLD_B2	00E217	25		12	(ドラゴンの紋章…！？)
FLD_B2	00E230	29		14	(なんでこんなところに…？)
FLD_B2	00E25C	9		4	(！！)
FLD_B2	00E265	19		9	(これは…一体…)
FLD_B2	00E278	9		4	(！！)
FLD_B2	00E281	23		11	(これは…ドラゴン？)
FLD_B2	00E2A5	15		7	(これかな？)
FLD_B2	00E2B4	35		17	(パエットの欲しがってる物って…)
FLD_B2	00E2D7	29		14	(誰かが入った跡がある…！)
FLD_B2	00E2F4	25		12	(降りて調べてみるか…)
FLD_B2	00E30D	27		13	(帝国軍が爆破している…)
FLD_B2	00E328	31		15	(あそこからはもう入れないな)
FLD_B2	02EE07	35		17	(ずいぶん外れまでやってきたな…)
FLD_B2	02EE50	37		18	(あ、ドラゴンの体力が回復してる…)
FLD_B2	02EE75	25		12	(こんな効果もあるのか)
FLD_B2	02EE8E	25		12	(旧世紀の記録機械だ…)
FLD_B2	02EEC7	21		10	(なんだ…この力…)
FLD_B2	02EEDC	19		8	(今までの<01><01>とは)
FLD_B2	02EEEF	21		10	(まったく違う！？)
FLD_B2	02EF04	17		8	(壊せない！？)
FLD_B2	02EF15	29		14	(レーザーが弱いからかな…)
FLD_B2	02EF32	27		13	(こいつは後回しにしよう)
FLD_B5	009139	7		3	(？)
FLD_B5	009140	23		11	(…どういう意味だ？)
FLD_B5	009157	22		9	(<03><05>プロテクトキー1<03>
FLD_B5	009174	27		13	(これがキーってことは、)
FLD_B5	00918F	35		17	(次はこいつに合う鍵穴探しだな…)
FLD_B5	0091B2	19		9	(同じ印の遣跡…)
FLD_B5	0091C5	29		14	(どこかに、なかったかな…)
FLD_B5	0091E2	22		9	(<03><05>プロテクトキー2<03>
FLD_B5	0091FF	25		12	(さっきと同じ要領だな)
FLD_B5	009218	22		9	(<03><05>プロテクトキー3<03>
FLD_B5	009235	23		11	(最後の封印の鍵か…)
FLD_B5	00924C	35		17	(あの遣跡からのメッセージか？…)
FLD_B5	0092AD	27		13	(…キー、ということは…)
FLD_B5	0092C8	35		17	(きっと何かの鍵が必要なんだな…)
FLD_B5	0092EB	33		16	(なるほど、こういうしかけか…)
FLD_B5	00930C	39		19	(これでこの遣跡の封印が1つ解けた、)
FLD_B5	009333	19		9	(…というわけか)
FLD_B5	009346	33		16	(何か変化があったかもしれない)
FLD_B5	009367	26		11	(さっき<03>\n鍵を取った場所<03>
FLD_B5	009388	17		8	(戻ってみよう)
FLD_B5	009399	33		16	(あの遣跡からのメッセージだ…)
FLD_B5	0093F8	27		13	(…プロテクトキー2か…)
FLD_B5	009413	39		19	(それがあれば、ここで何かが起きる…)
FLD_B5	00943A	25		12	(そういうことなのか？)
FLD_B5	009453	19		9	(これで2つ目…)
FLD_B5	009466	23		11	(…！？ …何だ！？)
FLD_B5	00947D	9		4	(…？)
FLD_B5	009486	29		14	(何かが作動したみたいだ…)
FLD_B5	0094A3	33		16	(あの黒い船…クレイメン艦隊！)
FLD_B5	0094C4	39		19	(この遣跡で何をしようとしてるんだ？)
FLD_B5	0094EB	17		8	(また奴らか！)
FLD_B5	0094FC	27		13	(…やっぱり、この遣跡…)
FLD_B5	009517	31		15	(…塔と何か関係あるのか…？)
FLD_B5	009536	17		8	(やっぱりだ…)
FLD_B5	009547	33		16	(儀がこの遣跡の封印を解くのを)
FLD_B5	009568	21		10	(邪魔するように…)
FLD_B5	00957D	17		8	(くそっ！！…)
FLD_B5	00958E	33		16	(今のが遣跡のガーディアンか！)
FLD_B5	0095AF	37		18	(奴ら、儀が封印を解くのを見こして)
FLD_B5	0095D4	23		11	(ここを解除すると、)
FLD_B5	0095EB	37		18	(あのガーディアンが起動するように)
FLD_B5	009610	27		13	(仕組んでたってわけか…)
FLD_B5	00962B	39		19	(ともあれ、2つ目の封印は解いたんだ)
FLD_B5	009652	25		12	(封印が解けたせいで、)
FLD_B5	00966B	33		16	(また変化があったかもしれない)
FLD_B5	00968C	22		9	(あの<03>\n黒い遣跡の所<03>
FLD_B5	0096B5	31		15	(やれやれ、やっと一段落だな)
FLD_B5	0096D4	11		5	(…！？)
FLD_B5	0096DF	29		14	(親の巣の跡に何かある…？)
FLD_B5	0096FC	33		16	(あの場所からのメッセージだ…)
FLD_B5	00975B	19		9	(最後の封印、か)
FLD_B5	00976E	41		20	(封印を解くたびに、ここに変化がある…)
FLD_B5	009797	35		17	(塔へ行く道の入□があるとすれば)
FLD_B5	0097BA	21		10	(多分この場所だ…)
FLD_B5	0097CF	33		16	(早く3つ目の鍵を探さなきゃ…)
FLD_B5	0097F0	39		19	(洞窟？ …の、ようにも見えるけど…)
FLD_B5	009817	37		18	(後ろにのびてる通路に続いてるのか)
FLD_B5	00983C	15		7	(…だけど…)
FLD_B5	00984B	31		15	(入□がふさがれてるみたいだ)
FLD_B5	00986A	37		18	(なるほど、通路はつながったけど…)
FLD_B5	00988F	31		15	(入□がふさがれてるみたいだ)
FLD_B5	0098AE	21		10	(…ここを通れば、)
FLD_B5	0098C3	39		19	(安全に崖を越えて行けそうなんだが…)
FLD_B5	0098EA	33		16	(なるほど、入□は開いたけど…)
FLD_B5	00990B	37		18	(後の通路みたいなのが気になるな…)
FLD_B5	009930	35		17	(…ここと崖をつないで通れれば、)
FLD_B5	009953	39		19	(安全に崖を越えて行けそうなんだが…)
FLD_B5	00997A	19		9	(ここがウルか！)
FLD_B5	00998D	37		18	(パエットに見せてもらった通りだ…)
FLD_B5	0099B2	11		5	(………)
FLD_B5	0099BD	29		14	(確か、機械が墜落したのは)
FLD_B5	0099DA	35		17	(ここの北側だとか言ってたかな…)
FLD_B5	0099FD	15		7	(驚いたな！)
FLD_B5	009A0C	37		18	(ここにはあんな生き物までいるのか)
FLD_B5	009A31	17		8	(それにしても)
FLD_B5	009A42	25		12	(威嘯のつもりにしては)
FLD_B5	009A5B	33		16	(ずいぶん派手にやってくれたな)
FLD_B5	009A7C	27		13	(見たところ何も変化は…)
FLD_B5	009A97	9		4	(！？)
FLD_B5	009AA0	33		16	(いや、あの沈んでた黒い遣跡！)
FLD_B5	009AC1	33		16	(まわりが浮き上がってきてる！)
FLD_B5	009AE2	17		8	(何だ、こいつ)
FLD_B5	009AF3	23		11	(一緒についてくるぞ)
FLD_B5	009B0A	35		17	(…さては、儀らを親と間違えたな)
FLD_B5	009B2D	17		8	(しょうがない)
FLD_B5	009B3E	37		18	(親のところまで連れていってやるか)
FLD_B5	009B63	21		10	(プロテクトキー？)
FLD_B5	009B78	37		18	(これが、さっきの遣跡が言っていた)
FLD_B5	009B9D	31		15	(プロテクトキーってやつか…)
FLD_B5	009BBC	39		19	(こいつを使って、ここの遣跡の封印を)
FLD_B5	009BE3	33		16	(解いていけば、この場所の謎が)
FLD_B5	009C04	23		11	(わかるってことか…)
FLD_B5	009C1B	20		8	(<03><05>プロテクトキー<03>
FLD_B5	009C34	11		5	(………)
FLD_B5	009C3F	21		10	(何かの鍵らしいが)
FLD_B5	009C54	29		14	(何に使うのかさっぱりだ…)
FLD_B5	009C71	31		15	(他に手がかりを探してみよう)
FLD_B5	00AEFD	35		17	(…今のは、あの時のドラゴン！！)
FLD_B5	00AF20	39		19	(…もうメッセージは送られてこない…)
FLD_B5	00AF47	19		9	(ここにもいたか)
FLD_B5	00AF5A	33		16	(まあ、こいつは後回しにしよう)
FLD_B5	00AF7B	15		7	(まずは1匹)
FLD_B5	00AF8A	21		10	(他にもいるかな…)
FLD_B5	00AF9F	13		6	(2匹目…)
FLD_B5	00AFAC	27		13	(探せば、まだいそうだな)
FLD_B5	02CB53	35		17	(ずいぶん外れまでやってきたな…)
FLD_B5	02CB9C	37		18	(あ、ドラゴンの体力が回復してる…)
FLD_B5	02CBC1	25		12	(こんな効果もあるのか)
FLD_B5	02CBDA	25		12	(旧世紀の記録機械だ…)
FLD_B5	02CC13	21		10	(なんだ…この力…)
FLD_B5	02CC28	19		8	(今までの<01><01>とは)
FLD_B5	02CC3B	21		10	(まったく違う！？)
FLD_B5	02CC50	17		8	(壊せない！？)
FLD_B5	02CC61	29		14	(レーザーが弱いからかな…)
FLD_B5	02CC7E	27		13	(こいつは後回しにしよう)
FLD_B6	00AA3A	39		19	(さっきの場所には戻れなくなったな…)
FLD_B6	00AA61	27		13	(ドラゴンと鍵があれば、)
FLD_B6	00AA7C	35		17	(すぐにもここを出られそうなのに)
FLD_B6	00ABD8	31		15	(…だめだな、閉鎖されてる…)
FLD_B6	00AC22	19		9	(…生体兵装…？)
FLD_B6	00AC35	15		7	(つまり…、)
FLD_B6	00AC44	31		15	(ドラゴンじゃダメってことか)
FLD_B6	00B151	19		9	(！？ あれは…)
FLD_B6	00B164	15		7	(アゼル！！)
FLD_B6	00B173	27		13	(ここからは出られないな)
FLD_B6	00B18E	19		9	(この前来た時に)
FLD_B6	00B1A1	29		14	(エレベーターも壊れたし…)
FLD_B6	02E4EF	35		17	(ずいぶん外れまでやってきたな…)
FLD_B6	02E538	37		18	(あ、ドラゴンの体力が回復してる…)
FLD_B6	02E55D	25		12	(こんな効果もあるのか)
FLD_B6	02E576	25		12	(旧世紀の記録機械だ…)
FLD_B6	02E5AF	21		10	(なんだ…この力…)
FLD_B6	02E5C4	19		8	(今までの<01><01>とは)
FLD_B6	02E5D7	21		10	(まったく違う！？)
FLD_B6	02E5EC	17		8	(壊せない！？)
FLD_B6	02E5FD	29		14	(レーザーが弱いからかな…)
FLD_B6	02E61A	27		13	(こいつは後回しにしよう)
FLD_C2	00AC76	19		9	(気づかれた！！)
FLD_C2	00AC89	37		18	(これだけ戦闘を繰り返せば当然か…)
FLD_C2	00ACAE	18		7	(急いで<03>\n指令塔<03>
FLD_C2	00ACD3	35		17	(頭をつぶさないときりがないぞ…)
FLD_C2	00ACF6	39		19	(指揮を取っている場所さえわかれば！)
FLD_C2	00AE00	27		13	(何だ？ 帝国軍の奴ら…)
FLD_C2	00AE1B	29		14	(何をやろうとしてるんだ？)
FLD_C2	00AE38	33		16	(ここから先は警戒が厳しいな…)
