module	offset	bytes	slot	chars	text
BTL_A5	05F570	6	16	5	ーイなよな
BTL_A5	05F580	6	16	5	アョなよな
BTL_A5	05F590	6	16	5	」イ。よな
BTL_A5	05F5A0	6	16	5	」イ。りな
BTL_A5	05F5B0	6	16	5	」イ。れな
BTL_A5	05F5C0	6	16	5	「」ー「な
BTL_A7_2	053A48	6	16	5	ーイなよな
BTL_A7_2	053A58	6	16	5	アョなよな
BTL_A7_2	053A68	6	16	5	」イ。よな
BTL_A7_2	053A78	6	16	5	」イ。りな
BTL_A7_2	053A88	6	16	5	」イ。れな
BTL_A7_2	053A98	6	16	5	「」ー「な
FLD_A3	040BC0	10	12	9	はりツもはゆらツな
FLD_A3	040BCC	3	12	2	カ…
FLD_A3	040BD8	11	12	10	なはるツもはゆらツな
FLD_A3	040BE4	11	12	10	めはるツもはゆらツな
FLD_A3	040BF0	11	12	10	なはれツもはゆりツな
FLD_A3	040BFC	11	12	10	めはれツもはゆりツな
FLD_A3	040C08	6	12	5	なはるツな
FLD_A5	00ED71	3	41	1	を
FLD_A5	00ED9A	5	41	2	をぬ
FLD_A5	00EDC3	7	41	3	をぬり
FLD_A5	00EDEC	9	41	4	をぬりか
FLD_A5	00EE15	11	41	5	をぬりかえ
FLD_A5	00EE3E	13	41	6	をぬりかえよ
FLD_A5	00EE67	15	41	7	をぬりかえよ■
FLD_A5	00EE90	17	41	8	をぬりかえよ■■
FLD_A5	00EEB9	19	41	9	をぬりかえよ■■ 
FLD_A5	00F263	3	41	1	を
FLD_A5	00F28C	5	41	2	をぬ
FLD_A5	00F2B5	7	41	3	をぬり
FLD_A5	00F2DE	9	41	4	をぬりか
FLD_A5	00F307	11	41	5	をぬりかえ
FLD_A5	00F330	13	41	6	をぬりかえよ
FLD_A5	00F359	15	41	7	をぬりかえよ■
FLD_A5	00F382	17	41	8	をぬりかえよ■■
FLD_A5	00F3AB	19	41	9	をぬりかえよ■■ 
FLD_A5	04A5A8	10	12	9	はりツもはゆらツな
FLD_A5	04A5B4	3	12	2	カ…
FLD_A5	04A5C0	11	12	10	なはるツもはゆらツな
FLD_A5	04A5CC	11	12	10	めはるツもはゆらツな
FLD_A5	04A5D8	11	12	10	なはれツもはゆりツな
FLD_A5	04A5E4	11	12	10	めはれツもはゆりツな
FLD_A5	04A5F0	6	12	5	なはるツな
FLD_A7	033E50	10	12	9	はりツもはゆらツな
FLD_A7	033E5C	3	12	2	カ…
FLD_A7	033E68	11	12	10	なはるツもはゆらツな
FLD_A7	033E74	11	12	10	めはるツもはゆらツな
FLD_A7	033E80	11	12	10	なはれツもはゆりツな
FLD_A7	033E8C	11	12	10	めはれツもはゆりツな
FLD_A7	033E98	6	12	5	なはるツな
FLD_B2	03AA28	10	12	9	はりツもはゆらツな
FLD_B2	03AA34	3	12	2	カ…
FLD_B2	03AA40	11	12	10	なはるツもはゆらツな
FLD_B2	03AA4C	11	12	10	めはるツもはゆらツな
FLD_B2	03AA58	11	12	10	なはれツもはゆりツな
FLD_B2	03AA64	11	12	10	めはれツもはゆりツな
FLD_B2	03AA70	6	12	5	なはるツな
FLD_B5	009DB1	37	39	18	■                 
FLD_B5	009DD8	37	39	18	…■                
FLD_B5	009DFF	37	39	18	…プ■               
FLD_B5	009E26	37	39	18	…プラ■              
FLD_B5	009E4D	37	39	18	…プラン■             
FLD_B5	009E74	37	39	18	…プラント■            
FLD_B5	009E9B	37	39	18	…プラントの■           
FLD_B5	009EC2	37	39	18	…プラントの再■          
FLD_B5	009EE9	37	39	18	…プラントの再起■         
FLD_B5	009F10	37	39	18	…プラントの再起動■        
FLD_B5	009F37	37	39	18	…プラントの再起動を■       
FLD_B5	009F5E	37	39	18	…プラントの再起動を開■      
FLD_B5	009F85	37	39	18	…プラントの再起動を開始■     
FLD_B5	009FAC	37	39	18	…プラントの再起動を開始し■    
FLD_B5	009FD3	37	39	18	…プラントの再起動を開始しま■   
FLD_B5	009FFA	37	39	18	…プラントの再起動を開始しまし■  
FLD_B5	00A021	37	39	18	…プラントの再起動を開始しました■ 
FLD_B5	00A048	37	39	18	…プラントの再起動を開始しました…■
FLD_B5	00A06D	39	41	19	■                  
FLD_B5	00A096	39	41	19	…■                 
FLD_B5	00A0BF	39	41	19	…維■                
FLD_B5	00A0E8	39	41	19	…維持■               
FLD_B5	00A111	39	41	19	…維持シ■              
FLD_B5	00A13A	39	41	19	…維持シス■             
FLD_B5	00A163	39	41	19	…維持システ■            
FLD_B5	00A18C	39	41	19	…維持システム■           
FLD_B5	00A1B5	39	41	19	…維持システムの■          
FLD_B5	00A1DE	39	41	19	…維持システムの活■         
FLD_B5	00A207	39	41	19	…維持システムの活動■        
FLD_B5	00A230	39	41	19	…維持システムの活動を■       
FLD_B5	00A259	39	41	19	…維持システムの活動を開■      
FLD_B5	00A282	39	41	19	…維持システムの活動を開始■     
FLD_B5	00A2AB	39	41	19	…維持システムの活動を開始し■    
FLD_B5	00A2D4	39	41	19	…維持システムの活動を開始しま■   
FLD_B5	00A2FD	39	41	19	…維持システムの活動を開始しまし■  
FLD_B5	00A326	39	41	19	…維持システムの活動を開始しました■ 
FLD_B5	00A34F	39	41	19	…維持システムの活動を開始しました…■
