module	offset	bytes	slot	chars	text
FLAGEDIT	000340	17		8	000エッジ負傷
FLAGEDIT	000351	27		13	002エッジ意識を取り戻す
FLAGEDIT	00036C	19		9	004ドラゴン登場
FLAGEDIT	00037F	15		7	006発掘所へ
FLAGEDIT	00038E	17		8	008隊長の遣言
FLAGEDIT	00039F	29		14	011追われるガッシュを発見
FLAGEDIT	0003BC	25		12	014ガッシュとの出会い
FLAGEDIT	0003D5	37		18	016ドラゴン伝承をガッシュから聞く
FLAGEDIT	0003FA	23		11	022ガッシュとの別れ
FLAGEDIT	000411	29		14	024「クレイメン艦隊」の噂
FLAGEDIT	00042E	35		17	029アーウェン艦を撃破〜AD登場
FLAGEDIT	000451	25		12	034パエットからの依頼
FLAGEDIT	00046A	25		12	040帝国軍に拿捕される
FLAGEDIT	000483	19		9	041帝国軍の尋問
FLAGEDIT	000496	21		10	043シーカーの襲撃
FLAGEDIT	0004AB	23		11	049ガッシュとの再会
FLAGEDIT	0004C2	23		11	052パエットとの交渉
FLAGEDIT	0004D9	19		9	053透視版の映像
FLAGEDIT	0004EC	27		13	054ツァスタヴァ少尉登場
FLAGEDIT	000507	17		8	057AD登場2
FLAGEDIT	000518	17		8	059ウル地下へ
FLAGEDIT	000529	23		11	060アゼルとの出会い
FLAGEDIT	000540	23		11	067エレベーター乗る
FLAGEDIT	000557	19		9	068アゼルの独白
FLAGEDIT	00056A	17		8	071再会の予感
FLAGEDIT	00057B	21		10	072パエットと空へ
FLAGEDIT	000590	23		11	074帝国からの先遣隊
FLAGEDIT	0005A7	25		12	078バイマンからの依頼
FLAGEDIT	0005C0	21		10	087バイマンの陰謀
FLAGEDIT	0005D5	31		15	089クレイメン部下深夜の襲撃
FLAGEDIT	0005F4	29		14	090Aメル=カヴァが見える
FLAGEDIT	000611	23		11	090遣産の見せたもの
FLAGEDIT	000628	37		18	117アゼル助けるエッジ／帝国軍登場
FLAGEDIT	00064D	13		6	118街消滅
FLAGEDIT	00065A	31		15	120クレイメン艦登場(前半)
FLAGEDIT	000679	31		15	121クレイメン艦登場(後半)
FLAGEDIT	000698	23		11	122クレイメンの告白
FLAGEDIT	0006AF	35		17	127アゼルの覚醒／クレイメンの死
FLAGEDIT	0006D2	23		11	128攻性生物対帝国軍
FLAGEDIT	0006E9	21		10	134シーカーの正体
FLAGEDIT	0006FE	21		10	135アゼル目覚める
FLAGEDIT	000713	17		8	137帝国軍襲来
FLAGEDIT	000724	19		9	142アゼルの説得
FLAGEDIT	000737	19		9	144アゼルの決意
FLAGEDIT	00074A	15		7	150塔再潜入
FLAGEDIT	000759	27		13	152エッジとアゼルの別れ
FLAGEDIT	000774	27		13	153セストレンへ、塔爆破
FLAGEDIT	00078F	25		12	155＿1戦闘ムービー1
FLAGEDIT	0007A8	25		12	155＿2戦闘ムービー2
FLAGEDIT	0007C1	25		12	155＿3戦闘ムービー3
FLAGEDIT	0007DA	25		12	155＿4戦闘ムービー4
FLAGEDIT	0007F3	25		12	155＿5戦闘ムービー5
FLAGEDIT	00080C	23		11	159ドラゴンとの別れ
FLAGEDIT	000823	35		17	160荒野にてエッジを待つガッシュ
FLAGEDIT	000846	17		8	発掘所上空クリア
FLAGEDIT	000857	15		7	渓谷地帯クリア
FLAGEDIT	000866	17		8	ガリル砂漠クリア
FLAGEDIT	000877	15		7	禁止区域クリア
FLAGEDIT	000886	21		10	ゲオルギウス2クリア
FLAGEDIT	00089B	21		10	ゲオルギウス3クリア
FLAGEDIT	0008B0	11		5	ウルクリア
FLAGEDIT	0008BB	19		9	ウル地下遣跡クリア
FLAGEDIT	0008CE	27		13	帝国軍空中艦隊駐屯地クリア
FLAGEDIT	0008E9	19		9	メル=カヴァクリア
FLAGEDIT	0008FC	21		10	帝国軍空中艦隊クリア
FLAGEDIT	000911	11		5	塔1クリア
FLAGEDIT	00091C	15		7	ゾアの森クリア
FLAGEDIT	00092B	17		8	ウル地下2クリア
FLAGEDIT	00093C	11		5	塔2クリア
FLAGEDIT	000947	17		8	セストレンクリア
FLAGEDIT	000958	17		8	発掘所上空進入可
FLAGEDIT	000969	13		6	発掘所進入可
FLAGEDIT	000976	25		12	キャンプ(発掘所)進入可
FLAGEDIT	00098F	15		7	渓谷地帯進入可
FLAGEDIT	00099E	19		9	カイナスの村進入可
FLAGEDIT	0009B1	31		15	キャンプ(カイナスの村)進入可
FLAGEDIT	0009D0	17		8	ガリル砂漠進入可
FLAGEDIT	0009E1	27		13	キャラバン(砂漠A)進入可
FLAGEDIT	0009FC	25		12	キャンプ(砂漠A)進入可
FLAGEDIT	000A15	27		13	キャラバン(砂漠B)進入可
FLAGEDIT	000A30	25		12	キャンプ(砂漠B)進入可
FLAGEDIT	000A49	27		13	キャラバン(平原A)進入可
FLAGEDIT	000A64	23		11	キャンプ(平原)進入可
FLAGEDIT	000A7B	27		13	キャラバン(平原B)進入可
FLAGEDIT	000A96	29		14	キャラバン(ゾアの街)進入可
FLAGEDIT	000AB3	27		13	キャンプ(ゾアの森)進入可
FLAGEDIT	000ACE	29		14	キャラバン(ゾアの森)進入可
FLAGEDIT	000AEB	15		7	禁止区域進入可
FLAGEDIT	000AFA	21		10	ゲオルギウス2進入可
FLAGEDIT	000B0F	25		12	ゲオルギウス2．5進入可
FLAGEDIT	000B28	21		10	ゲオルギウス3進入可
FLAGEDIT	000B3D	15		7	ゾアの街進入可
FLAGEDIT	000B4C	15		7	帝国軍空中艦隊
FLAGEDIT	000B5B	27		13	帝国軍空中艦隊駐屯地進入可
FLAGEDIT	000B76	19		9	メル=カヴァ進入可
FLAGEDIT	000B89	11		5	塔1進入可
FLAGEDIT	000B94	11		5	塔2進入可
FLAGEDIT	000B9F	11		5	ウル進入可
FLAGEDIT	000BAA	19		9	ウル地下遣跡進入可
FLAGEDIT	000BBD	15		7	ゾアの森進入可
FLAGEDIT	000BCC	19		9	シーカーの里進入可
FLAGEDIT	000BDF	31		15	キャンプ(シーカーの里)進入可
FLAGEDIT	000BFE	17		8	セストレン進入可
FLAGEDIT	000C0F	27		13	プレイヤーのマップ上の位置
FLAGEDIT	000C2A	35		17	渓谷地帯中ボス戦(ヘビムシの巣A)
FLAGEDIT	000C4D	35		17	渓谷地帯中ボス戦(ヘビムシの巣B)
FLAGEDIT	000C70	29		14	渓谷地帯ボス戦(ガケオコリ)
FLAGEDIT	000C8D	33		16	ガリル砂漠中ボス戦A(ズースー)
FLAGEDIT	000CAE	37		18	ガリル砂漠ボス戦(ハイシュ＆ハイガ)
FLAGEDIT	000CD3	33		16	禁止区域中ボス戦(クレイメン艦)
FLAGEDIT	000CF4	27		13	禁止区域ボス戦(AD＃1)
FLAGEDIT	000D0F	35		17	ゲオルギウス2中ボス戦(ヴァルナ)
FLAGEDIT	000D32	29		14	ゲオルギウス2ボス戦(GD)
FLAGEDIT	000D4F	15		7	ウル連続戦闘1
FLAGEDIT	000D5E	15		7	ウル連続戦闘2
FLAGEDIT	000D6D	15		7	ウル連続戦闘3
FLAGEDIT	000D7C	27		13	ウル中ボス戦(ヌリシンハ)
FLAGEDIT	000D97	23		11	ウルボス戦(AD＃2)
FLAGEDIT	000DAE	35		17	ウル地下遣跡中ボス戦(ミヤビレイ)
FLAGEDIT	000DD1	37		18	ウル地下遣跡ボス戦(ダイオウビレイ)
FLAGEDIT	000DF6	41		20	帝国軍空中艦隊駐屯地中ボス戦(ヴリトラ)
FLAGEDIT	000E1F	37		18	帝国軍空中艦隊駐屯地ボス戦(噴進弾)
FLAGEDIT	000E44	21		10	メル=カヴァ中ボス戦
FLAGEDIT	000E59	31		15	メル=カヴァボス戦(AD＃3)
FLAGEDIT	000E78	39		19	帝国軍空中艦隊中ボス戦(グリグオリグ)
FLAGEDIT	000E9F	31		15	帝国軍空中艦隊ボス戦(ソーマ)
FLAGEDIT	000EBE	23		11	塔1ボス戦(バリオー)
FLAGEDIT	000ED5	31		15	ゾアの森中ボス戦(マサーンA)
FLAGEDIT	000EF4	31		15	ゾアの森中ボス戦(マサーンB)
FLAGEDIT	000F13	31		15	ゾアの森中ボス戦(マサーンC)
FLAGEDIT	000F32	31		15	ゾアの森中ボス戦(マサーンD)
FLAGEDIT	000F51	31		15	ゾアの森中ボス戦(マサーンE)
FLAGEDIT	000F70	31		15	ゾアの森中ボス戦(マサーンF)
FLAGEDIT	000F8F	31		15	ゾアの森中ボス戦(マサーンG)
FLAGEDIT	000FAE	31		15	ゾアの森中ボス戦(マサーンH)
FLAGEDIT	000FCD	35		17	ゾアの森ボス戦(寄生グリグオリグ)
FLAGEDIT	000FF0	27		13	ウル地下ザコ戦(攻性生物)
FLAGEDIT	00100B	15		7	塔2中ボス戦A
FLAGEDIT	00101A	15		7	塔2中ボス戦B
FLAGEDIT	001029	31		15	セストレン中ボス戦(タイプ0)
FLAGEDIT	001048	31		15	セストレン中ボス戦(タイプ1)
FLAGEDIT	001067	31		15	セストレン中ボス戦(タイプ2)
FLAGEDIT	001086	31		15	セストレン中ボス戦(タイプ3)
FLAGEDIT	0010A5	31		15	セストレン中ボス戦(タイプ4)
FLAGEDIT	0010C4	35		17	セストレンボス戦(アンチドラゴン)
FLAGEDIT	0010E7	43		21	セストレンボス戦(アンチドラゴン最終形態)
FLAGEDIT	001112	21		10	ゾアの森中ボスA弱り
FLAGEDIT	001127	21		10	ゾアの森中ボスB弱り
FLAGEDIT	00113C	21		10	ゾアの森中ボスC弱り
FLAGEDIT	001151	21		10	ゾアの森中ボスD弱り
FLAGEDIT	001166	21		10	ゾアの森中ボスE弱り
FLAGEDIT	00117B	21		10	ゾアの森中ボスF弱り
FLAGEDIT	001190	21		10	ゾアの森中ボスG弱り
FLAGEDIT	0011A5	21		10	ゾアの森中ボスH弱り
FLAGEDIT	0011BA	7		3	銃入手
FLAGEDIT	0011C1	21		10	ドラゴン遣跡の鍵入手
FLAGEDIT	0011D6	9		4	地図入手
FLAGEDIT	0011DF	11		5	塔の総入手
FLAGEDIT	0011EA	19		9	シップパーツ？入手
FLAGEDIT	0011FD	21		10	エンジンユニット入手
FLAGEDIT	001212	21		10	プロテクトキー1入手
FLAGEDIT	001227	21		10	プロテクトキー2入手
FLAGEDIT	00123C	21		10	プロテクトキー3入手
FLAGEDIT	001251	17		8	大広間への鍵入手
FLAGEDIT	001262	21		10	神聖区への許可証入手
FLAGEDIT	001277	9		4	教会の鍵
FLAGEDIT	001280	25		12	クレイメンからの手紙入手
FLAGEDIT	001299	27		13	サーチライトカウントフラグ
FLAGEDIT	0012B4	19		9	ディスクチェンジ用
FLAGEDIT	0012C7	13		6	ゲームクリア
FLAGEDIT	0012D4	21		10	森での中ボスの説明用
FLAGEDIT	0012E9	21		10	コアのバリアの説明用
FLAGEDIT	0012FE	27		13	駐屯地、本読んでの台詞変化
FLAGEDIT	001319	31		15	ひみちゅのフラグbyMたかはC
FLAGEDIT	001338	21		10	ドラゴンに名前付けた
FLAGEDIT	00134D	35		17	プレイヤーのマップ上の位置(保存)
FLAGEDIT	001371	2		1	な
FLAGEDIT	001373	6		2	<01>\n<05>。？
FLAGEDIT	001379	2		1	に
FLAGEDIT	00137B	6		2	<01>\n<05>。ッ
FLAGEDIT	001381	2		1	ぬ
FLAGEDIT	001383	6		2	<01>\n<05>。ハ
FLAGEDIT	001389	2		1	ね
FLAGEDIT	00138B	6		2	<01>\n<05>。ン
MENUEN	001E04	9		4	通常攻撃
MENUEN	001E0D	9		4	特殊攻撃
MENUEN	001E16	9		4	攻撃方向
MENUEN	001E1F	5		2	無し
MENUEN	001E24	5		2	全長
MENUEN	001E29	5		2	全高
MENUEN	001E2E	5		2	全幅
MENUEN	001E33	7		3	総重量
MENUEN	001E3A	7		3	ダイン
MENUEN	001E41	7		3	経験値
MENUEN	001E48	13		6	所有アイテム
MENUEN	001E55	3		1	Ln
MENUEN	001E58	3		1	Kn
MENUEN	001E5B	3		1	Dn
MENUEN	001E5E	3		1	EXP
MENUEN	001E61	3		1	．
MENUEN	001E64	72		35	現在までに倒した攻性生物(純血種)\n旧世紀の姿と性能を今も維持している種
MENUEN	001EAC	72		35	現在までに倒した攻性生物(変異種)\n旧世紀の姿と性能を失い、野生化した種
MENUEN	001EF4	27		13	現在までに倒した帝国軍兵装
MENUEN	001F0F	35		17	現在までに倒したクレイメン艦隊兵装
MENUEN	001F32	17		8	各ドラゴンモデル
MENUEN	001F43	23		11	TOUGH FIGHT
MENUEN	001F5A	21		10	HARD FIGHT
MENUEN	001F6F	21		10	NICE FIGHT
MENUEN	001F84	21		10	VERY GOOD！
MENUEN	001F99	23		11	EXCELLENT！！
MENUEN	001FB0	7		3	  前
MENUEN	001FB7	7		3	  後
MENUEN	001FBE	7		3	 前後
MENUEN	001FC5	7		3	  左
MENUEN	001FCC	7		3	 前左
MENUEN	001FD3	7		3	 後左
MENUEN	001FDA	7		3	前後左
MENUEN	001FE1	7		3	  右
MENUEN	001FE8	7		3	 前右
MENUEN	001FEF	7		3	 後右
MENUEN	001FF6	7		3	前後右
MENUEN	001FFD	7		3	 左右
MENUEN	002004	7		3	前左右
MENUEN	00200B	7		3	後左右
MENUEN	002012	7		3	  全
MENUEN	002019	7		3	 可変
MENUEN	0028A0	5		4	…はりツ
MENUEN	0028A8	6		5	ななななな
MENUEN	0028B0	23		10	\n<05>ケ<14>\n<05>ケェ\n<05>コヨ\n<05>サシクルル
MENUEN	0028C7	105		50	渓谷地帯で戦った。\n背中を見せない限り襲って\nこないし、動きも遅い。\n油断さえしなければ確実に\n倒せる敵だ。
MENUEN	002930	7		3	碧の玉
MENUEN	002F98	7		3	ベモス
MENUEN	002F9F	178		85	渓谷地帯で戦った。\n尻尾の先にある袋の力で\n空を飛んでいるらしい。\n頭部は、衝撃を吸収する\n皮膚でおおわれているので\n攻撃を受けつけない。\nだが、知能の方は、あまり\n高くはないようだ。
MENUEN	003051	7		3	消化液
MENUEN	003058	5		2	触手
MENUEN	00305D	9		4	体当たり
MENUEN	003066	5		2	捕食
MENUEN	00306C	5		2	\n<05>ホッ
MENUEN	003073	6		2	<01>\n<05>ホカ
MENUEN	00307B	6		2	<01>\n<05>ホサ
MENUEN	003083	6		2	<0D>\n<05>ホト
MENUEN	003A5C	9		4	ズースー
MENUEN	003A65	184		88	砂の海を移動する島としか\n言いようのない奴だ。\n空中戦艦でもなければ、\nこいつと対等に戦うことは\nできないだろう。\nガッシュが倒し方を教えて\nくれなかったら、儀らも\nどうなっていたことか…。
MENUEN	003B1D	7		3	熱の息
MENUEN	003B24	11		5	灼熱の吐息
MENUEN	003B30	5		1	\n<05>ル<1D>
MENUEN	003B37	6		2	<10>\n<05>ルの
MENUEN	003F2C	19		9	ハイガ(防御形態)
MENUEN	003F3F	113		54	この形態は、両腕の機能が\n発達していて、弱点の頭を\nかばうような動きを見せて\nいた。攻撃も強力になって\nいたようだ。
MENUEN	003FB0	7		3	寄生虫
MENUEN	003FB7	5		2	ヤリ
MENUEN	003FBC	9		4	ヤリ乱射
MENUEN	005100	17		8	タム・バシレウス
