movie_no	movie	offset	bytes	text
0	EVT000_1	000000	17	エッジ、どうだ？
0	EVT000_1	000011	21	何もない、異状なしだ
0	EVT000_1	000026	23	こんなものか、実戦って
0	EVT000_1	00003D	21	気楽でいいな、子供は
0	EVT000_1	000052	23	ルーアは知ってるのか？
0	EVT000_1	000069	29	儀らがここで何を守ってるのか
0	EVT000_1	000086	11	どうして？
0	EVT000_1	000091	19	知りたくないのか？
0	EVT000_1	0000A4	11	ごめんだね
0	EVT000_1	0000AF	37	経験から言うと、帝国に首を突っ込むと
0	EVT000_1	0000D4	17	ろくなことがない
0	EVT000_1	0000E5	31	今だってろくなことなんてないさ
0	EVT000_1	000104	33	いいか、よけいなことに関わるなよ
0	EVT000_1	000125	19	それが俺達の鉄則だ
0	EVT000_1	000138	23	俺達は帝国軍に雇われて
0	EVT000_1	00014F	21	この発掘所を守ってる
0	EVT000_1	000164	11	それだけだ
0	EVT000_1	00016F	23	必要以上の詮索は無用、
0	EVT000_1	000186	19	死にたくないならな
0	EVT000_1	000199	13	ちくしょう！
0	EVT000_1	0001A6	23	中から現われやがった！
0	EVT000_1	0001BD	5	敵？
0	EVT000_1	0001C2	11	旧世紀の？
0	EVT000_1	0001CD	1	
0	EVT000_1	0001CE	1	
0	EVT000_1	0001CF	1	
1	EVT000_2	000290	31	栄華を誇った文明が滅んで数千年
1	EVT000_2	0002AF	27	かつての力を失った人類は、
1	EVT000_2	0002CA	33	自らが生み出した遣伝子改造による
1	EVT000_2	0002EB	23	生物兵器に斉かされつつ
1	EVT000_2	000302	25	黄昏の時代を過ごしていた
1	EVT000_2	00031B	31	だが、失われた文明の力を借りた
1	EVT000_2	00033A	25	（帝国）が出現した時から
1	EVT000_2	000353	21	再び時代は回り始めた
1	EVT000_2	000368	27	帝国の手によって発掘された
1	EVT000_2	000383	19	（旧世紀）の兵器は
1	EVT000_2	000396	19	人類の生存を斉かす
1	EVT000_2	0003A9	23	多数の巨大生物を撃退し
1	EVT000_2	0003C0	25	再びわれらの時代が来たと
1	EVT000_2	0003D9	17	人々を歓喜させた
1	EVT000_2	0003EA	23	しかし、力は欲望を生み
1	EVT000_2	000401	17	欲望は戦乱を生む
1	EVT000_2	000412	35	帝国と同じく旧世紀の力を手に入れた
1	EVT000_2	000435	19	周辺国家との戦争は
1	EVT000_2	000448	23	深刻化の一途をたどった
1	EVT000_2	00045F	21	自らの優勢を保つため
1	EVT000_2	000474	27	帝国は旧世紀の遣跡の発掘を
1	EVT000_2	00048F	19	強引に進める一方で
1	EVT000_2	0004A2	29	帝都に大規模な研究機関を設け
1	EVT000_2	0004BF	21	わずかずつではあるが
1	EVT000_2	0004D4	31	古の時代の謎に迫ろうとしていた
1	EVT000_2	0004F3	33	目的地4番発掘所まで、あと30分
1	EVT000_2	000514	37	帝都の作戦も順調に進行中です…しかし
1	EVT000_2	000539	1	
1	EVT000_2	00053A	31	あれを皇帝に渡すわけにはいかん
1	EVT000_2	000559	33	アーウェン、反逆の時は今しかない
1	EVT000_2	00057A	21	4番発掘所より入電！
1	EVT000_2	00058F	35	われ、攻性生物と遭遇…救助信号です
1	EVT000_2	0005B2	1	
1	EVT000_2	0005B3	13	ちょうどいい
1	EVT000_2	0005C0	33	向こうから呼んでくれているようだ
