off	jp	bytes	room	ko
00C8D8	ｳﾞｧﾄﾞﾁｯﾌﾟ	10	12	VADOCHIP
00C8E4	ｳﾞｧﾃﾞﾑﾁｯﾌﾟ	11	12	VADEMCHP
00C8F0	ｳﾞｧﾀﾞｽﾞﾑﾁｯﾌﾟ	13	16	VADAZMCH
00C900	ﾌﾗｯｼｭ	6	8	FLASH
00C908	ﾌﾞﾙｰｸﾞﾗｽ	9	12	ELIXIR-S
00C914	ﾌﾞﾙｰﾏﾅ	7	8	BLUMANA
00C91C	ﾁｯﾌﾟ	5	8	CHIP
00C924	ｵｲﾙﾀﾌﾞﾚｯﾄ	10	12	OILTABLT
00C930	ｼｪﾙﾌﾟﾚｰﾄ	9	12	SHELLPLT
00C93C	ﾚﾝｽﾞ	5	8	LENS
00C944	ﾘｱｸﾀｰ	6	8	REACTOR
00C94C	ｲﾝｽﾋﾟﾚｰﾀｰ	10	12	INSPIRTR
00C958	ｼﾞｬﾝｸﾌｧﾝ	9	12	JUNKFAN
00C964	ｼﾞｬﾝｸﾃﾞｨｸﾞ	11	12	JUNKDIG
00C970	ｼﾞｪﾑｽﾄｰﾝ	9	12	GEMSTONE
00C97C	ｸｰﾘｱｽﾞﾀﾞﾝ	10	12	KURIAZDN
00C988	ｶﾞﾗ	4	4	GRA
00C98C	ﾊﾇﾏﾝｼｪﾙ	8	8	HANUSHL
00C994	ﾊﾇﾏﾝﾌｧﾝｸﾞ	10	12	HANUMFNG
00C9A0	ﾊﾇﾏﾝﾃｲﾙ	8	8	HANUTAL
00C9A8	ﾊﾇﾏﾝﾎﾟｯﾄﾞ	10	12	HANUMPOD
00C9B4	ｼﾞｬﾝｸｽﾞｯｸ	10	12	JUNKZUKK
00C9C0	ｻﾞｱﾙﾅｯﾂ	8	8	ZAALNUT
00C9C8	ﾗﾝﾌﾟｵｲﾙ	8	8	LAMPOIL
00C9D0	ｼﾞｪﾑﾚﾝｽﾞ	9	12	GEMLENS
00C9DC	ｸﾞﾚｲｽﾘﾝｸﾞ	10	12	GRACERNG
00C9E8	ｿﾞｱﾊｰﾍﾞｽﾄ	10	12	ZOAHHARV
00C9F4	ﾏｸﾗﾙﾘｷｯﾄﾞ	10	12	MACRALLQ
00CA00	ﾏｸﾗﾝｼｪﾙ	8	8	MACRLSH
00CA08	ﾏｸﾗﾝﾐｰﾄ	8	8	MACRMET
00CA10	ﾘｷｭｱｱｰﾏｰ	9	12	LIQURARM
00CA1C	ﾘｷｭｱﾝｱｲｽﾞ	10	12	LIQUREYE
00CA28	ﾘｷｭｱﾕﾆｯﾄ	9	12	LIQURUNT
00CA34	ｼﾞｬﾝｸﾊﾟｰﾂ	10	12	JUNKPART
00CA40	ｼﾞｬﾝｸｼｰﾙﾄﾞ	11	12	JUNKSHLD
00CA4C	ｼﾞｬﾝｸｴﾝｼﾞﾝ	11	12	JUNKENGN
00CA58	ﾏｸﾗﾝｼﾞｭｴﾙ	10	12	MACRANJW
00CA64	ｲｴﾛｰｸﾞﾗｽ	9	12	ELIXIR-M
00CA70	ﾚｯﾄﾞｸﾞﾗｽ	9	12	ELIXIR-L
