jp	ko
話をやめる	이야기 그만
)	)
帝国の話	제국 이야기
シーカーの話	시커 이야기
ジューバの店への道	주바의 가게로 가는 길
ゾアの街の話	조아 마을 이야기
やめる	그만둔다
ドラゴンの話	드래곤 이야기
る	る
バイマンの家への道	바이만의 집 가는 길
教会への道	교회 길
機械置き場への道	기계 창고로 가는 길
通路への道	통로 길
酒場の話	술집 이야기
開放区の話	개방구 이야기
レーザー	레이저
攻性生物の話	공성생물 이야기
旧世紀の話	구세기 이야기
(扉は閉ざされている…)	(문이 굳게 닫혀 있다…)
アゼルの話	아젤 이야기
反撃	반격
「護り火」の話	「수호의 불씨」이야기
『絶対の客人』の話	『절대의 손님』이야기
ウルの話	울 이야기
ガッシュの話	가슈 이야기
トビタマの話	토비타마 이야기
パエットの居場所	파에트의 행방
司祭の話	사제 이야기
神聖区の話	신성구 이야기
外に出る	나간다
中に入る	들어간다
………	………
ドラゴンのタイプをセレクト	드래곤 타입을 선택
バーサークのリストを表示	버서크 목록을 표시
攻撃する敵がいない	공격할 적이 없다
機銃	기총
すでに行なっている	이미 하고 있다
アイテムのリストを表示	아이템 목록을 표시
アイテムを持っていない	아이템이 없다
エスケープ	이스케이프
クチカラボム	구치카라폭탄
サンダーレーザー	선더 레이저
シールド	실드
スタンガン	스턴건
スタンレーザー	스턴 레이저
スピード	스피드
ドラゴンリキッド	드래곤 리퀴드
バリアー	배리어
バルカン	발칸
バーサクアンプル	버서크 앰플
バーサークを覚えていない	버서크를 익히지 않았다
バーサークポイントが足りない	버서크 포인트가 부족하다
バーサークポイントは最大値	버서크 포인트는 최대치
バーティカル	버티컬
パーツを持っていない	파츠가 없다
ヒットポイントは最大値	히트 포인트는 최대치
ホーミングレーザーによる攻撃	호밍 레이저에 의한 공격
ランナウェイ	런어웨이
リカバーグラス	리커버 글라스
リカバーレーザー	리커버 레이저
使用不可能	사용 불가
移動以外のドラゴンの行動不能状態	이동 외의 드래곤 행동 불능
行動ゲージが足りない	행동 게이지 부족
銃による攻撃	총 공격
銃のカスタマイズ	총 커스터마이즈
？？？	？？？
き	き
<01> 	<01> 
…	…
な	な
セストレンの話	세스트렌 이야기
塔の話	탑 얘
LnKnDn	LnKnDn
エッジは、キャラバンとの住人との\n会話から「ゾア」と呼ばれる街の\n存在を知る。\n大きな街ならば、クレイメン艦隊に\n関する手がかりがつかめるかも\nしれない。\n \n(未完成・将来セリフ組み込み予定)\n	엣지는 카라반 주민과의\n대화에서 「조아」라 불리는\n마을의 존재를 알게 된다.큰\n마을이라면 크레이멘 함대에\n관한 단서를 잡을 수 있을지도\n모른다.(미완성・향후 대사\n삽입 예정)
売却可能な所持品を売る	가진 물건을 판다
店で売っている物を買う	가게 물건을 산다
店で売っている銃のパーツを買う	가게 총 부품을 산다
手持ちの銃のパーツを売る	가진 총 부품을 판다
購入／売却の切り替え	구입／판매 전환
キャラバンのリーダーに会ったエッジ。\nリーダーから、エッジが追っている帝国の\n艦隊(クレイメン艦隊)は禁止区域\n(ゲオルギウス)へと向かったのでは\nないかとの話を聞く。\n \n(未完成・将来デモイベント表示予定)\n	카라반 리더를 만난 엣지.\n리더로부터,엣지가 쫓고 있는 제국의\n함대(크레이멘 함대)는 금지구역\n(게오르기우스)으로 향한 것이\n아닐까 하는 이야기를 듣는다.\n \n(미완성・향후 데모로 표시 예정)\n
グリグオリグの話	그리그오리그 이야기
ドローンの話	드론 이야기
