id	kind	count	budget	chars	jp	ko
3957	movie	1	35	17	なんで追わなきゃならないんです！？	왜 쫓아가야 하는 거예요!?
3958	dialog	1	29	14	なんとかこいつを止めないと…	어떻게든 이놈을 막아야…
3959	dialog	1	25	12	なんとか飛んでくれそうだ	어떻게든 날아줄 듯하다
3960	dialog	1	37	18	なんと言われても、取り引きはできんよ	뭐라 해도 거래는 못 해
3961	movie	1	33	16	なんと言われようと人間はあがく…	뭐라 하든 인간은 발버둥친다…
3962	dialog	1	4	2	な？	그치
3963	dialog	1	4	2	に…	에…
3964	dialog	1	27	13	にいちゃん、知らないかい？	형씨,모르나?
3965	dialog	1	37	18	にいちゃんが薬をくれたって、ほんと？	형이 약을 줬다는 거,진짜야?
3966	dialog	1	12	6	に会ったら…	만나면…
3967	dialog	1	94	45	に分けられる。\nレベルアップ時の能力の上がり方や\nバーサークの覚え方は\nタイプによって変化する。	로 나뉜다.\n레벨업 시 능력치 상승 방식이나\n버서크 습득 방식은\n타입에 따라 달라진다.
3968	dialog	1	12	6	に持っている	를 갖고 있다
3969	dialog	1	17	8	に関する報告…』	에 관한 보고…』
3970	ui	1	2	1	ぬ	ぬ
3971	dialog	1	27	13	ねえ、ドラゴンって何なの？	저기,드래곤이 뭔데?
3972	dialog	1	11	5	の1号機よ	의 1호기야
3973	dialog	1	11	5	の2号機よ	의 2호기야
3974	dialog	1	11	5	の3号機よ	의 3호기야
3975	dialog	1	11	5	の4号機よ	의 4호기야
3976	dialog	1	9	4	の5号機	의 5호기
3977	dialog	1	11	5	の6号機よ	의 6호기야
3978	dialog	1	68	32	の\nバーサークは、\n各タイプに1種ずつ存在する\n専用バーサークである。	의\n버서크는,\n각 타입에 1종씩 존재하는\n전용 버서크다.
3979	dialog	1	7	3	の…』	의…』
3980	dialog	1	7	3	の、…	어,…
3981	dialog	1	17	8	のどこかにあるわ	어딘가에 있어
3982	dialog	1	4	2	のは	건
3983	dialog	1	20	10	の子の薬が作れるぞ！	그 아이 약을 만든다!
3984	dialog	1	19	9	の守護を最優先せよ	수호를 최우선으로 하라
3985	dialog	1	27	13	の封印が強制解除されました	봉인이 강제 해제됐습니다
3986	dialog	1	8	4	の目」…	의 눈」…
3987	dialog	1	10	5	の通り道さ	지나는길
3988	dialog	1	13	6	の開発を…』	개발을…』
3989	dialog	1	41	19	は\n1ゲージを消費することで\n発射できる。	는\n1게이지를 쓰면\n발사할 수 있다.
3990	dialog	1	72	34	は\n1ゲージを消費することで\n発射できる。\nこの銃は、敵を狙い撃ちできる。	는\n1게이지를 쓰면\n발사할 수 있다.\n이 총은 적을 노려 쏜다.
3991	dialog	1	60	28	は\nその種類によって\n必要なゲージ数が\n1〜3ゲージと異なる。	는\n종류에 따라\n필요 게이지 수가\n1~3게이지로 다르다.
3992	dialog	1	4	2	は…	는…
3993	dialog	1	21	10	はい、これあげるね！	자,이거 줄게!
3995	movie	1	11	5	はじめるわ	시작할게
3996	movie	1	5	2	はっ	핫
3997	dialog	1	6	3	はね…	은…
3998	dialog	1	20	10	は一生懸命なんだな)	은 정말 열심이구나)
3999	movie	1	9	4	ひ、人？	사,사람?
4000	movie	1	15	7	ひさしぶりだな	오랜만이군
