jp	kind	budget	count	modules
ゆ)？<08>セ<0E>れ<0C>らェアアぬらアイ<12>よアウュひ	dialog	23	26	BTL_A3,BTL_A3_2,BTL_A5,BTL_A5_2,BTL_A5_3,BTL_A7,BTL_A7_2,BTL_B2,BTL_B5,BTL_B5_2,BTL_B5_3,BTL_B6,BTL_B6_2,BTL_C2,BTL_C2_2,BTL_C4,BTL_C5,BTL_C5_2,BTL_C8,BTL_C8_2,BTL_D2,BTL_D2_2,BTL_D4,BTL_D5,BTL_T0,BTL_X0
(お礼に何かあげた方がいいかな)	narration	33	7	TWN_CARA
ガリル砂漠で、ハイガを\n倒した時に変化した姿。\nこの時から、身体を自由に\n変形できるようになった。	ui	96	5	MENUEN
ゲオルギウスで目覚めた\n巨大なドラゴンを倒した\n時に変化した姿。\n翼のしま模様が美しい。	ui	86	5	MENUEN
タム・バシレウスを倒した\n時に変化した姿。\n甲殻におおわれた部分が\n増えている。	ui	78	5	MENUEN
アトルムドラゴンを倒した\n時に変化した姿。\n翼の内側に、目のような\n模様ができている。	ui	84	5	MENUEN
攻性生物に寄生された\nグリグオリグを倒した時に\n変化した姿。\n少しずつ、人の姿に\n近づいてきているような\n気がする。	ui	112	5	MENUEN
<02><01>エ」。なカむキむク…はるツむはるツむはるツ	dialog	24	4	BTL_B5,BTL_C5,BTL_C5_2,BTL_C8_2
グレイスリングをあげる	dialog	23	4	TWN_CARA
ジェムレンズをあげる	dialog	21	4	TWN_CARA
ザアルナッツをあげる	dialog	21	4	TWN_CARA
(ゾアで道具屋をやっていたヤレドだ…)	narration	39	4	TWN_SEEK
(ここでの肩書きは「調整士」らしい)	narration	37	4	TWN_SEEK
(発掘品の加工をしている)	narration	27	4	TWN_SEEK
ゲオルギウスで戦ったと\nいうドラゴンも、これと\n似た姿をしていたらしい。\nこれが<01><01>の\n本当の姿なのだろうか。	ui	105	3	MENUEN
すいません、仕事があるので…	dialog	29	3	TWN_CARA
…お話なら、母に聞いてください…	dialog	33	3	TWN_CARA
(何か手仕事をしているようだ)	narration	31	3	TWN_CARA
まだ、こんな土地が残ってたんですね…	dialog	37	3	TWN_CARA
ョー」アアなアイーーイな＋ウイイュャ	dialog	19	2	1ST_READ
トゥプナック	dialog	13	2	BTL_B5_3,MENUEN
チアりハセ。ホ<0E>？	dialog	10	2	FLD_C4
ウルの地下遣跡で戦った。\nふ化したタルメランは、\n短時間でタルバーニへと\n羽化する。同時に攻撃力も\n上がってしまうので、\nその前に倒しておきたい。	ui	142	2	MENUEN
ウルの地下遣跡で戦った。\nふ化したデルメランは、\n短時間でデルバーニへと\n羽化する。\nまた、仲間の成長を早める\n能力もあるので、群れで\n現れた時には、先に倒して\nおいた方がいい。	ui	172	2	MENUEN
帝国軍の中でも、特殊な\n任務につく部隊が使用する\n船だ。3方向に攻撃できる\n6連装誘導爆雷を積んで\nいる。\n爆雷点火から発射までには\n時間がかかるので、その\n間に爆雷を撃ち落とせば\n痛い目にあわずにすむ。	ui	197	2	MENUEN
帝国軍の空中騎兵連隊が\n使っている戦闘機。\n運動性と引きかえに装甲が\n薄くなっていて、攻撃を\n受ければ、あっという間に\n墜落してしまう。\nしかし、腕のいい操縦士が\n扱えば、光の矢をかわす\nこともできる。	ui	195	2	MENUEN
旧式艦を改良したもの。\nエンジンの出力が弱く、\n火炎噴射砲しか積むことが\nできなかったらしいが、\n装甲には、最近発掘された\n素材を使っているようだ。	ui	144	2	MENUEN
昔、帝都に現れたという\nドラゴンも、これと同じ\n姿をしていたらしい。\nこれが<01><01>の\n本当の姿なのだろうか。	ui	101	2	MENUEN
ごめんなさい…	dialog	15	2	TWN_CARA
よその人とお話したこと、なくって…	dialog	35	2	TWN_CARA
私、生まれた村から出たことがなくって…	dialog	39	2	TWN_CARA
旅に出てから、ずっと心細かったんです	dialog	37	2	TWN_CARA
まだ若いのに、ひとり旅かい？	dialog	29	2	TWN_CARA
大変だねえ…	dialog	13	2	TWN_CARA
あんた、珍しい品物持ってないかい？	dialog	35	2	TWN_CARA
あったら、うちのひとに見せてやっとくれ	dialog	39	2	TWN_CARA
ねえ、お母さん…	dialog	17	2	TWN_CARA
ひとり旅って、どんな感じかな？	dialog	31	2	TWN_CARA
変な事聞く子だねえ	dialog	19	2	TWN_CARA
どうかしたのかい？	dialog	19	2	TWN_CARA
別に…	dialog	7	2	TWN_CARA
ただ、なんとなく…	dialog	19	2	TWN_CARA
ほんとに、ありがとうよ	dialog	23	2	TWN_CARA
エンカクの薬だけどさ	dialog	21	2	TWN_CARA
うちのひとが作ってくれたんだよ	dialog	31	2	TWN_CARA
あんな道楽も、たまには役に立つんだねえ	dialog	39	2	TWN_CARA
(よかった…元気になったらしい)	narration	33	2	TWN_CARA
(なんとなく元気がないようだ)	narration	31	2	TWN_CARA
あの子、すっかり元気になっただろ？	dialog	35	2	TWN_CARA
だって…	dialog	9	2	TWN_CARA
わからん…今、資料庫を調べてるところだ	dialog	39	2	TWN_SEEK
昔の記録に、手がかりがあるかもしれない	dialog	39	2	TWN_SEEK
彼女も、旧世紀の産物だからな	dialog	29	2	TWN_SEEK
アゼル…どうして…	dialog	19	2	TWN_SEEK
彼女は、塔を開く唯一の鍵だ	dialog	27	2	TWN_SEEK
俺達が塔に行きたがってるのを知っていた	dialog	39	2	TWN_SEEK
彼女にとって、あそこは…	dialog	25	2	TWN_SEEK
クレイメンが死んだ場所だよ	dialog	27	2	TWN_SEEK
そいつはわかってるんだが…	dialog	27	2	TWN_SEEK
ちょっとばかり、話を急ぎすぎたかなあ	dialog	37	2	TWN_SEEK
とにかく、儀はアゼルを探してみる	dialog	33	2	TWN_SEEK
ああ、おまえにまかせるよ	dialog	25	2	TWN_SEEK
すみませんでした…お役に立てなくて	dialog	35	2	TWN_SEEK
俺…足をやられたんです	dialog	23	2	TWN_SEEK
もう、戦えないかもしれない…	dialog	29	2	TWN_SEEK
ごめん…	dialog	9	2	TWN_SEEK
俺、結局足手まといだったね…	dialog	29	2	TWN_SEEK
初陣とはそういうものだ	dialog	23	2	TWN_SEEK
気にする事はない	dialog	17	2	TWN_SEEK
 はい いいえ	dialog	15	1	1ST_READ
※\n<04>わるョミヌフメトな」ミミヘミにに	dialog	21	1	1ST_READ
ョミヌフメトな」ミミヘミにに	dialog	15	1	1ST_READ
ゆよらりるれろわをんソタチツテト	dialog	17	1	1ST_READ
はりツ	dialog	4	1	BTL_C5_2
りむ。<08>ーッマ<08>チ』り<1C>ねぬソ。アエマ<08>タり。	dialog	24	1	FLD_C4
りむ。<08>ーーチ』り<1C>ソ。<13>にマ<08>アエタり。	dialog	22	1	FLD_C4
りむ。<08>チ』り<1C>ーア	dialog	11	1	FLD_C4
チチりコセ。ホ<0E>？	dialog	10	1	FLD_C4
なはゆをカなはゆをカなはゆをカ	dialog	16	1	FLD_D2
なはゆをカなはゆをカな	dialog	12	1	FLD_D2
少年、エッジの心に宿りし者よ	dialog	29	1	FLD_D5
おまえの本当の名前を示せ…	dialog	27	1	FLD_D5
で間違いないか？	dialog	17	1	FLD_D5
間違いない	dialog	11	1	FLD_D5
いや違う	dialog	9	1	FLD_D5
クルル(上位体)	ui	17	1	MENUEN
渓谷地帯で戦った。\n体力を回復する力を持つ\n厄介な敵だ。\n仲間の体力も回復して\nしまうので、群れの中に\nこいつがいる時は、\n狙いをつけて先に倒した\n方がいい。	ui	152	1	MENUEN
渓谷地帯で戦った。\nこちらを追うようにして\n向きを変えてくるが、回り\n込んで危険方向をさければ\n無傷で倒せる相手だ。\nただし、複数いる場合は、\nそれぞれの向きに注意する\n必要がある。	ui	176	1	MENUEN
渓谷地帯で戦った。\nメラコラとの違いは、頭の\n飾りと特殊攻撃だ。\nたくさんの針を集中して\n撃ってくるので危険だが、\n前に回り込んで、針を出す\n□を攻撃すれば、大きな\nダメージを与えることが\nできる。	ui	191	1	MENUEN
渓谷地帯で戦った。\n2匹が一緒に行動している\nことが多い。\n後ろに回り込めば安全だが\n動きがすばやいのでかなり\n難しい。逆に回り込まれて\n大アゴに襲われないように\n気をつける必要がある。	ui	180	1	MENUEN
渓谷地帯で戦った。\n発掘所のどこかにいると\n噂されていた奴だ。確実に\n弱点を狙っていかないと、\n長期戦になるだろう。\nシャプリの幼体が際限なく\n出てくるのも厄介だ。	ui	159	1	MENUEN
ガリル砂漠で戦った。\n常に群れで行動している。\nこういう奴らは群れ全体が\n1匹の生物だと考えた方が\nいい。1体倒したところで\nその攻撃力はほとんど\n弱まらない。群れを率いて\nいる個体を倒すのが、一番\n確実な方法だろう。	ui	211	1	MENUEN
トゥプ(上位体)	ui	17	1	MENUEN
