id	mod	budget	jp
339	EVT008,FLD_A5,TWN_SEEK,TWN_ZOAH	7	そうだ
527	EVT000_4,EVT008	7	隊長！
803	EVT008,FLD_C8	9	それに、
888	MENUEN	158	アゼルが乗るアトルムの\n最終形態。\n巨大な雷撃兵器を装備して\n襲ってきたが、どうにか\n倒すことができた。\n彼女の唯一のパートナーを\n尋うことになって\nしまったが…。
965	MENUEN	174	ヴァルナ級が採用される\nまでは主力戦艦だったが、\n今ではほとんどが廃艦に\nなっているらしい。\nしかし、兵装だけは今の\nものに替えられているので\n火力だけならヴァルナ級に\n匹敵する。
1144	MENUEN	7	  全
1145	MENUEN	7	  前
1146	MENUEN	7	  右
1147	MENUEN	7	  左
1148	MENUEN	7	  後
1149	MENUEN	7	 前右
1150	MENUEN	7	 前左
1151	MENUEN	7	 前後
1152	MENUEN	7	 可変
1153	MENUEN	7	 左右
1154	MENUEN	7	 後右
1155	MENUEN	7	 後左
2171	MENUEN	6	<01>\n<05>ホカ
2172	MENUEN	6	<01>\n<05>ホサ
2255	MENUEN	6	<0D>\n<05>ホト
2275	MENUEN	6	<10>\n<05>ルの
2313	WORLD	16	BOX<05>GAME
2314	MENUEN	13	B・レーザー
2315	MENUEN	3	Dn
2316	MENUEN	23	EXCELLENT！！
2317	WORLD	9	EXIT
2318	MENUEN	3	EXP
2319	MENUEN	21	HARD FIGHT
2320	MENUEN	3	Kn
2321	MENUEN	3	Ln
2322	MENUEN	21	NICE FIGHT
2325	MENUEN	23	TOUGH FIGHT
2326	MENUEN	21	VERY GOOD！
2341	MENUEN	23	\n<05>ケ<14>\n<05>ケェ\n<05>コヨ\n<05>サシクルル
2344	MENUEN	5	\n<05>ホッ
2345	MENUEN	5	\n<05>ル<1D>
2400	EVT008	11	…くそっ…
2444	MENUEN	5	…はりツ
2461	EVT008	17	…クレイメンめ…
2656	MENUEN	134	『塔』の中部層を守って\nいたガーディアン。2体が\n一緒になって襲ってきた。\nというより、2体まとめて\nひとつの個体だったのかも\nしれない。
2789	EVT008	29	あの男…クレイメン達を追え…
2792	EVT008	27	あの発掘物を尋回する以外、
2902	WORLD	15	いにしえの峡谷
2967	EVT008	21	おそらくは…奴が……
2992	EVT008	31	おまえの生きのびる方法はない…
3050	MENUEN	134	こいつとは、ウルで再び\n戦うことになったが、この\n時も決着をつけることは\nできなかった。\n出会うたびに、新しい力を\n身につけているようだ。
3081	WORLD	23	ここにはもう用はない…
3114	EVT008	33	ここを見れば、帝国は俺達を疑う…
3154	MENUEN	113	この形態は、両腕の機能が\n発達していて、弱点の頭を\nかばうような動きを見せて\nいた。攻撃も強力になって\nいたようだ。
3779	MENUEN	6	ななななな
3836	EVT008	35	なんで追わなきゃならないんです！？
4173	MENUEN	19	アトルムドラゴン1
4174	MENUEN	19	アトルムドラゴン2
4175	MENUEN	19	アトルムドラゴン3
4176	MENUEN	19	アトルムドラゴン4
4185	MENUEN	15	アンチレーザー
4306	MENUEN	21	ガーディアンドラゴン
4354	MENUEN	172	クレイメン艦隊の旗艦。\nだが、禁止区域で戦った\n時には、クレイメンは艦を\n離れており、かわりに\n副官のアーウェンが指揮を\nとっていた。\n帝国軍を引きつけるための\n囮だったらしい。
4356	WORLD	23	クレイメン艦隊進軍状況
4360	EVT008	15	クレイメン！？
4410	WORLD	23	シーカーの里・キャンプ
4438	MENUEN	127	セストレンで戦った。\nなぜ、<01><01>と\n同じ姿なんだ？ 旧世紀の\n意志を守る敵の、真の姿が\nこれだというのか？\nだとすれば、儀の\n<01><01>は…？
4512	MENUEN	7	ダイン
4593	MENUEN	11	ヌリシンハ
4595	MENUEN	19	ハイガ(防御形態)
4689	MENUEN	131	メル=カヴァの内部で、\nバリスタを守るバリアを制御していた装置。\n中心部にある弱点は、\nレーザーを吸収する盾と\n装甲で防御されていた。
4701	WORLD	9	ラギ牧場
4749	MENUEN	146	ヴァルナ級空中戦艦の\n標準型。帝国領の外へ遠征\nするため、攻性生物をマヒ\nさせる特殊な弾薬を積んで\nいる。これを使われると、\n戦闘が長びくので不利だ。
5076	MENUEN	5	全幅
5079	MENUEN	5	全長
5080	MENUEN	5	全高
5116	MENUEN	7	前左右
5117	MENUEN	7	前後右
5118	MENUEN	7	前後左
5173	MENUEN	17	各ドラゴンモデル
5262	MENUEN	124	地下の施設の封印を\n解除したときに復活した\nウルのガーディアン。\n分離や合体をしながら、\n雷を使った様々な攻撃を\nしかけてきた。
5305	MENUEN	115	塔の最上層で襲ってきた。\n空中機雷や対空誘導弾など\n驚くほどたくさんの武器を\n持っていたが、こいつは\nただの囮だった。
5388	EVT008	35	奴らは谷にそって…北へ向かってる…
5409	MENUEN	119	対攻性生物用の攻撃機。\n攻撃力や防御力を下げる\n特殊な弾を撃ってくるが、\n強力な武器を積むために\n耐久力を犠牲にしている。
5410	MENUEN	163	対攻性生物用の攻撃機。\n神経弾や対攻性生物弾を\n積んでいる。護衛機を\n従えていることも多い。\nこちらの動きを追って砲を\n向けてくるが、落ち着いて\n逃げれば大丈夫だろう。
5459	MENUEN	182	帝国の基地を守っていた\n初めて見る型の戦艦。\n帝国軍では、特殊な武器や\nエンジンが発掘されると、\nそれに合わせた試作艦が\n作られると聞いたことが\nある。たぶん、この艦も\nそのひとつだろう。
5462	EVT008	17	帝国の特務部隊…
5473	MENUEN	109	帝国軍がゲオルギウスで\n発掘していたドラゴンが\nよみがえった姿。\n旧世紀の船を守るのが、\nその使命だったらしい。
5490	MENUEN	144	帝国軍旗艦グリグオリグに\n攻性生物がとりついた姿。\n皇帝砲はまだ生きていたが\n人間が操っているわけでは\nなく、ただやみくもに\n撃っているだけだった。
5498	WORLD	19	帝国軍艦隊進軍状況
5557	MENUEN	7	後左右
5648	MENUEN	13	所有アイテム
5723	MENUEN	9	攻撃方向
5738	MENUEN	161	数種の攻性生物が共生する\n群体のような奴だ。\nわれを忘れて、地上まで\n追って来たところを見ると\n地下にいた攻性生物たちの\n産みの親のような存在\nだったのかもしれない。
5814	EVT008	11	早く行け！
5830	MENUEN	135	最後に戦った相手だ。\nそのおぞましい姿の中には\n確かに、ドラゴンの収まる\n座がある。\n儀の<01><01>が\nいるべき本当の場所は、\nあそこなのだろうか。
5857	EVT008	25	本物の帝国軍が来る前に…
5961	MENUEN	178	渓谷地帯で戦った。\n尻尾の先にある袋の力で\n空を飛んでいるらしい。\n頭部は、衝撃を吸収する\n皮膚でおおわれているので\n攻撃を受けつけない。\nだが、知能の方は、あまり\n高くはないようだ。
5962	MENUEN	105	渓谷地帯で戦った。\n背中を見せない限り襲って\nこないし、動きも遅い。\n油断さえしなければ確実に\n倒せる敵だ。
5980	MENUEN	5	無し
5997	MENUEN	17	物理攻撃構造体1
5998	MENUEN	17	物理攻撃構造体2
6006	MENUEN	9	特殊攻撃
6012	MENUEN	35	現在までに倒したクレイメン艦隊兵装
6013	MENUEN	27	現在までに倒した帝国軍兵装
6014	MENUEN	72	現在までに倒した攻性生物(変異種)\n旧世紀の姿と性能を失い、野生化した種
6015	MENUEN	72	現在までに倒した攻性生物(純血種)\n旧世紀の姿と性能を今も維持している種
6022	EVT008	27	生きてたのか…よく無事で…
6090	MENUEN	5	眼光
6097	MENUEN	184	砂の海を移動する島としか\n言いようのない奴だ。\n空中戦艦でもなければ、\nこいつと対等に戦うことは\nできないだろう。\nガッシュが倒し方を教えて\nくれなかったら、儀らも\nどうなっていたことか…。
6152	MENUEN	134	禁止区域で戦った。\nこのドラゴンも、伝説と\n同じく、敵を追う光の矢を\n武器にしている。一度に\n数十本もの光の矢を放つ\n攻撃が、特に危険だ。
6233	MENUEN	7	経験値
6255	MENUEN	7	総重量
6270	EVT008	19	胸の…ポケット……
6288	MENUEN	15	自走砲ランカー
6388	EVT008	25	誰なんです、そいつは！？
6432	MENUEN	9	通常攻撃
6535	EVT008	15	隊長、これは…
6540	EVT008	9	隊長！！
6541	EVT008	7	隊長？
6546	MENUEN	5	雷撃
6547	MENUEN	9	雷雲招集
6589	EVT008	39	黒い艦隊を率いる男の話を聞いた事がある
6592	MENUEN	3	．
