id	kind	budget	jp
6319	ui	184	砂の海を移動する島としか\n言いようのない奴だ。\n空中戦艦でもなければ、\nこいつと対等に戦うことは\nできないだろう。\nガッシュが倒し方を教えて\nくれなかったら、儀らも\nどうなっていたことか…。
5640	ui	182	帝国の基地を守っていた\n初めて見る型の戦艦。\n帝国軍では、特殊な武器や\nエンジンが発掘されると、\nそれに合わせた試作艦が\n作られると聞いたことが\nある。たぶん、この艦も\nそのひとつだろう。
6179	ui	178	渓谷地帯で戦った。\n尻尾の先にある袋の力で\n空を飛んでいるらしい。\n頭部は、衝撃を吸収する\n皮膚でおおわれているので\n攻撃を受けつけない。\nだが、知能の方は、あまり\n高くはないようだ。
967	ui	174	ヴァルナ級が採用される\nまでは主力戦艦だったが、\n今ではほとんどが廃艦に\nなっているらしい。\nしかし、兵装だけは今の\nものに替えられているので\n火力だけならヴァルナ級に\n匹敵する。
4449	ui	172	クレイメン艦隊の旗艦。\nだが、禁止区域で戦った\n時には、クレイメンは艦を\n離れており、かわりに\n副官のアーウェンが指揮を\nとっていた。\n帝国軍を引きつけるための\n囮だったらしい。
5591	ui	163	対攻性生物用の攻撃機。\n神経弾や対攻性生物弾を\n積んでいる。護衛機を\n従えていることも多い。\nこちらの動きを追って砲を\n向けてくるが、落ち着いて\n逃げれば大丈夫だろう。
5943	ui	161	数種の攻性生物が共生する\n群体のような奴だ。\nわれを忘れて、地上まで\n追って来たところを見ると\n地下にいた攻性生物たちの\n産みの親のような存在\nだったのかもしれない。
890	ui	158	アゼルが乗るアトルムの\n最終形態。\n巨大な雷撃兵器を装備して\n襲ってきたが、どうにか\n倒すことができた。\n彼女の唯一のパートナーを\n尋うことになって\nしまったが…。
4889	ui	146	ヴァルナ級空中戦艦の\n標準型。帝国領の外へ遠征\nするため、攻性生物をマヒ\nさせる特殊な弾薬を積んで\nいる。これを使われると、\n戦闘が長びくので不利だ。
5675	ui	144	帝国軍旗艦グリグオリグに\n攻性生物がとりついた姿。\n皇帝砲はまだ生きていたが\n人間が操っているわけでは\nなく、ただやみくもに\n撃っているだけだった。
6046	ui	135	最後に戦った相手だ。\nそのおぞましい姿の中には\n確かに、ドラゴンの収まる\n座がある。\n儀の<01><01>が\nいるべき本当の場所は、\nあそこなのだろうか。
3090	ui	134	こいつとは、ウルで再び\n戦うことになったが、この\n時も決着をつけることは\nできなかった。\n出会うたびに、新しい力を\n身につけているようだ。
6376	ui	134	禁止区域で戦った。\nこのドラゴンも、伝説と\n同じく、敵を追う光の矢を\n武器にしている。一度に\n数十本もの光の矢を放つ\n攻撃が、特に危険だ。
2680	ui	134	『塔』の中部層を守って\nいたガーディアン。2体が\n一緒になって襲ってきた。\nというより、2体まとめて\nひとつの個体だったのかも\nしれない。
4823	ui	131	メル=カヴァの内部で、\nバリスタを守るバリアを制御していた装置。\n中心部にある弱点は、\nレーザーを吸収する盾と\n装甲で防御されていた。
4546	ui	127	セストレンで戦った。\nなぜ、<01><01>と\n同じ姿なんだ？ 旧世紀の\n意志を守る敵の、真の姿が\nこれだというのか？\nだとすれば、儀の\n<01><01>は…？
5422	ui	124	地下の施設の封印を\n解除したときに復活した\nウルのガーディアン。\n分離や合体をしながら、\n雷を使った様々な攻撃を\nしかけてきた。
5590	ui	119	対攻性生物用の攻撃機。\n攻撃力や防御力を下げる\n特殊な弾を撃ってくるが、\n強力な武器を積むために\n耐久力を犠牲にしている。
5470	ui	115	塔の最上層で襲ってきた。\n空中機雷や対空誘導弾など\n驚くほどたくさんの武器を\n持っていたが、こいつは\nただの囮だった。
