id	kind	count	budget	chars	jp	ko
36	dialog	26	14	9	<09>ア<04>イよタ。ミ<0C>やぬャ<0B>	
37	dialog	26	11	3	<09>ョ<04><!D5><14>イ<02><!92>ぬ<!E0>	
38	dialog	26	9	3	<0B><12>ら<01>る<01>？\n	
39	dialog	26	10	4	<0B>フ<!F6>ュぬ<!D1><15>ー<0B>	
41	dialog	26	30	17	ゆ)？<08>セ<0E>ゆコチ<02>ぬらア<01><12>よア<02><12>ら<!84>ーチ<03><!92><0F>？<08>？	
42	dialog	26	25	19	ゆ)？<08>セ<0E>れ<0C>らェアアぬらアイ<12>よアウ<12>らュひ	
43	dialog	26	23	18	ゆ)？<08>セ<0E>れ<0C>らェアアぬらアイ<12>よアウュひ	
67	dialog	26	12	7	ーらェ<!84>ーチ<03>？<08>？	
163	dialog	8	6	4	ゆむ？<08>？	
172	dialog	8	14	9	陛イヨセぬ？<18>？<08>？<08>？	
173	dialog	8	33	20	？ほ止セア？<09>？<01>モな索メ<08><17>ヲッユマ<01><17><17>ふーョムホ<01><17><03>	
203	dialog	6	6	3	<09>ン<10>ュひ	
211	draft	6	19	18	なななななななななななななななななな	
261	dialog	5	8	5	ら)＋<08>＋<08>＋	
360	dialog	4	24	21	<02><01>エ」。なカむキむク…はるツむはるツむはるツ	
478	dialog	3	29	20	※※※※※※※※、ャアスーわスらもア。＋	
520	dialog	3	14	9	セ<0F>ゆハマ<0C>よコソ<10>タ<13>ー	
772	dialog	2	11	6	<09>ツ<!E2>テ<!E3>モ<0C>ト。、	
786	dialog	2	6	2	<1B>ね…	
945	dialog	2	26	12	よむー<08>ソ<1E><01><1E><13><16>ア<!E1><!84><!EB>り<!DC>りェセ<0C>タ<03>？<08>？	
1037	dialog	2	10	8	チアりハセ。ホ<0E>？	
1073	dialog	2	19	18	ョー」アアなアイーーイな＋ウイイュャ	
2202	dialog	1	4	2	)<02>メ	
2203	dialog	1	4	2	)<03>ツ	
2204	dialog	1	4	2	)<05>ホ	
2219	dialog	1	8	2	)\n\nを<0B><01><1B>	
2220	dialog	1	8	3	)\n\nをひ<01><1B>	
2221	dialog	1	8	3	)\n\nをエ<01><1B>	
2222	dialog	1	8	3	)\n\nをト<01><1B>	
2223	dialog	1	8	3	)\n\nをリ<01><1B>	
2313	dialog	1	27	7	6\n<0A>け\n<0A>な\n<0A>む\n<0A>を\n<0A>「\n<0A>ョ	
2322	ui	1	3	1	<!A0>よ	
2332	dialog	1	6	2	<!A9>す！	
2336	dialog	1	12	5	<!AA>うしよう…	
2364	ui	1	14	3	<01><02><03><04><05>\n<07><08><09><1F>なにぬ	
2365	ui	1	27	8	<01><02><03><04><05>\n<07><15><16><17><18><19><1A><1B><1C><1D><1E><1F>なにぬねのはひふ	
2366	ui	1	30	11	<01><02><03><04><05>\n<07><15><16><17><18><19><1A><1B><1C><1D><1E><1F>へほまみむめもやゆよら	
2367	ui	1	34	15	<01><02><03><04><05>\n<07><15><16><17><18><19><1A><1B><1C><1D><1E><1F>へほまみむめもりるれろわをん…	
2368	ui	1	44	25	<01><02><03><04><05>\n<07><15><16><17><18><19><1A><1B><1C><1D><1E><1F>へほまみむめもりるれろわをん…()『』！？ー＋。「	
2377	dialog	1	14	12	<01>イス、」スゆゆよもョ。ォ	
2418	dialog	1	101	50	<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に<04>に	
2425	dialog	1	4	2	<05>りり	
2443	dialog	1	20	12	<09>\n<07><0D><!C1><1D><01>イスゥヲスゆゆりもョ。ォ	
2447	dialog	1	18	4	<09>\n<07>に<05><1D><10><05><0D><1A><01>………	
2448	dialog	1	24	14	<09>\n<07>に<05><1D><10><05>ラ<1A><01>イスー＋スゆゆよもョ。ォ	
2449	dialog	1	10	4	<09>\n<07>にはぬツ<0F><09>	
2463	dialog	1	8	2	<09>\n\nロイ\n<09>	
2464	dialog	1	8	2	<09>\n\nロ燃<07>	
2469	dialog	1	24	10	<09>ュぬン<!F0><!D3><11>やー<1F>ソテ<!F3><!D2><10><1F>ら<1F>ね<!D3><05>。<0B>	
2470	dialog	1	24	10	<09>ュぬン<!F0><!D3><17>やー<1F>ソテ<!F3><!D2><16><1F>ら<1F>ね<!D3><0D>。<0B>	
2471	dialog	1	24	10	<09>ュぬン<!F0><!D3><1D>やー<1F>ソテ<!F3><!D2><1C><1F>ら<1F>ね<!D3><15>。<0B>	
2472	dialog	1	24	12	<09>ュぬン<!F0><!D3>ねやー<1F>ソテ<!F3><!D2>ぬ<1F>ら<1F>ね<!D3><1D>。<0B>	
2473	dialog	1	24	13	<09>ュぬン<!F0><!D3>ほやー<1F>ソテ<!F3><!D2>へ<1F>ら<1F>ね<!D3>は。<0B>	
2474	ui	1	27	16	<09>ン<!FC><!D7>な<!93>ゆ<!92>よりレ<!90>ゆテムやらモ<14>エィ、<08><!D3><1C>、	
2475	ui	1	8	4	<0B>ン<04><07>セ？コ	
2509	dialog	1	5	3	<14>エエ…	
2525	dialog	1	10	4	<1B>らしいぜ	
2534	dialog	1	26	9	<1F>\n<07>ッョ\n<07>ヒの\n<07>ヘな\n<07>マ<1C>\n<07>ム<18>\n<07>モ<14>	
2584	ui	1	28	10	\n<02>テ<!DE>\n<05>ツコ\n<01>コャ\n<05>ツト\n<04><!BC><!A0>\n<05>ツリや<!E6><!E7>	
2596	dialog	1	17	3	\n<05><!98>イ\n<05><!9E>へ\n<05><!9F>ツ\n<05><!9F><!86>	
2597	draft	1	20	11	\n<05><!EE><!AC>\n<05><!EE><!C0>。ュォォュャりもォ。＋	
2598	dialog	1	5	2	\n<05>。る	
2599	dialog	1	5	2	\n<05>」ツ	
2600	dialog	1	5	2	\n<05>アハ	
2601	dialog	1	5	2	\n<05>ォへ	
2603	ui	1	5	2	\n<05>ノロ	
2604	ui	1	29	18	\n<05>ヒ)\n<05>ヒ」\n<05>フ<08>\n<05>フ<10>ヲ」＋ァォウアァもォ。＋	
2605	ui	1	5	2	\n<05>ヘの	
2607	dialog	1	5	2	\n<05>マコ	
2608	dialog	1	9	4	\n<05>ミョ\n<05>ムャ	
2609	dialog	1	5	2	\n<05>ムな	
2610	dialog	1	17	7	\n<05>モゆ\n<05>ル<04>\n<05>レ？\n<05>レタ	
2611	ui	1	5	2	\n<05>ヤヌ	
2612	ui	1	28	19	\n<05>リコ\n<05>リテ\n<05>ルゆ\n<05>ルをエオスクウアウもォ。＋	
2614	dialog	1	17	2	\n<05>レ<!9C>\n<05><!82>ホ\n<05><!83><!AC>\n<05><!83><!CE>	
2615	dialog	1	83	40	\n<05>ロの\n<05>ロト隊長を発見するが深い傷を受けている。\n彼はエッジに地図を渡すと死に絶える。\n	
2616	draft	1	6	2	\n<05>ーイ<02>	
2617	ui	1	27	14	\n<05>追\n<05>必\n<05>区\n<05>軸ウーウイウョもォ。＋	
2618	dialog	1	15	12	\n<05>？ィ、ェ「。ォャもォ。＋	
2619	dialog	1	21	14	\n<07>イの\n<07>ケネ\n<07>ケホアヲュョもア。＋	
2620	dialog	1	63	26	\n<08><15>な\n<08><15>へ\n<08><15>ゆ\n<08><15>を\n<08><15>？\n<08><15>ヲ\n<08><15>ョ\n<08><15>カ\n<08><15>ヲ\n<08><15>セ\n<08><15>ニ\n<08><15>ホハミモツフトねねェーウ「ャ、	
2621	dialog	1	20	15	\n<09>みェ\n<09>みョーァー＋ュォ＋もォ。＋	
2622	dialog	1	20	15	\n<09>め？\n<09>め「ーァー＋ュォ＋もォ。＋	
2623	dialog	1	37	9	\n<0A>K\n<0A>W\n<0A>型\n<0A>生\n<0A>物\n<0A>移\n<0A>違\n<0A>定\n<0A>登	
2624	dialog	1	9	4	\n<0A>…メ\n<0A>』も	
2625	dialog	1	9	4	\n<0A>にハ\n<0A>はひ	
2626	dialog	1	9	3	\n<0A>エイ\n<0A>ク<0E>	
2627	dialog	1	37	9	\n<0A>コ\n<0A>ニ\n<0A>メ\n<0A>ヴ\n<0A>ゾ\n<0A>ビ\n<0A>ぜ\n<0A>ば\n<0A>ょ	
2628	dialog	1	57	24	\n<0A>ト<04>\n<0A>ト<0C>\n<0A>ト<14>\n<0A>ト<1C>\n<0A>トの\n<0A>トむ\n<0A>トる\n<0A>ト)\n<0A>ト「\n<0A>トる\n<0A>ト)\n<0A>ト「\n<0A>トェ\n<0A>トイ	
2629	dialog	1	9	3	\n<0A>ネコ\n<0A>フ<16>	
2630	dialog	1	53	25	\n<0A>メ<18>\n<0A>メな\n<0A>メへ\n<0A>メゆ\n<0A>メを\n<0A>メ？\n<0A>メヲ\n<0A>メョ\n<0A>メ？\n<0A>メヲ\n<0A>メョ\n<0A>メカ\n<0A>メセ	
2631	dialog	1	37	9	\n<0A>期\n<0A>予\n<0A>本\n<0A>一\n<0A>眠\n<0A>立\n<0A>所\n<0A>丈\n<0A>害	
2632	dialog	1	63	36	\n<0B>サ<14>\n<0B>サ<1C>\n<0B>サの\n<0B>サむ\n<0B>サる\n<0B>サ)\n<0B>サ「\n<0B>サェ\n<0B>サ)\n<0B>サイ\n<0B>サコ\n<0B>サツハミモツフトねねェーウ「ャ、	
2634	dialog	1	13	1	\n\n<!CA>イ\n\n<!CC><!9A>\n\n<!CC><!C0>	
2635	draft	1	63	26	\n\n<19>な\n\n<19>へ\n\n<19>ゆ\n\n<19>を\n\n<19>？\n\n<19>ヲ\n\n<19>ョ\n\n<19>カ\n\n<19>ヲ\n\n<19>セ\n\n<19>ニ\n\n<19>ホハミモツフトねねェーウ「ャ、	
2636	dialog	1	13	6	\n\n」む\n\n・＋\n\n・イ	
2637	draft	1	24	6	\n\nは<!D8>\n\nは<!E0>\n\nは<!E8>\n\nは<!F0>\n\nは<!F8>\n\nひ	
2638	draft	1	12	3	\n\nひ<08>\n\nひ<10>\n\nひ	
2639	draft	1	27	19	\n\nひ<18>\n\nひな\n\nひへハミモツフトねねェーウ「ャ、	
2640	draft	1	63	37	\n\nやゆ\n\nやを\n\nや？\n\nやヲ\n\nやョ\n\nやカ\n\nやセ\n\nやニ\n\nやカ\n\nやホ\n\nやヨ\n\nやハミモツフトねねェーウ「ャ、	
2641	draft	1	63	38	\n\n＋む\n\n＋る\n\n＋)\n\n＋「\n\n＋ェ\n\n＋イ\n\n＋コ\n\n＋ツ\n\n＋イ\n\n＋ハ\n\n＋メ\n\n＋レハミモツフトねねェーウ「ャ、	
2642	ui	1	4	2	\nへに	
2652	dialog	1	3	1	×	
2677	dialog	1	9	4	…ああ…	
2688	dialog	1	9	4	…うん…	
2895	dialog	1	21	17	※\n<04>わるョミヌフメトな」ミミヘミにに	
2900	ui	1	10	5	。<04>＋<08>ー<0C>に<08>ぬ	
2906	dialog	1	4	2	「<02>レ	
2907	dialog	1	4	2	「<03>ハ	
2908	dialog	1	4	2	「<05>ヨ	
2986	ui	1	62	31	【528】ツ<0C>【524】ツ<10>チ<10>「<08>【516】テ<0C>【268】チ<10>タ<0C>「<10>。<08>【260】ツ<08>チ<0C>タ<0C>。<10>＋<04>チ<08>タ<04>「<0C>ソ<08>。<0C>＋<0C>ね<04>タ<08>ソ<08>＋<0C>ー<08>ね	
2989	dialog	1	17	8	あ、あの、これ…	
3051	dialog	1	20	8	あたし達は、<03>\nゾア<03>	
3187	dialog	1	7	3	あれ？	
4229	dialog	1	4	2	な<02>カ	
4230	dialog	1	4	2	な<02>ツ	
4231	dialog	1	4	2	な<03>ヲ	
4232	dialog	1	4	2	な<05>イ	
4233	dialog	1	26	13	な\n<07>ュェ\n<07>チセ\n<07>テョ\n<07>ナ？\n<07>ヌゆ\n<07>ノな	
4269	dialog	1	12	11	なはゆをカなはゆをカな	
4270	dialog	1	16	15	なはゆをカなはゆをカなはゆをカ	
4328	dialog	1	4	2	な！	
4330	ui	1	6	2	に<04>な<04><01>	
4331	dialog	1	26	11	に\n<07>アェ\n<07>ユ<10>\n<07>ラ<1C>\n<07>ルへ\n<07>ロる\n<07>ン？	
4340	ui	1	6	3	ね<04>ぬ<08>に	
4348	dialog	1	4	2	の<02>コ	
4349	dialog	1	4	2	の<02>ニ	
4350	dialog	1	4	2	の<03>ェ	
4351	dialog	1	4	2	の<05>カ	
4373	dialog	1	4	3	はりツ	
4397	dialog	1	4	2	へ<02>セ	
4398	dialog	1	4	2	へ<02>ハ	
4399	dialog	1	4	2	へ<03>ョ	
4400	dialog	1	4	2	へ<05>コ	
4401	dialog	1	8	2	へ\n\nを<1D><01><1B>	
4402	dialog	1	8	3	へ\n\nを。<01><1B>	
4403	dialog	1	8	3	へ\n\nをる<01><1B>	
4508	dialog	1	4	2	む<02>ツ	
4509	dialog	1	4	2	む<02>ホ	
4510	dialog	1	4	2	む<03>イ	
4511	dialog	1	4	2	む<05>セ	
4553	ui	1	24	13	や<!D6>ヒアや<!C6>フタ<!DC>ンの<!E2><14><!D1>チ<!E2><!85>わチ<!C3>セ<0D>？	
4578	ui	1	4	3	ゆ)ソ	
4579	dialog	1	4	2	ゆ<02>ニ	
4580	dialog	1	4	2	ゆ<02>メ	
4581	dialog	1	4	2	ゆ<03>カ	
4582	dialog	1	4	2	ゆ<05>ツ	
4592	dialog	1	17	16	ゆよらりるれろわをんソタチツテト	
4593	dialog	1	17	16	ゆよらりるれろわをんー＋。「」、	
4636	dialog	1	28	13	よむー<08>ソ<1E><01><1E><13><16>ア<!E1>ソ<!E3><!84><!EB>り<!DC>りェセ<0C>タ<03>？<08>？	
4637	dialog	1	32	15	よむー<08>ソ<1E>ゆ<1C><0D><1A>ッ<02><13><18>ア<!E1>ソ<!E3><!84><!EB>り<!DC>りェセ<0C>タ<03>？<08>？	
4638	dialog	1	28	14	よむー<08>ソ<1E>ゆ<1C>ッ<01><13><17>ア<!E1>り<!DC><!84><!EB>りェセ<0C>タ<03>？<08>？	
4639	dialog	1	32	16	よむー<08>ソ<1E>ゆ<1C>ッ<01><13><17>ソ<!E3>ア<!E1>マ<0C><!84><!EB>り<!DC>りェセ<0C>タ<03>？<08>？	
4640	dialog	1	32	15	よむー<08>ソ<1E>ゆ<1C>ッ<02><0D><1A><13><18>ア<!E1>り<!DC>りェ<!84><!EB>ソ<!E3>セ<0C>タ<03>？<08>？	
4650	dialog	1	11	8	りむ。<08>チ』り<1C>ーア	
4651	dialog	1	24	19	りむ。<08>ーッマ<08>チ』り<1C>ねぬソ。アエマ<08>タり。	
4652	dialog	1	22	17	りむ。<08>ーーチ』り<1C>ソ。<13>にマ<08>アエタり。	
4654	dialog	1	4	2	る<02>ハ	
4655	dialog	1	4	2	る<02>ヨ	
4656	dialog	1	4	2	る<03>コ	
4657	dialog	1	4	2	る<05>ニ	
4691	dialog	1	4	2	を<02>ホ	
4692	dialog	1	4	2	を<02>レ	
