id	kind	count	budget	chars	jp	ko
0	slot	234	11	5	話をやめる	
1	dialog	204	2	1	)	
2	slot	106	9	4	帝国の話	
3	slot	104	19	6	シーカーの話	
4	dialog	96	19	9	ジューバの店への道	
5	slot	96	29	6	ゾアの街の話	
6	dialog	94	7	3	やめる	
7	slot	73	19	6	ドラゴンの話	
8	dialog	70	2	1	る	
9	dialog	64	19	9	バイマンの家への道	
10	dialog	64	11	5	教会への道	
11	dialog	64	17	8	機械置き場への道	
12	dialog	64	11	5	通路への道	
13	slot	64	31	4	酒場の話	
14	slot	64	31	5	開放区の話	
15	dialog	54	9	4	レーザー	
16	slot	40	19	6	攻性生物の話	
17	slot	40	19	5	旧世紀の話	
18	narration	33	25	12	(扉は閉ざされている…)	
19	slot	33	25	5	アゼルの話	
20	dialog	33	5	2	反撃	
21	slot	32	31	7	「護り火」の話	
22	slot	32	29	9	『絶対の客人』の話	
23	slot	32	31	4	ウルの話	
24	slot	32	29	6	ガッシュの話	
25	slot	32	31	6	トビタマの話	
26	dialog	32	17	8	パエットの居場所	
27	slot	32	31	4	司祭の話	
28	slot	32	31	5	神聖区の話	
29	dialog	29	9	4	外に出る	
30	dialog	28	9	4	中に入る	
31	dialog	27	7	3	………	
32	dialog	27	27	13	ドラゴンのタイプをセレクト	
33	dialog	27	25	12	バーサークのリストを表示	
34	dialog	27	19	9	攻撃する敵がいない	
35	dialog	27	5	2	機銃	
36	dialog	26	14	9	<09>ア<04>イよタ。ミ<0C>やぬャ<0B>	
37	dialog	26	11	3	<09>ョ<04><!D5><14>イ<02><!92>ぬ<!E0>	
38	dialog	26	9	3	<0B><12>ら<01>る<01>？\n	
39	dialog	26	10	4	<0B>フ<!F6>ュぬ<!D1><15>ー<0B>	
40	dialog	26	19	9	すでに行なっている	
41	dialog	26	30	17	ゆ)？<08>セ<0E>ゆコチ<02>ぬらア<01><12>よア<02><12>ら<!84>ーチ<03><!92><0F>？<08>？	
42	dialog	26	25	19	ゆ)？<08>セ<0E>れ<0C>らェアアぬらアイ<12>よアウ<12>らュひ	
43	dialog	26	23	18	ゆ)？<08>セ<0E>れ<0C>らェアアぬらアイ<12>よアウュひ	
44	dialog	26	23	11	アイテムのリストを表示	
45	dialog	26	23	11	アイテムを持っていない	
46	dialog	26	11	5	エスケープ	
47	dialog	26	13	6	クチカラボム	
48	dialog	26	17	8	サンダーレーザー	
