id	kind	count	budget	chars	jp	ko
5124	dialog	1	39	19	俺の名はベゼル…ゾアの司祭ダモンの孫さ	
5125	dialog	1	25	12	俺の村のある所だったんだ	
5126	dialog	1	31	15	俺の研究がシーカーの間に残れば	
5127	dialog	1	35	17	俺の研究って、一体何だったんだよ…	
5128	dialog	1	35	17	俺の計算じゃ、帝国にだって行けるぜ	
5129	dialog	1	27	13	俺は、あそこの出身だからよ	
5130	dialog	1	31	15	俺は、この街を捨てる気はねえよ	
5131	dialog	1	25	12	俺は、アルドーってもんだ	
5132	dialog	1	21	10	俺は、ヤレドってんだ	
5133	dialog	1	27	13	俺は、当分ここから出ねえよ	
5134	dialog	1	31	15	俺は、昼間はたいていここにいる	
5135	dialog	1	37	18	俺は、神聖区門番のアブネルってもんだ	
5136	dialog	1	35	17	俺は「探索兵」ペレツだ、よろしくな	
5137	movie	1	25	12	俺はこの辺りを調べてくる	
5138	movie	1	37	18	俺はこの里の人間を守らなきゃならない	
5139	dialog	1	39	19	俺はただ、頼まれて銃を修理しただけだぜ	
5140	dialog	1	31	15	俺はエフタってんだ、よろしくな	
5141	dialog	1	35	17	俺はシフレっていうんだ、よろしくな	
5142	movie	1	21	10	俺は他にやる事がある	
5143	dialog	1	31	15	俺は何年も門番をやっていますが	
5144	dialog	1	33	16	俺は村を出て、帝国の傭兵になった	
5145	dialog	1	37	18	俺は脱走して、村に知らせに行ったが…	
5146	dialog	1	31	15	俺みたいになりたくなけりゃあな	
5147	dialog	1	35	17	俺も、いろんな場所を旅してきたが…	
5148	dialog	1	31	15	俺も、おまえと同業だったんだぜ	
5149	dialog	1	31	15	俺も、何か残してみたくなってさ	
5150	dialog	1	35	17	俺も、神聖区のお役に立ちたいです…	
5151	dialog	1	23	11	俺もよく知らねえけど…	
5152	dialog	1	35	17	俺をごまかせるとでも思ってんのか！	
5153	dialog	1	17	8	俺を説得しろって	
5154	dialog	1	35	17	俺達が、ろくな物拾ってこねえからさ	
5155	movie	1	15	7	俺達がもう一度	
5156	movie	1	37	18	俺達が最初に会った渓谷があっただろう	
5157	dialog	1	39	19	俺達だけが、この街に逃げ込んだんだが…	
5158	dialog	1	37	18	俺達にとっちゃ、宝物庫みたいなもんさ	
5159	dialog	1	21	10	俺達にゃ縁のねえ所よ	
5160	dialog	1	19	9	俺達にゃ関係ねえよ	
5161	dialog	1	39	19	俺達の一族じゃ、男は必ずハンターになる	
5162	movie	1	21	10	俺達の手には負えん！	
5163	dialog	1	39	19	俺達は、わざわざ金で買わなきゃならねえ	
5164	dialog	1	21	10	俺達はそろそろ出るよ	
5165	movie	1	23	11	俺達は帝国軍に雇われて	
5166	dialog	1	39	19	俺達みたいなのを受け入れてくれるのかね	
5167	movie	1	19	9	俺達も例外じゃない	
5168	movie	1	17	8	俺達シーカーは、	
5169	ui	1	130	63	個体によって役割は多少異なるが、\n塔の機能は大きく2つに分けられる。\nすなわち、環境維持・再生機能と\n攻性生物生産・統括機能である。	
5170	dialog	1	21	10	倒した…危なかった…	
5171	dialog	1	37	18	倒せば昇進も間違いないぞ、攻撃開始！	
5172	ui	1	173	84	停滞した状況を打破したのは、辺境で\n入手された、情報保存系の発掘物で\nあった。それに記録されていた情報を\n分析した結果、塔はドラゴンと密接な\n関係にあることが判明したのである。	
5173	dialog	1	21	10	側方に火力を集中しろ	
5174	dialog	1	9	4	催涙ガス	
5175	movie	1	33	16	傭兵とはいえ、帝国にいたんだろ？	
5176	movie	1	15	7	儀が塔へ行けば	
5177	dialog	1	27	13	儀だって、仲間を殺された…	
5178	movie	1	17	8	儀にどうしろと？	
5179	dialog	1	27	13	儀には、そんな事できないよ	
5180	dialog	1	31	15	儀には、まだやることがあるんだ	
5181	dialog	1	39	19	儀には、やらなくちゃいけないことがある	
5182	movie	1	37	18	儀にもわからない…だけどドラゴンって	
5183	movie	1	27	13	儀の事を覚えているのなら、	
5184	dialog	1	33	16	儀の腕で倒すことができるのか…？	
5185	movie	1	9	4	儀は…、	
5186	movie	1	13	6	儀は…エッジ	
5187	dialog	1	29	14	儀は…神の使いなんかじゃない	
5188	movie	1	27	13	儀は、あの発掘所にいたんだ	
5189	dialog	1	23	11	儀は、そうは思わない…	
5190	dialog	1	33	16	儀は、今の方が普通だと思うけどな	
5191	dialog	1	39	19	儀は、遣跡の発掘所を警備してたんだけど	
5192	movie	1	35	17	儀はまだおまえを許したわけじゃない	
5193	movie	1	23	11	儀はもう一度、塔に行く	
5194	dialog	1	29	14	儀は君と戦うつもりはない！！	
5195	movie	1	29	14	儀らがここで何を守ってるのか	
5196	dialog	1	35	17	儀らは、発掘所で一度会ってるんだよ	
5197	movie	1	25	12	儀らも襲われたんだって…	
5198	dialog	1	39	19	元来、帝国の始祖はシーカーの一派だった	
5199	dialog	1	21	10	元気で結構じゃないか	
5200	dialog	1	5	2	充電	
5201	dialog	1	57	26	先の3つは微妙な調整に対応し\n後の2つは後述の「<03>\nタイプ<03>	
5202	dialog	1	23	11	先日はすみませんでした	
5203	dialog	1	19	9	先行入力と連続攻撃	
5204	dialog	1	80	38	先行入力は、\n・敵(自分)の位置取り中\n・敵(自分)の行動中\nに行うことができる。	
5205	dialog	1	116	56	先行入力をうまく利用すれば、\n時間のロスを減らせるだけでなく\n敵の先手を取りやすくなるので、\n戦いが非常に有利になる。	
5206	ui	1	9	4	光の粒子	
5207	dialog	1	7	3	光子砲	
5208	dialog	1	15	7	光子砲バリスタ	
5209	dialog	1	101	47	光学耐性の敵には効果が弱い。\n光学耐性の敵に銃を向けると\n<03>\nANTI LASER\n(アンチ レーザー)<03>	
5210	dialog	1	11	5	光粒子充填	
5211	dialog	1	19	9	光粒子炉融合20％	
5212	dialog	1	19	9	光粒子炉融合50％	
5213	dialog	1	19	9	光粒子炉融合90％	
5214	dialog	1	33	16	入るのは楽でも、出るのはつらいぜ	
5215	dialog	1	37	18	全うするためだけに生き続けるものたち	
5216	movie	1	21	10	全てが仕組まれたのだ	
5217	slot	1	29	14	全ての塔は、一瞬で死に絶える	
5218	dialog	1	33	16	全ての塔をコントロールする場所だ	
5219	dialog	1	25	12	全ての塔を統べる魂の器…	
5220	movie	1	29	14	全てはこいつを破壊するためだ	
5221	movie	1	31	15	全てはこの世界を取り戻すためだ	
5222	movie	1	25	12	全ては今、私と共にある…	
5223	dialog	1	17	8	全てを回収し、…	
5224	movie	1	27	13	全てを手にしようとしている	
5225	movie	1	17	8	全て終わったんだ	
5226	ui	1	5	2	全幅	
5227	dialog	1	19	9	全滅したもようです	
5228	dialog	1	23	11	全艦、戦闘隊形を取れ！	
5229	ui	1	5	2	全長	
5230	ui	1	5	2	全高	
5231	dialog	1	7	3	共食い	
5232	dialog	1	37	18	兵隊相手ならいい商売になるぜ、きっと	
5233	dialog	1	13	6	具合はどう？	
5234	dialog	1	35	17	内乱があって、帝都が壊滅したとか…	
5235	dialog	1	27	13	内部の構造も少し変化してる	
5236	movie	1	25	12	再び、全てを始めるために	
5237	movie	1	25	12	再びわれらの時代が来たと	
5238	movie	1	21	10	再び時代は回り始めた	
5239	dialog	1	23	11	再充填に少しかかります	
5240	dialog	1	5	2	再生	
5241	movie	1	23	11	再生させるためのものだ	
5242	dialog	1	15	7	再生は夢の続き	
5243	dialog	1	15	7	再起動を急げ！	
5244	dialog	1	7	3	再配置	
5245	dialog	1	15	7	冗談じゃねえや	
5246	dialog	1	25	12	出□の右側にあるそうです	
