file	offset	len	jp	ko
1ST_READ.PRG	00179C	2	＋	＋
1ST_READ.PRG	00666B	2	な	な
1ST_READ.PRG	017E05	2	？	？
1ST_READ.PRG	01DE67	2	？	？
1ST_READ.PRG	01E3C0	2	ー	
1ST_READ.PRG	01FB4E	2	ー	
1ST_READ.PRG	021102	2	ー	
1ST_READ.PRG	021116	2	ー	
1ST_READ.PRG	026524	2	ー	
1ST_READ.PRG	029BF8	2	＋	＋
1ST_READ.PRG	03D68C	2	×	
1ST_READ.PRG	03D97B	2	な	な
BTL_A3.PRG	028C51	2	な	な
BTL_A3.PRG	053221	2	酸	산
BTL_A3_2.PRG	02C2BD	2	な	な
BTL_A5.PRG	02FA41	2	な	な
BTL_A5.PRG	04F91F	2	鈴	종
BTL_A5_2.PRG	0328E9	2	な	な
BTL_A5_3.PRG	027799	2	な	な
BTL_A7.PRG	02BA05	2	な	な
BTL_A7.PRG	058BBE	2	る	る
BTL_A7_2.PRG	02851D	2	な	な
BTL_A7_2.PRG	0540AE	2	ぬ	ぬ
BTL_A7_2.PRG	0540DE	2	？	？
BTL_A7_2.PRG	0540FE	2	ー	
BTL_B2.PRG	027B79	2	な	な
BTL_B5.PRG	029E25	2	な	な
BTL_B5_2.PRG	030B39	2	な	な
BTL_B5_3.PRG	028BD5	2	な	な
BTL_B5_3.PRG	054216	2	？	？
BTL_B6.PRG	032EA1	2	な	な
BTL_B6_2.PRG	02A069	2	な	な
BTL_C2.PRG	029E75	2	な	な
BTL_C2_2.PRG	02CE0D	2	な	な
BTL_C4.PRG	028C3D	2	な	な
BTL_C4.PRG	048E3F	2	？	？
BTL_C5.PRG	0292A5	2	な	な
BTL_C5_2.PRG	0276ED	2	な	な
BTL_C8.PRG	025269	2	な	な
BTL_C8_2.PRG	026F81	2	な	な
BTL_D2.PRG	028261	2	な	な
BTL_D2.PRG	053E76	2	EXP	EXP
BTL_D2_2.PRG	028169	2	な	な
BTL_D4.PRG	025F55	2	な	な
BTL_D5.PRG	0328ED	2	な	な
BTL_T0.PRG	02B435	2	な	な
BTL_X0.PRG	036025	2	な	な
COMMON.DAT	0053DB	2	Ln	Ln
COMMON.DAT	009587	2	Ln	Ln
COMMON.DAT	0099B1	2	Ln	Ln
COMMON.DAT	00BFCA	6	未使用	미사용
COMMON.DAT	00BFD5	6	未使用	미사용
COMMON.DAT	00E894	2	×	
COMMON.DAT	0146DA	2	Ln	Ln
COMMON.DAT	01470A	2	Ln	Ln
COMMON.DAT	014752	2	Ln	Ln
COMMON.DAT	01479A	2	Ln	Ln
COMMON.DAT	0147E2	2	Ln	Ln
COMMON.DAT	014812	2	Ln	Ln
COMMON.DAT	014986	2	Ln	Ln
COMMON.DAT	0149CE	2	Ln	Ln
COMMON.DAT	014A5E	2	Ln	Ln
COMMON.DAT	0167AF	2	Ln	Ln
COMMON.DAT	0167F7	2	Ln	Ln
COMMON.DAT	0169DB	2	Ln	Ln
COMMON.DAT	016BBA	2	…	…
COMMON.DAT	01810A	2	…	…
COMMON.DAT	0182EB	2	Ln	Ln
COMMON.DAT	0184CF	2	Ln	Ln
COMMON.DAT	018517	2	Ln	Ln
COMMON.DAT	01A7AF	2	Ln	Ln
COMMON.DAT	01A7F7	2	Ln	Ln
COMMON.DAT	01A9DB	2	Ln	Ln
COMMON.DAT	01ABBA	2	…	…
FLD_A3.PRG	03899A	2	ぬ	ぬ
FLD_A3.PRG	038B62	2	ぬ	ぬ
FLD_A3.PRG	03CC25	2	な	な
FLD_A7.PRG	02F00A	2	ー	
FLD_B2.PRG	00398D	2	な	な
FLD_B2.PRG	0303B9	2	な	な
FLD_B2.PRG	0303D1	2	な	な
FLD_B2.PRG	0303F5	2	な	な
FLD_B2.PRG	0304FD	2	な	な
FLD_B2.PRG	0305E1	2	な	な
FLD_B2.PRG	0342F6	2	な	な
FLD_B2.PRG	034D16	2	な	な
FLD_B2.PRG	034DEE	2	な	な
FLD_B2.PRG	0354AE	2	な	な
FLD_B2.PRG	035586	2	な	な
FLD_B2.PRG	035C46	2	な	な
FLD_B2.PRG	035D1E	2	な	な
FLD_B2.PRG	035FD6	2	る	る
FLD_B2.PRG	03601E	2	ー	
FLD_B2.PRG	036036	2	コ	コ
FLD_B5.PRG	02FA5E	2	な	な
FLD_B5.PRG	02FD5E	2	ぬ	ぬ
FLD_B5.PRG	02FD76	2	ぬ	ぬ
FLD_B5.PRG	02FD8E	2	に	に
FLD_B6.PRG	00A0DB	2	…	…
FLD_B6.PRG	00A158	2	…	…
FLD_B6.PRG	00A1AA	2	…	…
FLD_B6.PRG	00A2A7	2	…	…
FLD_C2.PRG	00AB19	20	帝国軍空中艦隊駐屯地	제국군 공중함대 주둔지
FLD_C4.PRG	041EDE	2	EXP	EXP
FLD_C4.PRG	041F7E	2	EXP	EXP
FLD_C4.PRG	041FDE	2	EXP	EXP
FLD_C4.PRG	0420FE	2	EXP	EXP
FLD_C4.PRG	04213E	2	EXP	EXP
FLD_C4.PRG	04225E	2	EXP	EXP
FLD_C8.PRG	041AF2	2	き	き
FLD_C8.PRG	04201A	2	ん	ん
FLD_C8.PRG	042032	2	を	を
FLD_C8.PRG	047B3A	2	な	な
FLD_C8.PRG	04B461	2	？	？
FLD_C8.PRG	0622FE	2	ー	
FLD_D2.PRG	02B321	2	な	な
FLD_D2.PRG	02B6C9	2	？	？
FLD_D2.PRG	02E785	2	な	な
FLD_D2.PRG	030A4D	2	な	な
FLD_D2.PRG	0326B6	2	…	…
FLD_D2.PRG	03B736	2	れ	れ
TWN_CAMP.PRG	00CFBD	2	？	？
TWN_CAMP.PRG	0148EF	2	)	)
TWN_CAMP.PRG	01CAFB	2	？	？
TWN_CAMP.PRG	02416E	2	コ	コ
TWN_CARA.PRG	0062B3	2	)	)
TWN_CARA.PRG	006311	2	)	)
TWN_CARA.PRG	006353	2	)	)
TWN_CARA.PRG	009E30	2	…	…
TWN_CARA.PRG	00A134	2	…	…
TWN_CARA.PRG	00A168	2	…	…
TWN_CARA.PRG	01658A	2	？	？
TWN_CARA.PRG	01663A	2	？	？
TWN_CARA.PRG	02062B	2	？	？
TWN_CARA.PRG	022352	2	ー	
TWN_CARA.PRG	022E82	2	EXP	EXP
TWN_CARA.PRG	023AFA	2	ー	
TWN_CARA.PRG	02462A	2	EXP	EXP
TWN_CARA.PRG	026216	2	EXP	EXP
TWN_CARA.PRG	02622E	2	ー	
TWN_CARA.PRG	0279FE	2	EXP	EXP
TWN_CARA.PRG	029216	2	EXP	EXP
TWN_CARA.PRG	0292CE	2	ー	
TWN_CARA.PRG	02AA8E	2	EXP	EXP
TWN_CARA.PRG	02B146	2	ー	
TWN_E006.PRG	0083D3	2	？	？
TWN_E011.PRG	00947F	2	？	？
TWN_E014.PRG	00871F	2	？	？
