JP 180개 / US 177개
  0  00C8D8 ｳﾞｧﾄﾞﾁｯﾌﾟ      | Blast Chip          
  1  00C8E4 ｳﾞｧﾃﾞﾑﾁｯﾌﾟ     | Dual Blast Chip       ★자리초과 16>12
  2  00C8F0 ｳﾞｧﾀﾞｽﾞﾑﾁｯﾌﾟ   | Tri-Blast Chip      
  3  00C900 ﾌﾗｯｼｭ          | Flash Chip            ★자리초과 11>8
  4  00C908 ﾌﾞﾙｰｸﾞﾗｽ       | Elixir Minor          ★자리초과 13>12
  5  00C914 ﾌﾞﾙｰﾏﾅ         | Berserk Micro         ★자리초과 14>8
  6  00C91C ﾁｯﾌﾟ           | Dinys Chip            ★자리초과 11>8
  7  00C924 ｵｲﾙﾀﾌﾞﾚｯﾄ      | Stolarium           
  8  00C930 ｼｪﾙﾌﾟﾚｰﾄ       | Shell Plate         
  9  00C93C ﾚﾝｽﾞ           | Gipson Lens           ★자리초과 12>8
 10  00C944 ﾘｱｸﾀｰ          | Bone Slasher          ★자리초과 13>8
 11  00C94C ｲﾝｽﾋﾟﾚｰﾀｰ      | Olfactory Lobe        ★자리초과 15>12
 12  00C958 ｼﾞｬﾝｸﾌｧﾝ       | Albertson Fan         ★자리초과 14>12
 13  00C964 ｼﾞｬﾝｸﾃﾞｨｸﾞ     | Nando Drill         
 14  00C970 ｼﾞｪﾑｽﾄｰﾝ       | Gem Stone           
 15  00C97C ｸｰﾘｱｽﾞﾀﾞﾝ      | Coolia's Dung         ★자리초과 14>12
 16  00C988 ｶﾞﾗ            | Gara                  ★자리초과 5>4
 17  00C98C ﾊﾇﾏﾝｼｪﾙ        | Golia Shell           ★자리초과 12>8
 18  00C994 ﾊﾇﾏﾝﾌｧﾝｸﾞ      | Golia Fang          
 19  00C9A0 ﾊﾇﾏﾝﾃｲﾙ        | Golia Tail            ★자리초과 11>8
 20  00C9A8 ﾊﾇﾏﾝﾎﾟｯﾄﾞ      | Golia Pod           
 21  00C9B4 ｼﾞｬﾝｸｽﾞｯｸ      | Relic - Shoes         ★자리초과 14>12
 22  00C9C0 ｻﾞｱﾙﾅｯﾂ        | Zaal Nuts             ★자리초과 10>8
 23  00C9C8 ﾗﾝﾌﾟｵｲﾙ        | Lamp Oil              ★자리초과 9>8
 24  00C9D0 ｼﾞｪﾑﾚﾝｽﾞ       | Gem Lens            
 25  00C9DC ｸﾞﾚｲｽﾘﾝｸﾞ      | Amirkhan Ring         ★자리초과 14>12
 26  00C9E8 ｿﾞｱﾊｰﾍﾞｽﾄ      | Zoah Harvest          ★자리초과 13>12
 27  00C9F4 ﾏｸﾗﾙﾘｷｯﾄﾞ      | Macral Liquid         ★자리초과 14>12
 28  00CA00 ﾏｸﾗﾝｼｪﾙ        | Macral Shell          ★자리초과 13>8
 29  00CA08 ﾏｸﾗﾝﾐｰﾄ        | Ascuncion Meat        ★자리초과 15>8
 30  00CA10 ﾘｷｭｱｱｰﾏｰ       | Feener Armor          ★자리초과 13>12
 31  00CA1C ﾘｷｭｱﾝｱｲｽﾞ      | Lickuern Eyes         ★자리초과 14>12
 32  00CA28 ﾘｷｭｱﾕﾆｯﾄ       | Lindstrum Unit        ★자리초과 15>12
 33  00CA34 ｼﾞｬﾝｸﾊﾟｰﾂ      | Relic - Weaponry      ★자리초과 17>12
 34  00CA40 ｼﾞｬﾝｸｼｰﾙﾄﾞ     | Relic - Armor         ★자리초과 14>12
 35  00CA4C ｼﾞｬﾝｸｴﾝｼﾞﾝ     | Relic - Engine        ★자리초과 15>12
 36  00CA58 ﾏｸﾗﾝｼﾞｭｴﾙ      | Macran Jewel          ★자리초과 13>12
 37  00CA64 ｲｴﾛｰｸﾞﾗｽ       | Elixir Medis          ★자리초과 13>12
 38  00CA70 ﾚｯﾄﾞｸﾞﾗｽ       | Elixir Maxis          ★자리초과 13>12
