i	budget	need	jp	ko
0	0	0	(今はこの男の言うことを聞くしかない)	(지금은 이 남자가 하는 말을 들을 수밖에 없다)
1	0	0	(年老いた男だ…でも哀えた様子はない)	(나이 든 남자다… 하지만 쇠약한 기색은 없다)
2	0	0	(安全に崖を越えて行けそうなんだが…)	(안전하게 절벽을 넘어갈 수 있을 것 같은데…)
3	0	0	(ここを落ちて遣跡で気づくまでの間…)	(여기서 떨어져 유적에서 정신을 차릴 때까지…)
4	0	0	(砂漠で見た事があるような植物だな…)	(사막에서 본 적이 있는 것 같은 식물이군…)
5	0	0	(木彫りの飾り柱だ…細かい細工だな)	(나무 조각 장식 기둥이다… 세공이 정교하군)
6	0	0	(たぶん、森に住む小動物の肉だろう)	(아마,숲에 사는 작은 동물의 고기일 것이다)
7	0	0	(せいぜいひとり分の大きさしかないな)	(기껏해야 한 사람 분의 크기밖에 안 되는군)
8	0	0	(これで役に立つ物が作れるのかな？)	(이걸로 쓸모 있는 물건을 만들 수 있을까?)
9	0	0	(この柱は、攻性生物の殻で作ってある)	(이 기둥은,공성생물의 껍질로 만들어져 있다)
10	0	0	(このまま北へ飛べばたどり着ける！)	(이대로 북쪽으로 날아가면 도착할 수 있어!)
11	0	0	(風網を止めるスイッチを探すのが先か)	(풍망을 멈추는 스위치를 찾는 게 먼저인가)
12	0	0	(竜巻で何かが引きあげられている！？)	(회오리바람에 뭔가가 끌어올려지고 있다！？)
13	0	0	(確か、この下には醸造機があったな)	(그러고 보니,이 아래에는 양조기가 있었지)
14	0	0	(獲物をバラすための道具が入っている)	(사냥감을 손질하기 위한 도구가 들어 있다)
15	0	0	(棚と同じように作られたテーブルだ)	(선반과 같은 방식으로 만들어진 테이블이다)
16	0	0	(旧世紀の機械が幻を出しているらしい)	(구세기의 기계가 환영을 보여주는 모양이다)
17	0	0	(攻性生物の透明な羽でできた飾り窓だ)	(공성생물의 투명한 날개로 만든 장식창이다)
18	0	0	(攻性生物の腕だ…爪を抜いてあるな)	(공격성 생물의 팔이다… 발톱을 뽑아 놨군)
19	0	0	(攻性生物の体内にできる宝石だ)	(공격성 생물의 몸 안에서 생기는 보석이다)
20	0	0	(攻性生物でも子を守ろうとするんだ…)	(공격성 생물이라도 새끼는 지키려는 거군…)
21	0	0	(古井戸だ…すっかり水がかれている)	(오래된 우물이다… 물이 완전히 말라 있다)
22	0	0	(今度はもっと戦い方を工夫してみよう)	(다음엔 좀 더 싸우는 방법을 궁리해 보자)
23	0	0	(ゾアの街で手に入れた旧世紀の機械だ)	(조아 마을에서 손에 넣은 구세기의 기계다)
24	0	0	(つぼには穀物や水が入っているようだ)	(항아리에는 곡물과 물이 들어 있는 듯하다)
25	0	0	(さっきの場所には戻れなくなったな…)	(아까 그 장소로는 돌아갈 수 없게 됐군…)
26	0	0	(ここから先へは戻れそうにないな…)	(여기서부터는 되돌아갈 수 없을 것 같군…)
27	0	0	(「やばい本」って、これのことか…)	(「위험한 책」이란 게,이걸 말하는 건가…)
28	0	0	(…ダメだ、ロックされてて動かせない)	(…안 되겠어,잠겨 있어서 움직일 수 없다)
29	0	0	(近よらないと鍵を使うのは無理だな)	(가까이 가지 않으면 열쇠를 쓰긴 무리군)
30	0	0	(死んでる…攻性生物にやられたのか)	(죽어 있다… 공격성 생물에게 당한 건가)
31	0	0	(次はこいつに合う鍵穴探しだな…)	(다음은 이것에 맞는 열쇠 구멍 찾기군…)
32	0	0	(本棚だ…色々な書物が置いてある)	(책장이다… 여러 가지 서적이 놓여 있다)
33	0	0	(攻性生物はたいてい殻が堅いからな…)	(공격성 생물은 대개 껍질이 단단하니까…)
34	0	0	(攻性生物の透明な羽で作ってある)	(공성생물의 투명한 날개로 만들어져 있다)
35	0	0	(攻性生物の吐く酸を中和する薬だ)	(공성생물이 내뿜는 산을 중화하는 약이다)
36	0	0	(封印を解くたびに、ここに変化がある…)	(봉인을 풀 때마다 이곳에 변화가 있다…)
37	0	0	(上等のランプだ…本を読むためだろう)	(고급 램프다… 책을 읽기 위한 것이겠지)
